,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
97,The veteran Malyasian diplomat met Suu Kyi Wednesday at the lakeside home in Yangon where she is under house arrest .,베테랑 말레이시아 외교관 met Suu Kyi Wednesday at the lakeside home in Yangon where she is under house arrest .,The veteran Malyasian diplomat,베테랑 말레이시아 외교관,"Razali Ismail met for 90 minutes with Suu Kyi , a 1991 winner of the Nobel Peace Prize , at her lakeside home , where she is under house arrest .","라잘리 이스마일 met for 90 minutes with Suu Kyi , a 1991 winner of the Nobel Peace Prize , at her lakeside home , where she is under house arrest .",Razali Ismail,라잘리 이스마일,3.691999912261963
98,James Murdoch quits BSkyB,제임스 머독 quits BSkyB,James Murdoch,제임스 머독,James Murdoch quits role at BSkyB,제임스 머독 quits role at BSkyB,James Murdoch,제임스 머독,4.199999809265137
99,' Whitey ' Bulger ' s girlfriend gets 8 years,'화이티' 벌거의 여자친구 gets 8 years,' Whitey ' Bulger ' s girlfriend,'화이티' 벌거의 여자친구,"Mobster "" Whitey "" Bulger ' s girlfriend gets 8 years","조폭 ""화이티"" 벌거의 여자친구 gets 8 years","Mobster "" Whitey "" Bulger ' s girlfriend","조폭 ""화이티"" 벌거의 여자친구",3.5999999046325684
100,They are being held on immigration violations as the incident is investigated .,They are being held on 이민 위반 as the incident is investigated .,immigration violations,이민 위반,Both men are being held for investigation of administrative immigration violations .,두 남자 모두 are being held for investigation of administrative immigration violations .,Both men,두 남자 모두,4.400000095367432
101,Read More : You have never met anyone that is Pro - Abortion ?,Read More : You have never met 프로인 사람 - 낙태 ?,anyone that is Pro - Abortion,프로인 사람 - 낙태,You have never met anyone that is Pro - Abortion ?,You have never met 프로인 사람 - 낙태 ?,anyone that is Pro - Abortion,프로인 사람 - 낙태,4.800000190734863
102,A woman is collecting tap water in a mug .,여자 is collecting tap water in a mug .,A woman,여자,A boy is filling a pitcher with water .,소년 is filling a pitcher with water .,A boy,소년,1.399999976158142
103,A Tale of Two Passes : How The New York Giants Won The Super Bowl,그런 사람에게 of Two Passes : How The New York Giants Won The Super Bowl,A Tale,그런 사람에게,Lesser of two evils triumphs in Super Bowl,두 가지 악 중 적은 것 triumphs in Super Bowl,Lesser of two evils,두 가지 악 중 적은 것,1.399999976158142
104,"The identical rovers will act as robotic geologists , searching for evidence of past water .","동일한 로버 will act as robotic geologists , searching for evidence of past water .",The identical rovers,동일한 로버,"The rovers act as robotic geologists , moving on six wheels .","로버 act as robotic geologists , moving on six wheels .",The rovers,로버,3.200000047683716
105,A train sitting on the tracks near a field .,기차 sitting on the tracks near a field .,A train,기차,A baby is sitting in the grass .,아기 is sitting in the grass .,A baby,아기,0.0
106,Iran ' s parliament backs nuclear deal,이란 의회 backs nuclear deal,Iran ' s parliament,이란 의회,Iran hardliners attack nuclear deal,이란 강경파 attack nuclear deal,Iran hardliners,이란 강경파,1.0
107,Demolition work begins on Don Valley Stadium,철거작업 begins on Don Valley Stadium,Demolition work,철거작업,Demolition work to begin at stadium,철거작업 to begin at stadium,Demolition work,철거작업,3.200000047683716
108,"The market ' s broader gauges also posted big gains , having climbed higher for four consecutive weeks .","시장의 더 넓은 게이지 also posted big gains , having climbed higher for four consecutive weeks .",The market ' s broader gauges,시장의 더 넓은 게이지,"The broader market also retreated , having climbed higher for four consecutive weeks .","더 넓은 시장 also retreated , having climbed higher for four consecutive weeks .",The broader market,더 넓은 시장,3.5999999046325684
109,A girl is making eyelid .,여자 is making eyelid .,A girl,여자,A woman is applying eyeshadow .,여자 is applying eyeshadow .,A woman,여자,2.0
110,A woman holds a dog while another dog stands nearby in a field .,여자 holds a dog while another dog stands nearby in a field .,A woman,여자,A lady holding one dog while another dog is playing in the yard .,여성 holding one dog while another dog is playing in the yard .,A lady,여성,3.400000095367432
111,Such a step could put the issue before the UN Security Council .,그런 걸음 could put the issue before the UN Security Council .,Such a step,그런 걸음,The matter could then be sent to the U . N . Security Council .,문제 could then be sent to the U . N . Security Council .,The matter,문제,2.799999952316284
112,"ABVP protesters clash with police at Jantar Mantar , throw stones","ABVP 시위대 clash with police at Jantar Mantar , throw stones",ABVP protesters,ABVP 시위대,"Protesters clash with police at Jantar Mantar , 5 people detained","Protesters clash with police at 잔타르 만타르 , 5 people detained",Jantar Mantar,잔타르 만타르,2.799999952316284
113,Egypt protesters ' to be dispersed ',이집트 시위대 ' to be dispersed ',Egypt protesters,이집트 시위대,Abduction teacher to be sentenced,납치 교사 to be sentenced,Abduction teacher,납치 교사,0.0
114,Pakistan begins demolition of bin Laden compound,Pakistan begins 빈 라덴 은신처 철거,demolition of bin Laden compound,빈 라덴 은신처 철거,Pakistan demolishes Osama bin Laden hideout,Pakistan demolishes 오사마 빈 라덴 은신처,Osama bin Laden hideout,오사마 빈 라덴 은신처,2.799999952316284
115,I Shot the Sheriff We are all vessels filled with many wonders .,I Shot 보안관 We are all vessels filled with many wonders .,the Sheriff,보안관,We are all vessels filled with many wonders .,We are 많은 경이로 가득 찬 모든 그릇 .,all vessels filled with many wonders,많은 경이로 가득 찬 모든 그릇,3.400000095367432
116,A man pours oil on some tomatos .,한 남자 pours oil on some tomatos .,A man,한 남자,The man poured oil on the cut tomatoes .,그 남자 poured oil on the cut tomatoes .,The man,그 남자,3.799999952316284
117,NYPD Twitter Outreach Backfires Badly,NYPD 트위터 홍보 Backfires Badly,NYPD Twitter Outreach,NYPD 트위터 홍보,NYPD ' s twitter campaign backfires,NYPD의 트위터 캠페인 backfires,NYPD ' s twitter campaign,NYPD의 트위터 캠페인,4.800000190734863
118,Iranian president calls for new nuclear talks,이란 대통령 calls for new nuclear talks,Iranian president,이란 대통령,Iranian minister blames West for failed nuke talks,이란 장관 blames West for failed nuke talks,Iranian minister,이란 장관,2.0
119,A dog is playing in the snow .,개 is playing in the snow .,A dog,개,A dog is pawing at a fly in the carpet before it .,개 is pawing at a fly in the carpet before it .,A dog,개,1.600000023841858
120,A person sitting on a motorcycle while a man stands by .,사람 sitting on a motorcycle while a man stands by .,A person,사람,A man stands next to a helmeted man on a motorcycle in an empty parking lot .,한 남자 stands next to a helmeted man on a motorcycle in an empty parking lot .,A man,한 남자,3.0
121,"To paraphrase a common saying , "" One man ' s weed is another man ' s lawn "" .","To paraphrase ""한 사람의 잡초는 다른 사람의 잔디밭이다""라는 일반적인 속담 .","a common saying , "" One man ' s weed is another man ' s lawn ""","""한 사람의 잡초는 다른 사람의 잔디밭이다""라는 일반적인 속담","First , let me say I ' ve no experience doing battle with Bermuda grass .","First , let me say I ' ve 버뮤다 잔디와의 전투 경험 없음 .",no experience doing battle with Bermuda grass,버뮤다 잔디와의 전투 경험 없음,1.0
122,Thirty - Seven Dead In Italy Tour Bus Plunge,Thirty - Seven Dead In Italy 투어 버스 플런지,Seven Dead In Italy Tour Bus Plunge,Seven Dead In Italy 투어 버스 플런지,Thirty Dead In Italian Bus Plunge,서른 죽은 In Italian Bus Plunge,Thirty Dead,서른 죽은,3.200000047683716
123,18 trapped in Russian coal mine blast,18 trapped in 러시아 탄광 폭발,Russian coal mine blast,러시아 탄광 폭발,Ten killed in Russia coal mine blast,Ten killed in 러시아 탄광 폭발,Russia coal mine blast,러시아 탄광 폭발,2.799999952316284
124,A man is eating .,한 남자 is eating .,A man,한 남자,A woman is rock climbing .,여자 is rock climbing .,A woman,여자,0.0
125,Malaysia ' s long - ruling coalition hangs on to power,말레이시아의 장기 집권 연합 hangs on to power,Malaysia ' s long - ruling coalition,말레이시아의 장기 집권 연합,Malaysia ' s ruling coalition wins majority,말레이시아 집권 연합 wins majority,Malaysia ' s ruling coalition,말레이시아 집권 연합,3.799999952316284
126,The company said it would cut the wholesale price of most top - line CDs to $ 9 . 09 from $ 12 . 02 .,그 회사 said it would cut the wholesale price of most top - line CDs to $ 9 . 09 from $ 12 . 02 .,The company,그 회사,The company also said it would cut wholesale prices on cassettes and change the suggested retail price to $ 8 . 98 .,그 회사 also said it would cut wholesale prices on cassettes and change the suggested retail price to $ 8 . 98 .,The company,그 회사,1.600000023841858
127,But it is clear that the Joint Intelligence Committee was not involved .,But it is clear that 합동정보위원회 was not involved .,the Joint Intelligence Committee,합동정보위원회,This report was cleared by the Joint Intelligence Committee .,이 보고서 was cleared by the Joint Intelligence Committee .,This report,이 보고서,2.0
128,"you don ' t use the search button much , do you ?","you don ' t use 검색 버튼 much , do you ?",the search button,검색 버튼,"you don ' t use the search button AT ALL , do you ?","you don ' t use 검색 버튼 AT ALL , do you ?",the search button,검색 버튼,4.199999809265137
129,A group of people sitting around a table containing food .,그룹 of people sitting around a table containing food .,A group,그룹,A group of people sitting around a table on a porch .,그룹 of people sitting around a table on a porch .,A group,그룹,3.400000095367432
130,A woman is chopping an onion .,여자 is chopping an onion .,A woman,여자,A woman is chopping garlic with a knife .,여자 is chopping garlic with a knife .,A woman,여자,1.7999999523162842
131,"Peterson told police he fished alone in San Francisco Bay on Christmas Eve , returning to an empty house .","Peterson told police he fished alone in 샌프란시스코 베이 on Christmas Eve , returning to an empty house .",San Francisco Bay,샌프란시스코 베이,Peterson told police he left his wife at about 9 : 30 a . m . on Dec . 24 to fish alone in San Francisco Bay .,Peterson told police he left 그의 부인 at about 9 : 30 a . m . on Dec . 24 to fish alone in San Francisco Bay .,his wife,그의 부인,3.0
132,General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla .,제프리 장군 said he would donate his military pension to charity for the period he was in office at Yarralumla .,General Jeffrey,제프리 장군,Maj - Gen Jeffery said he would give his military pension to charity while he served at Yarralumla .,Maj - 제프리 장군 said he would give his military pension to charity while he served at Yarralumla .,Gen Jeffery,제프리 장군,4.727000236511231
133,The animal with the big eyes is eating .,큰 눈을 가진 동물 is eating .,The animal with the big eyes,큰 눈을 가진 동물,A slow loris is eating .,느린로리스 is eating .,A slow loris,느린로리스,2.5999999046325684
134,"Shares of Littleton , Colorado - based EchoStar rose $ 1 . 63 , or 5 . 3 percent , to $ 32 . 26 at 10 : 55 a . m .","콜로라도 주 리틀턴의 주식 - 기반 EchoStar rose $ 1 . 63 , or 5 . 3 percent , to $ 32 . 26 at 10 : 55 a . m .","Shares of Littleton , Colorado - based EchoStar",콜로라도 주 리틀턴의 주식 - 기반 EchoStar,"On Monday , EchoStar ( DISH : news , chart , profile ) shares shrank $ 1 . 40 , or 4 . 4 percent , to $ 30 . 63 .","On Monday , EchoStar ( DISH : 뉴스 , 차트 , 프로필 ) 공유 shrank $ 1 . 40 , or 4 . 4 percent , to $ 30 . 63 .","EchoStar ( DISH : news , chart , profile ) shares","EchoStar ( DISH : 뉴스 , 차트 , 프로필 ) 공유",2.0
135,Fourteen killed in Brazil bus accident,Fourteen killed in 브라질 버스 사고,Brazil bus accident,브라질 버스 사고,Two killed in Arizona skydiving accident,Two killed in 애리조나 스카이다이빙 사고,Arizona skydiving accident,애리조나 스카이다이빙 사고,0.6000000238418579
136,"The tech - heavy Nasdaq Stock Markets composite index added 1 . 16 points to 1 , 504 . 04 .","테크 헤비 나스닥 주식 시장 복합 지수 added 1 . 16 points to 1 , 504 . 04 .",The tech - heavy Nasdaq Stock Markets composite index,테크 헤비 나스닥 주식 시장 복합 지수,"The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",기술주가 가득한 나스닥종합지수는 was lately up around 18 points .,"The Nasdaq Composite index , full of technology stocks ,",기술주가 가득한 나스닥종합지수는,2.200000047683716
137,A man is riding a horse .,한 남자 is riding a horse .,A man,한 남자,A man is playing a keyboard .,한 남자 is playing a keyboard .,A man,한 남자,0.2000000029802322
138,Two constructions workers sit on a beam taking a break .,두 건설 노동자 sit on a beam taking a break .,Two constructions workers,두 건설 노동자,The man is putting on his shirt near an elevator .,그 남자 is putting on his shirt near an elevator .,The man,그 남자,0.0
139,"Two convicted killers and another inmate escaped from a state prison on a busy street Wednesday by cutting through a fence , a Corrections Department official said .","Two convicted killers and another inmate escaped from a state prison on a busy street Wednesday by cutting through a fence , 교정국 관계자 said .",a Corrections Department official,교정국 관계자,A convicted killer and two other inmates cut through two fences topped with razor wire and escaped from a state prison on a busy street .,유죄 판결을 받은 살인범과 다른 두 명의 수감자 cut through two fences topped with razor wire and escaped from a state prison on a busy street .,A convicted killer and two other inmates,유죄 판결을 받은 살인범과 다른 두 명의 수감자,3.5
140,Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves .,캐나다 통계청이 어제 발표한 2001년 원주민 조사 결과 suggest living standards have improved but still lag for those off reserves .,Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada,캐나다 통계청이 어제 발표한 2001년 원주민 조사 결과,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves .,캐나다 통계청이 수요일 발표한 2001년 원주민 설문조사 says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves .,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada,캐나다 통계청이 수요일 발표한 2001년 원주민 설문조사,3.908999919891357
141,The women are sitiing down .,여성 are sitiing down .,The women,여성,Two women are sitting close to each other and talking .,두 여자 are sitting close to each other and talking .,Two women,두 여자,2.5999999046325684
142,"There were indeed some serious issues surrounding Kennedy ' s election in 1960 , one of the closest elections in History .",There were indeed 역사상 가장 가까운 선거 중 하나인 1960년 케네디의 선거를 둘러싼 몇 가지 심각한 문제 .,"some serious issues surrounding Kennedy ' s election in 1960 , one of the closest elections in History",역사상 가장 가까운 선거 중 하나인 1960년 케네디의 선거를 둘러싼 몇 가지 심각한 문제,As per your original question : The Wikipedia section does not claim that Joseph P Kennedy bought John F Kennedy ' s victory .,As per your original question : 위키백과 섹션 does not claim that Joseph P Kennedy bought John F Kennedy ' s victory .,The Wikipedia section,위키백과 섹션,1.600000023841858
143,A woman is doing weight exercises .,여자 is doing weight exercises .,A woman,여자,A woman is doing her hair .,여자 is doing her hair .,A woman,여자,0.5
144,Two NATO soldiers killed in Afghanistan,나토군 2명 killed in Afghanistan,Two NATO soldiers,나토군 2명,NATO soldier killed in Afghan attack,타고난 군인 killed in Afghan attack,NATO soldier,타고난 군인,4.0
145,Brown cow with horns standing in a field .,갈색 소 with horns standing in a field .,Brown cow,갈색 소,Brown horse standing in middle of grassy field .,갈색 말 standing in middle of grassy field .,Brown horse,갈색 말,1.7999999523162842
146,brazil ' s strategic affairs minister roberto mangabeira unger stated brazil ' s new national defense plan calls for establishing partnerships with countries including russia and france to build a state - of - the - art weapons industry .,로베르토 망가베이라 웅거 브라질 전략장관 stated brazil ' s new national defense plan calls for establishing partnerships with countries including russia and france to build a state - of - the - art weapons industry .,brazil ' s strategic affairs minister roberto mangabeira unger,로베르토 망가베이라 웅거 브라질 전략장관,unger stated brazil ' s new national defense plan calls for establishing partnerships with countries including russia and france to build a state - of - the - art weapons industry .,unger stated 브라질의 새로운 국방 계획 calls for establishing partnerships with countries including russia and france to build a state - of - the - art weapons industry .,brazil ' s new national defense plan,브라질의 새로운 국방 계획,3.799999952316284
147,A man is mowing a lawn .,한 남자 is mowing a lawn .,A man,한 남자,A woman is cutting a lemon .,여자 is cutting a lemon .,A woman,여자,0.2000000029802322
148,A skateboarder doing a trick on a stone wall .,스케이트보더 doing a trick on a stone wall .,A skateboarder,스케이트보더,A skateboarder riding up to a slope .,스케이트보더 riding up to a slope .,A skateboarder,스케이트보더,2.200000047683716
149,A woman dances while a man plays the keyboard .,여자 dances while a man plays the keyboard .,A woman,여자,A woman is dancing on a stage .,여자 is dancing on a stage .,A woman,여자,2.200000047683716
150,A woman boils eggs .,여자 boils eggs .,A woman,여자,A woman places two eggs into a pot of water .,여자 places two eggs into a pot of water .,A woman,여자,3.0
151,A cartoon woman dives into a pool .,만화 여자 dives into a pool .,A cartoon woman,만화 여자,A cartoon woman is diving off a board .,만화 여자 is diving off a board .,A cartoon woman,만화 여자,2.799999952316284
152,You should take this animal to a vet right away .,You should take 이 동물 to a vet right away .,this animal,이 동물,"As covered in the other answers , your only option is to see a vet in order to have surgery done .","As covered in the other answers , 당신의 유일한 선택 is to see a vet in order to have surgery done .",your only option,당신의 유일한 선택,3.5999999046325684
153,North Korea test fires 30 missiles into the sea,북한 테스트 fires 30 missiles into the sea,North Korea test,북한 테스트,N Korea ' fires 100 shells ' into the sea,N Korea ' fires 100 shells ' into 바다,the sea,바다,2.799999952316284
154,A train is on the railroad tracks .,기차 is on the railroad tracks .,A train,기차,A train on the train tracks .,기차 on the train tracks .,A train,기차,4.800000190734863
155,A man stands in front of a train .,한 남자 stands in front of a train .,A man,한 남자,"A man is standing in front of a raised statue , .","한 남자 is standing in front of a raised statue , .",A man,한 남자,2.0
156,Crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain .,Crews worked to install 새로운 암거 and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain .,a new culvert,새로운 암거,Crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel .,Crews worked to install 새로운 암거 and repave the highway so motorists could use the eastbound lanes for travel .,a new culvert,새로운 암거,3.3329999446868896
157,He claims it may seem unrealistic only because little effort has been devoted to the concept .,He claims it may seem unrealistic only because 약간의 노력 has been devoted to the concept .,little effort,약간의 노력,""" This proposal is modest compared with the space programme , and may seem unrealistic only because little effort has been devoted to it .",""" 이 제안 is modest compared with the space programme , and may seem unrealistic only because little effort has been devoted to it .",This proposal,이 제안,3.5
158,"But at age 15 , she had reached 260 pounds and a difficult decision : It was time to try surgery .","But at age 15 , she had reached 260 pounds and 어려운 결정 : 수술을 시도할 때였다 .",a difficult decision : It was time to try surgery,어려운 결정 : 수술을 시도할 때였다,"But at the age of 15 , she weighed a whopping 117 kg and came to a difficult decision : it was time to try surgery .","But at 15세 , she weighed a whopping 117 kg and came to a difficult decision : it was time to try surgery .",the age of 15,15세,4.25
159,mexico wishes to guarantee citizens ' safety .,mexico wishes to guarantee 시민의 안전 .,citizens ' safety,시민의 안전,mexico wishes to avoid more violence .,mexico wishes to avoid 더 많은 폭력 .,more violence,더 많은 폭력,4.0
160,A woman is peeling an onion .,여자 is peeling an onion .,A woman,여자,The woman is slicing green onions .,여자 is slicing green onions .,The woman,여자,3.25
161,a man in red shorts is walking along rocks by a river carrying a stick .,빨간 반바지를 입은 남자 is walking along rocks by a river carrying a stick .,a man in red shorts,빨간 반바지를 입은 남자,A man is walking on rocks with water flowing around them .,한 남자 is walking on rocks with water flowing around them .,A man,한 남자,3.400000095367432
162,Egypt ' s main opposition rejects president ' s call for dialogue,이집트의 주요 야당 rejects president ' s call for dialogue,Egypt ' s main opposition,이집트의 주요 야당,Egypt opposition mulls response to Morsi dialogue call,이집트 반대 mulls response to Morsi dialogue call,Egypt opposition,이집트 반대,3.799999952316284
163,He had been arrested twice before for trespassing and barred from the complex - home to his mother and two children .,He had been arrested twice before for trespassing and barred from 단지 - 그의 어머니와 두 자녀의 집 .,the complex - home to his mother and two children,단지 - 그의 어머니와 두 자녀의 집,He had been arrested twice before for trespassing and was barred from the complex .,He had been arrested twice before for trespassing and was barred from 단지 .,the complex,단지,3.5999999046325684
164,"Shares in BA were down 1 . 5 percent at 168 pence by 1420 GMT , off a low of 164 p , in a slightly stronger overall London market .","BA의 주식 were down 1 . 5 percent at 168 pence by 1420 GMT , off a low of 164 p , in a slightly stronger overall London market .",Shares in BA,BA의 주식,"Shares in BA were down three percent at 165 - 1 / 4 pence by 0933 GMT , off a low of 164 pence , in a stronger market .","BA의 주식 were down three percent at 165 - 1 / 4 pence by 0933 GMT , off a low of 164 pence , in a stronger market .",Shares in BA,BA의 주식,2.400000095367432
165,Three dogs standing in snow next to a blue fence .,세 마리의 개 standing in snow next to a blue fence .,Three dogs,세 마리의 개,Three dogs play in the shallows next to a rocky shore .,세 마리의 개 play in the shallows next to a rocky shore .,Three dogs,세 마리의 개,2.200000047683716
166,Indian police round up all five suspects in Mumbai rape case,인도 경찰 round up all five suspects in Mumbai rape case,Indian police,인도 경찰,Mumbai police arrest fifth suspect in gang - rape case,뭄바이 경찰 arrest fifth suspect in gang - rape case,Mumbai police,뭄바이 경찰,3.799999952316284
167,Car bombing kills 17 in Pakistan,자동차 폭격 kills 17 in Pakistan,Car bombing,자동차 폭격,Suicide bomber kills 10 in Pakistan,자살 폭탄 kills 10 in Pakistan,Suicide bomber,자살 폭탄,2.5999999046325684
168,It means its AN option .,It means AN 옵션 .,its AN option,AN 옵션,does nt mean its a BAD option .,does nt mean 그것의 나쁜 옵션 .,its a BAD option,그것의 나쁜 옵션,1.600000023841858
169,"Tropical Storm Isaac drenches Haiti , swipes Cuba","열대성 폭풍 아이작 drenches Haiti , swipes Cuba",Tropical Storm Isaac,열대성 폭풍 아이작,Tropical Storm Isaac threatens dam,열대성 폭풍 아이작 threatens dam,Tropical Storm Isaac,열대성 폭풍 아이작,1.399999976158142
170,A man is riding a horse .,한 남자 is riding a horse .,A man,한 남자,A woman is washing a freezer .,여자 is washing a freezer .,A woman,여자,0.0
171,A man and small child in a living room posing for the camera .,남자와 작은 아이 in a living room posing for the camera .,A man and small child,남자와 작은 아이,A man and woman are posing for the camera .,남자와 여자 are posing for the camera .,A man and woman,남자와 여자,2.400000095367432
172,A person breaks an egg into a small bowl .,사람 breaks an egg into a small bowl .,A person,사람,A man cracks an egg .,한 남자 cracks an egg .,A man,한 남자,2.5999999046325684
173,Four French soldiers killed in Afghan suicide blast,4명의 프랑스 군인 killed in Afghan suicide blast,Four French soldiers,4명의 프랑스 군인,Four foreign soldiers killed in Afghan east,4명의 외국 군인 killed in Afghan east,Four foreign soldiers,4명의 외국 군인,3.400000095367432
174,"The drop in core wholesale prices in April reflected falling prices for cars , trucks , men ' s and boy ' s clothes and cigarettes .","4월 핵심도매가격 하락 reflected falling prices for cars , trucks , men ' s and boy ' s clothes and cigarettes .",The drop in core wholesale prices in April,4월 핵심도매가격 하락,"That was the biggest drop since August 1993 and stemmed from falling prices for cars , trucks , men ' s and boys ' clothes and cigarettes .","That was 1993년 8월 이후 최대 낙폭 and stemmed from falling prices for cars , trucks , men ' s and boys ' clothes and cigarettes .",the biggest drop since August 1993,1993년 8월 이후 최대 낙폭,3.5
175,A man is on a rooftop,한 남자 is on a rooftop,A man,한 남자,A man is holding a microphone in a room .,한 남자 is holding a microphone in a room .,A man,한 남자,0.800000011920929
176,Two women are wrestling .,두 여자 are wrestling .,Two women,두 여자,Two women are wrestling on the floor .,두 여자 are wrestling on the floor .,Two women,두 여자,4.0
177,The jury also found Gonzales guilty of using excessive force by dousing Olvera - Carrera with pepper spray .,배심원 also found Gonzales guilty of using excessive force by dousing Olvera - Carrera with pepper spray .,The jury,배심원,Gonzales was found guilty of using excessive force by spraying Olvera with pepper spray .,Gonzales was found guilty of using 과도한 힘 by spraying Olvera with pepper spray .,excessive force,과도한 힘,4.25
178,Captain of sunken South Korean ferry arrested,침몰한 한국 여객선의 선장 arrested,Captain of sunken South Korean ferry,침몰한 한국 여객선의 선장,Captain of capsized S Korean Ferry Arrested,Captain of 전복된 에스코리아 페리 Arrested,capsized S Korean Ferry,전복된 에스코리아 페리,4.0
179,EU Set for New Sanctions on Iran,미국 세트 for New Sanctions on Iran,EU Set,미국 세트,EU plans major new sanctions against Iran,EU plans 이란에 대한 새로운 주요 제재,major new sanctions against Iran,이란에 대한 새로운 주요 제재,4.400000095367432
180,A man is riding a bike .,한 남자 is riding a bike .,A man,한 남자,A woman is dancing in the street .,여자 is dancing in the street .,A woman,여자,0.2000000029802322
181,Two cats are close together inside and black and white furry enclosure .,고양이 두 마리 are close together inside and black and white furry enclosure .,Two cats,고양이 두 마리,"Two baby kittens are sitting inside a cow - schemed , fur - covered dome .","새끼 고양이 두 마리 are sitting inside a cow - schemed , fur - covered dome .",Two baby kittens,새끼 고양이 두 마리,3.5999999046325684
182,Pakistan ' s Musharraf Under Arrest in Bhutto Assassination,파키스탄의 무샤라프 Under Arrest in Bhutto Assassination,Pakistan ' s Musharraf,파키스탄의 무샤라프,Pakistan ' s Musharraf arrives at court for first time,파키스탄의 무샤라프 arrives at court for first time,Pakistan ' s Musharraf,파키스탄의 무샤라프,2.400000095367432
183,"Punjab Mail derails near Rohtak , 19 injured","펀잡 메일 derails near Rohtak , 19 injured",Punjab Mail,펀잡 메일,"Punjab Mail derails near Rohtak in Haryana , 19 injured","펀잡 메일 derails near Rohtak in Haryana , 19 injured",Punjab Mail,펀잡 메일,4.199999809265137
184,There are many compact cameras with underwater housings available from Canon and Olympus .,There are Canon 및 Olympus에서 사용할 수 있는 수중 하우징이 있는 많은 소형 카메라 .,many compact cameras with underwater housings available from Canon and Olympus,Canon 및 Olympus에서 사용할 수 있는 수중 하우징이 있는 많은 소형 카메라,"There are waterproof compacts that go to 10 meters , such as some of the Olympus Tough models .",There are 일부 Olympus Tough 모델과 같이 10미터까지 가는 방수 콤팩트 .,"waterproof compacts that go to 10 meters , such as some of the Olympus Tough models",일부 Olympus Tough 모델과 같이 10미터까지 가는 방수 콤팩트,3.200000047683716
185,Death toll rises to 236 after Brazzaville blasts,사망자 수 rises to 236 after Brazzaville blasts,Death toll,사망자 수,Rep . of Congo : 236 Dead After Arms Depot Blasts,대표  콩고의 : 236 Dead After Arms Depot Blasts,Rep . of Congo,대표  콩고의,3.5999999046325684
186,Powerful 7 . 6 quake strikes off Solomons,강력한 7  6 지진 strikes off Solomons,Powerful 7 . 6 quake,강력한 7  6 지진,Powerful 6 . 9 quake strikes off California coast,Powerful 6 . 9 quake strikes off 캘리포니아 해안,California coast,캘리포니아 해안,2.200000047683716
187,sharia is islamic law .,sharia is 이슬람법 .,islamic law,이슬람법,iran is an islamic republic .,iran is 이슬람 공화국 .,an islamic republic,이슬람 공화국,1.2000000476837158
188,A computer on a desk .,컴퓨터 on a desk .,A computer,컴퓨터,A computer operating on a desk .,컴퓨터 operating on a desk .,A computer,컴퓨터,4.0
189,New video shows US police officers beating mentally - ill man,새 동영상 shows US police officers beating mentally - ill man,New video,새 동영상,New York police officer critically wounded in hatchet attack,뉴욕 경찰 critically wounded in hatchet attack,New York police officer,뉴욕 경찰,0.0
190,A blonde woman looks for medical supplies for work in a suitcase .,금발의 여자 looks for medical supplies for work in a suitcase .,A blonde woman,금발의 여자,The blond woman is searching for medical supplies in a suitcase .,금발의 여자 is searching for medical supplies in a suitcase .,The blond woman,금발의 여자,5.0
191,China launches probe and rover to moon,China launches 프로브와 로버를 달로,probe and rover to moon,프로브와 로버를 달로,China launches first moon rover mission,China launches 최초의 달 탐사선 임무,first moon rover mission,최초의 달 탐사선 임무,4.0
192,Two killed in new Israeli strike on Gaza : medics,Two killed in 가자에 대한 새로운 이스라엘의 공습 : medics,new Israeli strike on Gaza,가자에 대한 새로운 이스라엘의 공습,"5 die in strikes on Gaza , militants barrage Israel","5 die in 가자에 대한 공격 , militants barrage Israel",strikes on Gaza,가자에 대한 공격,2.0
193,A man is slicing a potatoe .,한 남자 is slicing a potatoe .,A man,한 남자,A man is peeling a banana .,한 남자 is peeling a banana .,A man,한 남자,1.0
194,Many middle eastern people are sitting in the back of a blue truck .,많은 중동 사람들 are sitting in the back of a blue truck .,Many middle eastern people,많은 중동 사람들,A group of people are riding in the back of a truck .,사람들의 그룹 are riding in the back of a truck .,A group of people,사람들의 그룹,3.400000095367432
195,A class 6 card in theory should be more than enough bandwidth for HD ( 1080 ) video for the 550 D ( 48 MBit ) .,이론적으로 클래스 6 카드 should be more than enough bandwidth for HD ( 1080 ) video for the 550 D ( 48 MBit ) .,A class 6 card in theory,이론적으로 클래스 6 카드,"Some cards are too slow to accept an HD stream , so you need one that is fast enough .","일부 카드 are too slow to accept an HD stream , so you need one that is fast enough .",Some cards,일부 카드,1.600000023841858
