,sentence1,source1_np0,sentence2,source2_np0,label
195,A class 6 card in theory should be more than enough bandwidth for HD ( 1080 ) video for the 550 D ( 48 MBit ) .,A class 6 card in theory,"Some cards are too slow to accept an HD stream , so you need one that is fast enough .",Some cards,1.600000023841858
196,Beef burger mix recalled over salmonella concerns,Beef burger mix,Choc powder recalled over salmonella concerns,Choc powder,1.0
197,China launches first air - to - air missile from chopper,first air,China court sentences Bo Xilai to life imprisonment for corruption,China court,0.6000000238418579
198,Wal - Mart estimates more than 100 million Americans visit their stores every week .,more than 100 million Americans,"Each week 138 million shoppers visit Wal - Mart ' s 4 , 750 stores .",Each week,2.799999952316284
199,Women to face higher car insurance premiums,higher car insurance premiums,Women drivers to face insurance premium rise,Women drivers,5.0
200,"On Wednesday , the total of National Guard and Reserve members called to active duty worldwide stood at 154 , 603 .",the total of National Guard and Reserve members called to active duty worldwide,"As of yesterday , the total number of National Guard and Reserve troops called to duty worldwide stood at 154 , 603 .",the total number of National Guard and Reserve troops called to duty worldwide,4.0
201,Egyptians to vote for new president,new president,Somali MPs to elect new president,Somali MPs,0.800000011920929
202,A woman is slicing octopus .,A woman,A man is playing the guitar .,A man,0.0
203,Red Sox beat Tigers to reach World Series,Red Sox,Red Sox beat Tigers 5 - 2 to advance to World Series,Red Sox,4.400000095367432
204,The movement of the ball in the air is called swing bowling .,The movement of the ball in the air,Both of these styles of bowling are performed by bowlers who are medium pace or fast bowlers .,Both of these styles of bowling,1.7999999523162842
205,"With the power back on , state workers headed back to their jobs Friday morning .",state workers,"Pataki said if power was restored , state workers would be back on the job Friday morning .",state workers,2.5999999046325684
206,"9 dead , 11 hurt , 4 missing in Mont Blanc avalanche",Mont Blanc avalanche,"6 dead , several missing in Mont Blanc avalanche",several missing,2.400000095367432
207,Los Angeles airport worker charged with making 9 / 11 threats,Los Angeles airport worker,Los Angeles airport worker charged over 9 / 11 threats,Los Angeles airport worker,5.0
208,A ballet dancer is performing on stage .,A ballet dancer,The beaver is being petted .,The beaver,0.0
209,the countries oppose the weaponization of space and an arms race in space .,the countries,china stressed that opposition of weaponization and an arms race in outer space .,opposition of weaponization and an arms race in outer space,3.200000047683716
210,Semiconductor giant Intel Corp . said yesterday that its second - quarter profits doubled from a year ago as stronger - than - expected demand for computer microprocessors offset the weakness of its communications chip business .,Semiconductor giant Intel Corp .,Intel Corp . ' s second - quarter profits doubled and revenues grew 8 percent from a year ago as the chip - making giant reported stronger - than - expected demand for personal computer microprocessors .,Intel Corp . ' s,3.799999952316284
211,Six Democrats are vying to succeed Jacques and have qualified for the Feb . 3 primary ballot .,Six Democrats,Six Democrats and two Republicans are running for her seat and have qualified for the Feb . 3 primary ballot .,Six Democrats and two Republicans,3.400000095367432
212,"The 30 - year bond US30 YT = RR jumped 20 / 32 , taking its yield to 4 . 14 percent from 4 . 18 percent .",The 30 - year bond US30 YT = RR,The 30 - year bond US30 YT = RR dipped 14 / 32 for a yield of 4 . 26 percent from 4 . 23 percent .,The 30 - year bond US30 YT = RR,2.0
213,"Most doctors do recommend rice cereal as the first food , as there is almost no worry of allergic reaction .",Most doctors,Eating off a spoon has to be an unusual experience for them .,an unusual experience,0.6700000166893005
214,Floods leave six dead in Philippines,six dead,Heavy rains leave 18 dead in Philippines,Heavy rains,2.5999999046325684
215,i don ' t want a president who ' cares ' .,a president who ' cares ',i don ' t want a president who is charasmatic .,a president who is charasmatic,1.0
216,EU extends sanctions against Russia,sanctions against Russia,Nigeria drops arms trafficking charges against Russian sailors,arms trafficking charges against Russian sailors,0.4000000059604645
217,"A second victim , Michael Walker , 23 , was struck in the torso , the bullet perforating his lung .","A second victim , Michael Walker , 23 ,","The other victim , Michael Walker , of 550 Barbey Street , was struck in the neck .","The other victim , Michael Walker , of 550 Barbey Street ,",2.200000047683716
218,Brazil ' s ' pop - star priest ' gets mammoth new stage,Brazil ' s ' pop - star priest ',Brazil ' s ' Pop - Star Priest ' Gets Mammoth New Stage,Brazil ' s ' Pop - Star Priest ',5.0
219,A cow is eating grass .,A cow,A cow is eating hay .,A cow,3.799999952316284
220,The man rode his motorcycle down the highway .,The man,A person is driving a motorcycle on a road .,A person,3.75
221,Arkansas Supreme Court strikes down execution law,Arkansas Supreme Court,Arkansas Justices Strike Down Death Penalty,Arkansas Justices,4.599999904632568
222,"Licensing revenue slid 21 percent , however , to $ 107 . 6 million .",Licensing revenue,"License sales , a key measure of demand , fell 21 percent to $ 107 . 6 million .","License sales , a key measure of demand ,",4.0
223,Two women are posing for the camera and giving the thumbs up sign .,Two women,Two smiling young women giving the thumbs up sign .,Two smiling young women,4.400000095367432
224,Singapore shares open 0 . 28 % lower on Thursday,Singapore shares,Singapore shares open 0 . 19 % higher on Thursday,Singapore shares,2.0
225,Al - Qaida says it captures 70 Yemeni soldiers in Abyan ' s battle,70 Yemeni soldiers,"Al Qaeda clashes , blasts kill 35 soldiers in Yemen",Al Qaeda clashes,1.399999976158142
226,A man riding a white horse .,A man,A woman riding a brown horse .,A woman,1.7999999523162842
227,"The Nasdaq composite index added 30 . 46 points , or 2 percent , to 1 , 520 . 15 .",The Nasdaq composite index,"The Nasdaq had a weekly gain of 17 . 27 , or 1 . 2 percent , closing at 1 , 520 . 15 after gaining 30 . 46 yesterday .",The Nasdaq,2.400000095367432
228,Two dogs run side - by - side on the grass .,Two dogs,Two dogs running on grass .,Two dogs,4.400000095367432
229,Nazi Gestapo chief ' buried in Jewish cemetery ',Nazi Gestapo chief,Nazi chief buried in Jewish cemetary,Nazi chief,4.800000190734863
230,Israeli forces detain 2 in Hebron arrest raid,Israeli forces,Israeli credibility on line over Iran nuclear challenge,Israeli credibility,2.25
231,Ukrainian presidency says deal reached at crisis talks,Ukrainian presidency,Ukraine rivals sign deal to end crisis,Ukraine rivals,4.0
232,"A black , brown and white dog running through a field .","A black , brown and white dog",A white and brown dog runs in a field .,A white and brown dog,2.8299999237060547
233,"I have a few Nikon lenses , and a Sigma 10 - 20 mm for super - wide shots .","a few Nikon lenses , and a Sigma 10 - 20 mm for super - wide shots","If your interest is primarily the optics , you need to look at individual lenses , not brands as a whole .",your interest,1.7999999523162842
234,A black dog is running in the grass .,A black dog,The black dog is running through the grass .,The black dog,4.800000190734863
235,A boy skateboards down the railing of some graffiti stairs,A boy,A skateboarder is jumping over an obstacle in front of a white house .,A skateboarder,2.799999952316284
236,Long - haired black dog standing in grassy field .,haired black dog,A blue jay standing in a grassy field .,A blue jay,1.399999976158142
237,A woman is brushing her feet .,A woman,The sun is rising behind trees .,The sun,0.0
238,mexican president felipe calderon has sent 2800 special agents and soldiers to sinaloa due to the high degree of organized crime and drug trafficking .,mexican president felipe calderon,mexican president felipe calderon has sent 2800 special agents and soldiers to sinaloa to fight drug trafficking .,mexican president felipe calderon,4.599999904632568
239,A woman is slicing some tuna .,A woman,A woman is cutting raw fish .,A woman,2.799999952316284
240,A black dog running in the snow .,A black dog,A black dog running on a beach .,A black dog,1.7999999523162842
241,"A key question was whether France , which infuriated Washington by leading the charge against U . N . authorization for the war , would vote "" Yes "" or abstain .",A key question,"France , which infuriated Washington by leading the charge against U . N . approval for the war , also sought changes .","France , which infuriated Washington by leading the charge against U . N . approval for the war ,",2.5999999046325684
242,A woman is dancing in a cage .,A woman,A woman is dancing .,A woman,3.25
243,A person is adding food in a pan .,A person,A woman puts rice into a pan .,A woman,3.0
244,""" There is no doubt about the chemical programme , biological programme , indeed nuclear programme , indeed all that was documented by the UN , "" he said .","no doubt about the chemical programme , biological programme , indeed nuclear programme , indeed all that was documented by the UN","He added : "" There is no doubt about the chemical programme , the biological programme and indeed the nuclear weapons programme .","no doubt about the chemical programme , the biological programme and indeed the nuclear weapons programme",3.799999952316284
245,Polls close in Egyptian presidential election,Egyptian presidential election,Press Releases : Yemeni Presidential Election,Press Releases,0.800000011920929
246,The Boston Archdiocese has faced waves of scandal that have not only angered victims ' advocates but parishioners and some priests .,The Boston Archdiocese,"The waves of scandal angered not only victims ' advocates but parishioners and some priests , to the point that Law could no longer run the archdiocese .",The waves of scandal,3.0
247,Sheep are grazing in a grassy field near a stand of trees .,a grassy field near a stand of trees,Sheep are grazing in the field in front of a line of trees .,the field,4.599999904632568
248,A young girl riding a white and grey horse .,A young girl,a little girl is riding a white and grey horse .,a little girl,4.599999904632568
249,the european union and the united states have frozen al - qadi ' s assets .,the european union and the united states,the western governments include the united states and france .,the western governments,0.4000000059604645
250,Someone drills a hole in a strip of wood with a power drill .,a strip of wood,A man drills a hole in a piece of wood .,A man,3.200000047683716
251,The lamb is looking at the camera .,The lamb,A small bird standing on a log at the waters edge .,A small bird,0.0
252,A woman is writing a letter .,A woman,A woman is sitting at a desk .,A woman,1.6670000553131104
253,A man is dicing an onion .,A man,The man is playing the guitar .,The man,0.4000000059604645
254,A man puts a knife in a vice .,A man,A man is dancing .,A man,0.25
255,"So far , they have searched Pennsylvania , Ohio , Michigan , Illinois and Indiana , authorities in those state said .",authorities in those state,"So far , authorities also have searched areas in Pennsylvania , Ohio , Indiana , and Michigan .","areas in Pennsylvania , Ohio , Indiana , and Michigan",3.75
256,Egypt presidential election results delayed,Egypt presidential election results,Egyptian election result delayed,Egyptian election result,4.199999809265137
257,Turkey Raises Alarm Over Syrian Refugees,Alarm Over Syrian Refugees,Turkey seeks to relocate some Syrian refugees,some Syrian refugees,1.600000023841858
258,Someone is scratching an animals belly .,an animals belly,A woman is stroking a lemur .,A woman,2.0
259,Living room or den with large screen television .,Living room or den,Living room with tan furniture and flat screen television .,Living room,3.200000047683716
260,Shooter charged with murder of US black teen,murder of US black teen,Thoughts on race relations under a black president,race relations,0.800000011920929
261,"Benchmark Treasury 10 - year notes gained 17 / 32 , yielding 4 . 015 percent .",Benchmark Treasury 10 - year notes,"The benchmark 10 - year note was recently down 17 / 32 , to yield 4 . 067 percent .",The benchmark 10 - year note,2.75
262,A little bird floating in the water .,A little bird,A duck floating in the water .,A duck,2.400000095367432
263,Clinton warns Kenya of cost of election violence,cost of election violence,Clinton warns Kenya on cost of election unrest,cost of election unrest,4.599999904632568
264,The dog pulled the dogs tail and then his leg .,The dog,A monkey pulled a dogs tail .,A monkey,1.75
265,Two white cows in a green pasture .,Two white cows,The tan horse is in the pasture .,The tan horse,1.399999976158142
266,A puppy is repeatedly rolling from side to side while on its back .,A puppy,A dog is rolling from side to side .,A dog,3.5
267,Toulouse siege : Police surround flat of ' Islamic warrior ' suspected of being serial killer,Toulouse siege,Toulouse shooting : France was on the highest level of security of security alert,Toulouse shooting,1.7999999523162842
268,Iran says UN nuclear talks will continue,UN nuclear talks,Iran says nuclear talks with UN ' constructive ',nuclear talks,2.799999952316284
269,jewish - american group the anti - defamation league ( adl ) published full - page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal .,jewish - american group the anti - defamation league ( adl ),the anti - defamation league took out full - page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal .,the anti - defamation league,4.400000095367432
270,A car backs out of a space .,A car,A car is backing out of a blocked lane .,A car,3.0
271,A doctor prescribes medicine to a patient .,A doctor,A doctor prescribes a medicine .,A doctor,4.400000095367432
272,Spain asks for bank rescue,bank rescue,Spaniard on trial for Cuban dissident ’ s death,trial for Cuban dissident ’ s death,0.2000000029802322
273,Three men are sitting down at a table that has drinks on it .,Three men,Three men sitting at the table with beer and food .,Three men,3.400000095367432
274,Three women with brown hair are smiling .,Three women with brown hair,Three women in Indian dresses in a crowded room smiling .,Three women in Indian dresses in a crowded room,2.799999952316284
275,Body of missing South Korean shipping tycoon found in field,Body of missing South Korean shipping tycoon,Sewol ferry disaster : Body of South Korean shipping tycoon found,Sewol ferry disaster,4.199999809265137
276,The man is wearing a black shirt and hat and smiling .,The man,A man is lifting a little girl above his head .,A man,0.0
277,A woman is walking on an open ground with a pet dog as some other dogs follow them .,A woman,A man is walking with several dogs .,A man,2.0
278,NATO soldier dies in Afghanistan,NATO soldier,Two Aust soldiers wounded in Afghanistan,Two Aust soldiers,0.6000000238418579
279,Rebel fighters ' capture ' Syrian soldiers,Rebel fighters,Free Syrian Army captures Syrian officers,Free Syrian Army,3.200000047683716
280,Mali interim leader takes office,Mali interim leader,Mali ' s Interim President Sworn Into Office,Mali ' s Interim President,4.199999809265137
281,any woman that wants birth control can get it .,any woman that wants birth control,Any woman that wants and abortion can get one .,Any woman that wants and abortion,1.600000023841858
282,North Korea says to restart nuclear reactor,North Korea,North Korea Offers Talks : Complex May Re - Open,North Korea,3.5999999046325684
283,German Shephard jumping through black hoop while people watch,German Shephard,A dog jumps through a hoop .,A dog,3.200000047683716
284,A beauty contest to be held in Italy next week may be the first for pixel - perfect pin - ups .,A beauty contest to be held in Italy next week,A new beauty contest kicking off in Italy next week will give pixel - perfect pin - ups the chance to steal sultry Sophia ' s sex - symbol status .,A new beauty contest kicking off in Italy next week,3.25
285,12 killed in bus accident in Pakistan,bus accident,10 killed in road accident in NW Pakistan,road accident,3.200000047683716
286,"Russia , China veto UN resolution on Syria endorsing","Russia , China","Russia , China veto U . N . draft backing Arab plan for Syria ( Reuters )","Russia , China",3.799999952316284
287,Ukraine ' s opposition chief wants more protests,Ukraine ' s opposition chief,Ukraine protesters topple Lenin statue,Ukraine protesters,2.400000095367432
288,"Dotson , 21 , was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him .","Dotson , 21 ,","Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him , according to the arrest warrant affidavit .",FBI agents,4.25
289,Your confusion doesn ' t make me a liar .,Your confusion,Then your confusion doesn ' t make me a liar either .,your confusion,3.799999952316284
290,Iran ' s Parliament Questions A Dismissive Ahmadinejad,Iran ' s Parliament,Iran ' s parliament questions President Ahmadinejad,Iran ' s parliament,4.0
291,Four arrested as Bangladesh building toll rises to 352,Bangladesh building toll,Owner arrested as Bangladesh building toll reaches 372,Bangladesh building toll,2.5999999046325684
292,""" It is safe to assume the Senate is prepared to pass some form of cap , "" King said .",the Senate,Its safe to assume the Senate is prepared to pass some form of a cap . . . . The level of it is to be debated .,The level of it,3.0
293,the back of a stop sign with many stickers on it .,the back,The back of a sign with stickers on .,The back,3.799999952316284
294,"Yahoo accounts for 159 , 354 of the BSD sites , with 152 , 054 from NTT / Verio and 129 , 378 from Infospace , the survey found .",the survey,"Another 152 , 054 are from IP services company NTT / Verio , and 129 , 378 from InfoSpace , the survey found .",the survey,3.0
295,Ukrainian Prime Minister Azarov and entire government resign,Ukrainian Prime Minister Azarov and entire government,Ukrainian officials barred from Canada as protests continue,Ukrainian officials,1.2000000476837158
296,signing of the agreement is a peripheral issue of the meeting of chiefs of defense staff from the 26 ally countries of nato .,signing of the agreement,the agreement was signed during a regular meeting of chiefs of defense staff from the 26 nato allies .,the agreement,3.0
297,Tibetan monk dies after setting himself on fire in protest against Chinese rule,Tibetan monk,Teenage Tibetan monk dies after setting himself on fire in China,Teenage Tibetan monk,3.799999952316284
298,' Scores of bodies ' found in Syria,Scores of bodies ',Eight more bodies found on ship,Eight more bodies,1.399999976158142
299,Nelson Mandela undergoes surgery,Nelson Mandela,‘ Nelson Mandela is recovering ’,Nelson Mandela,2.200000047683716
300,UN says US drones violate Pakistan ' s sovereignty,US drones,UN : US drone strikes violate Pakistan ' s sovereignty,US drone strikes,4.400000095367432
301,The man sang on stage into the microphone .,The man,A man in a suit is standing at a microphone and singing .,A man in a suit,3.5
302,A brown horse grazing in a field of green grass .,A brown horse,Brown horse standing in middle of grassy field .,Brown horse,4.0
303,the united states government has accused the iranian government of trying to develop nuclear weapons under the cover of a civilian nuclear program .,the united states government,the us and allies have accused iran of attempting to develop nuclear weapons under the guise of a civilian nuclear program .,the us and allies,4.599999904632568
304,iran insists that the program is aimed solely at peaceful pursuits such as the generation of,the program,iran insists that its nuclear program is for peaceful purposes,its nuclear program,4.400000095367432
305,The proportion of people covered by employers dropped from 62 . 3 percent in 2001 to 61 . 3 percent last year .,The proportion of people covered by employers,"The proportion of Americans with insurance from employers declined to 61 . 3 percent , from 62 . 6 percent in 2001 and 63 . 6 percent in 2000 .",The proportion of Americans with insurance from employers,3.200000047683716
306,Car bomb kills 20 in northwest Syria,Car bomb,Car bomb kills 40 in northwest Pakistan,Car bomb,1.2000000476837158
307,Iraq bombings kill at least 26,Iraq bombings,Iraq suicide bomber kills at least 12,Iraq suicide bomber,2.0
308,Indian finance minister quits to run for president,Indian finance minister,Julian Assange Plans to Run for Australian Senate,Julian Assange,0.2000000029802322
309,A man is praying .,A man,A man is running .,A man,0.7269999980926514
310,"Show her how much fun splashing is - that ' s what we did , and made a game of it .",a game of it,You can put her toys near her or give he toys to her .,her toys,0.800000011920929
311,helmand province is the world ' s largest producer of opium .,helmand province,the areva group is the world ' s largest nuclear engineering firm .,the areva group,0.0
312,A man is playing the guitar .,A man,A man is playing the drums .,A man,1.555999994277954
313,A woman puts a garland over a man ' s shoulders .,A woman,A man pours water over a pilots head .,A man,0.5
314,The man is peeling an apple .,The man,A man peels an apple .,A man,5.0
315,Eurozone unemployment stays at record 11 percent,Eurozone unemployment,Eurozone unemployment at record high in June,Eurozone unemployment,3.0
316,A bay foal is walking next to its mother in a grassy field .,A bay foal,Close - up of young horse walking next to a larger horse .,young horse,2.5999999046325684
317,There are no post - emergents that specifically kill crabgrass without killing lawn grass .,no post - emergents that specifically kill crabgrass without killing lawn grass,I brought an Ace product that kla crab grass and you can use it below 90 degrees .,an Ace product,1.7999999523162842
318,"When you crossed the line , you violated the constitutional right , "" said Charles Weisselberg , a UC Berkeley law professor .","Charles Weisselberg , a UC Berkeley law professor","When you crossed the line , you violated the constitutional right , "" said Charles Weisselberg , who teaches law at the University of California , Berkeley .","Charles Weisselberg , who teaches law at the University of California , Berkeley",5.0
319,A women sitting at a table drinking with a basketball picture in the background .,A women,A woman in a sari drinks something while sitting at a table .,A woman in a sari,2.5999999046325684
320,A man is levitating .,A man,A man is talking .,A man,0.800000011920929
321,The skinny cows are standing on the grass .,The skinny cows,The white ducks are standing on the ground .,The white ducks,0.6000000238418579
322,"Hagel , Dempsey face Congress over defense budget","Hagel , Dempsey","Hagel laments "" political "" changes to US defence budget",""" political "" changes to US defence budget",4.0
323,NATO protesters acquitted of terrorism charges,NATO protesters,NATO protesters convicted on non - terrorism charges,NATO protesters,1.600000023841858
324,elbaradei states that a middle east peace deal can only be reached in parallel with a security agreement based on eradicating all weapons of mass destruction from the region .,a middle east peace deal,elbaradei was quoted as saying that a peace deal between israel and its arab neighbors must be reached in parallel with a security agreement based on eradicating all weapons of mass destruction from the region .,a peace deal between israel and its arab neighbors,4.599999904632568
325,A black dog stands next to materials at a construction site .,A black dog,A black dog standing in a room being constructed .,A black dog,3.200000047683716
326,2 police killed in eastern Afghan explosion,eastern Afghan explosion,At least 28 people die in Chinese coal mine explosion,At least 28 people,0.4000000059604645
327,Swiss vote on highest minimum wage,Swiss vote,Swiss cast ballots on world ' s highest minimum wage,world ' s highest minimum wage,4.599999904632568
328,A black person in black and red is sleeping on a bench with an open black umbrella .,A black person in black and red,A man sitting up taking a nap on a park bench with an open umbrella protecting him from the sun .,A man,3.5999999046325684
329,Barack Obama admits US has ' more nuclear weapons than we need ',Barack Obama,French gunman wants to ' die with weapons in hands ',French gunman,0.4000000059604645
330,"International rescue workers are scouring flattened debris for survivors in Iran ' s shattered ancient Silk Road city of Bam after a violent earthquake killed more than 20 , 000 people .",International rescue workers,International rescue workers hacked desperately through flattened debris for survivors and cemeteries overflowed in Iran ' s ancient Silk Road city of Bam yesterday .,International rescue workers,3.0
331,A man is playing a flute .,A man,A man is playing a guitar .,A man,2.0
332,Russian lawmakers pass new bill restricting Internet,Russian lawmakers,Russia says ballistic ' objects ' fired in Mediterranean,ballistic ' objects ' fired in Mediterranean,0.4000000059604645
333,Police fire tear gas to disperse protesters in Tunis,tear gas,Police fire tear gas at protesters in Cairo,tear gas,2.200000047683716
334,Some smiling children are standing in front of an ocean sunset .,Some smiling children,People walking in the dark .,the dark,0.6000000238418579
335,They are preparing for a performance at school .,a performance at school,Two medical professionals in green look on at something .,Two medical professionals,0.0
336,US soldier kills up to 16 civilians in Afghanistan,US soldier,US soldier kills up to 16 Afghan civilians in shooting spree,US soldier,4.199999809265137
337,"At 12 months there was still a difference in function , although it was not a significant one .",a difference in function,"At 12 months , there was still a difference between the groups , but it was not considered significant .",a difference between the groups,4.400000095367432
338,A woman is slicing a big pepper .,A woman,A person is cutting a green pepper .,A person,3.400000095367432
339,Very crowded office desk with computer monitor on .,Very crowded office desk,Messy computer desk with two monitors .,Messy computer desk,3.0
340,"The Dow Jones industrial average < . DJI > was off 58 . 69 points , or 0 . 64 percent , at 9 , 137 . 86 .",The Dow Jones industrial average < . DJI >,"The Dow Jones industrial average . DJI fell 79 . 43 points , or 0 . 86 percent , to 9 , 117 . 12 on Friday .",The Dow Jones industrial average . DJI,2.400000095367432
341,An animal is walking .,An animal,A woman is applying eye makeup .,A woman,0.0
342,A man is meditating .,A man,The man is riding the horse .,The man,0.75
343,The girl sang into a microphone .,The girl,The lady sang into the microphone .,The lady,2.400000095367432
344,"Sliding down the ice , Moriarty and Carella hit the spongy , rocky floor of the river and immediately felt the pull .",Moriarty and Carella,"Sliding down the embankment , the two rescuers hit the spongy , rocky floor of the river and immediately felt the pull .",the two rescuers,3.400000095367432
345,A woman is adding an egg and stirring .,A woman,A woman is mixing an egg in a bowl .,A woman,3.5
346,Officer injured in India anti - rape protests dies,Officer injured in India anti - rape protests,Indian policeman injured in gang - rape protest dies,Indian policeman injured in gang,4.199999809265137
347,Vinnie Jones reveals cancer battle new,Vinnie Jones,Vinnie Jones reveals he has skin cancer,Vinnie Jones,4.0
348,Six Australians killed in Laos plane crash,Six Australians,Dozens killed in Laos plane crash,Laos plane crash,3.0
349,A person is squeezing through an opening in the rock face .,A person,A medium sized brown dog is running through an open white wooded area .,A medium sized brown dog,0.0
350,Cooley said he expects Muhammad will similarly be called as a witness at a pretrial hearing for Malvo .,a pretrial hearing for Malvo,Lee Boyd Malvo will be called as a witness Wednesday in a pretrial hearing for fellow sniper suspect John Allen Muhammad .,Lee Boyd Malvo,2.5
351,US drone strike kills 8 militants,US drone strike,US drone strike kills four in NWA : officials,US drone strike,2.200000047683716
352,The man is playing the wooden flute .,The man,A little boy is vacuuming the floor .,A little boy,0.0
353,"Richard Miller remained hospitalized after undergoing a liver transplant , but his wife has recovered .",Richard Miller,"Richard Miller , 57 , survived a lifesaving liver transplant but remains hospitalized .","Richard Miller , 57 ,",3.200000047683716
354,Indonesia anti - terror squad kills two suspected militants,Indonesia anti - terror squad,Indonesia police shoot dead suspected militants in Bali,Indonesia police,3.200000047683716
355,The white and brown dog is running quickly through the grass .,The white and brown dog,The big white dog is running in the grass .,The big white dog,3.400000095367432
356,A woman is firing a rifle .,A woman,A woman is cutting a lemon .,A woman,0.2000000029802322
357,Obama nominates new transportation secretary,new transportation secretary,Obama To Meet Embattled Veterans Secretary,Embattled Veterans Secretary,0.2000000029802322
358,Where in the world is Ron Paul ?,Ron Paul,Where in the world is the MEDIA ? ?,the MEDIA,0.800000011920929
359,Taiwan rattled by strong earthquake,strong earthquake,China rocked by twin earthquakes,twin earthquakes,1.2000000476837158
360,China ' s 1 st Pilot Free Trade Zone Opens,China ' s 1 st Pilot Free Trade Zone,Shanghai Free Trade Zone begins operation,Shanghai Free Trade Zone,3.799999952316284
361,A group of people sitting at a restaurant table .,A group,A group of people sitting around a table on a porch .,A group,2.5999999046325684
362,A woman sings into a microphone by a guy playing a guitar .,A woman,A woman sings into a microphone with a guitar player in the background .,A woman,4.400000095367432
363,"We ' re talking about angels and common pins again , right ?",angels and common pins,"@ Lustig Andrei , We ' re talking about angels and common pins again , right ?",Lustig Andrei,4.800000190734863
364,Hong Kong stocks close down 0 . 28 %,Hong Kong stocks,Hong Kong stocks open 0 . 62 pct higher,Hong Kong stocks,1.600000023841858
365,"One child pulls another , sitting in a red wagon , along the sand .",One child,A young boy pulls another boy wearing a silly hat in a radio flyer wagon .,A young boy,3.400000095367432
366,A group of people in boats racing towards the shore .,A group,A classroom of students watching a presentation .,A classroom,0.0
367,Boston bombing suspect charged in hospital bed,Boston bombing suspect,One week later : Boston honors bombing victims ; suspect unable to speak,One week,1.2000000476837158
368,7 killed in attacks in Iraq,attacks in Iraq,16 killed in series of attacks in Iraq,series of attacks in Iraq,3.0
369,People who are good at the philosophy of mathematics are mathematicians and not philosophers .,People who are good at the philosophy of mathematics,My motivation is that I like to look at things from their roots and go up .,My motivation,0.0
370,Motor Racing : Button fastest in year ' s first F1 practice,Motor Racing,Button boasts best time after first practice,best time,3.0
371,"Someone standing on a snowy mountain , watching a plane .",a snowy mountain,"A man stands on a mountain , watching a plane .",A man,4.400000095367432
372,A man puts seasoning in a bowl of water .,A man,The man added seasoning to water in a bowl .,The man,5.0
373,New coronavirus can probably can be passed person to person - WHO,New coronavirus,WHO : New virus can probably pass person to person,New virus,3.799999952316284
374,A boy does a skateboard trick on the stairs downtown .,A boy,a boy is running on the sidewalk,the sidewalk,0.6000000238418579
375,Food price hikes raise concerns in Iran,Food price hikes,American Chris Horner wins Tour of Spain,American Chris Horner,0.0
376,A person is driving a car .,A person,A man is driving a car .,A man,3.5
377,egypt and jordan have signed the nuclear nonproliferation treaty and have long called for a middle east free of weapons of mass destruction .,egypt and jordan,syria has signed the nuclear nonproliferation treaty and has allowed agency experts to inspect its only known nuclear facility .,the nuclear nonproliferation treaty,4.0
378,An arrest warrant claimed Bryant assaulted the woman June 30 at a hotel .,An arrest warrant,"According to an arrest warrant , Bryant , 24 , attacked a woman on June 30 .","Bryant , 24 ,",4.25
379,North Korea says to put US citizen on trial,North Korea,North Korea says detained American tourist to face trial,North Korea,5.0
380,"If I ' m angry , it will show up in one of those scans . .",one of those scans,"If I ' m hyper active , it will show up in one of those scans . .",one of those scans,3.200000047683716
381,Afghan legislators approve new election law,Afghan legislators,Afghan president approves new electon law,Afghan president,2.5999999046325684
382,Russia says ballistic missiles fired in Mediterranean,ballistic missiles fired in Mediterranean,Israel says it carried out joint missile test with US in Mediterranean,joint missile test,1.0
383,"national , regional and international efforts to end the illicit trade in small arms and light weapons .","national , regional and international efforts",the global community must cooperate to end illicit trade of small arms and light weapons .,the global community,4.0
384,A man plays the violin .,A man,A man is playing violin .,A man,5.0
385,the attacks are believed to have come from russian administration ip addresses in response to the relocation of a soviet statue in estonia .,the attacks,the attacks occurred after a dispute between the governments of russia and estonia over the relocation of a soviet war memorial .,the attacks,3.0
386,five people standing on a sidewalk,five people,Five people on a sidewalk .,Five people,4.800000190734863
387,A girl is dragged downhill by a dog .,A girl,A dog is pulling a child down a hill .,A dog,3.799999952316284
388,Many killed in Japan road tunnel collapse,Japan road tunnel collapse,Many killed in Syrian air strike,Syrian air strike,1.2000000476837158
389,A person is stirring rice .,A person,A woman is cracking an egg .,A woman,1.0
390,The man is seasoning the sausages .,The man,The man added seasoning to water in a bowl .,The man,2.400000095367432
391,"The shares represent more than half the 115 . 9 million shares Turner held at the end of April , according to Bloomberg data .",The shares,The sale represents about 52 per cent of the 115 . 9 million shares Mr Turner held at the end of April .,The sale,3.799999952316284
392,"The index , which measures activity in the service sector , climbed to 50 . 7 last month from 47 . 9 in March .","The index , which measures activity in the service sector ,","The Arizona - based ISM reported Monday that its non - manufacturing index rose to 50 . 7 last month , from 47 . 9 in March .",The Arizona - based ISM,3.5
393,"You need to be embedding a color profile in you image , as also using a browser that supports color management .",a color profile,"In my experience , when the final production will be in sRGB , use that color profile from start to finish .",my experience,2.5999999046325684
394,you have no remains of a missile at the pentagon .,no remains of a missile at the pentagon,you have no remains of an A - at the pentagon .,no remains of an A,2.400000095367432
