,sentence1,source1_np0,sentence2,source2_np0,label
133,Of what series in the Periodic Table of Elements is uranium a part ?,the Periodic Table of Elements,"Uranium has the second highest atomic weight of the primordially occurring elements , lighter only than plutonium .","the second highest atomic weight of the primordially occurring elements , lighter only than plutonium",1
134,It was an early backer of what,an early backer of what,"A key aspect of the Gates Foundation ' s U . S . efforts involves an overhaul of the country ' s education policies at both the K - 12 and college levels , including support for teacher evaluations and charter schools and opposition to seniority - based layoffs and other aspects of the education system that are typically backed by teachers ' unions .",A key aspect of the Gates Foundation ' s U . S . efforts,1
135,What number was the Tironian note visually similar to ?,the Tironian note,"The remaining 20 Latin letters were supplemented by four more : ⟨ æ ⟩ ( æsc , modern ash ) and ⟨ ð ⟩ ( ðæt , now called eth or edh ) , which were modified Latin letters , and thorn ⟨ þ ⟩ and wynn ⟨ ƿ ⟩ , which are borrowings from the futhorc .",The remaining 20 Latin letters,0
136,In which country did Madonna rubbed the country ' s flag between her thighs that anger the public ?,the country ' s flag,"In March 1994 , she appeared as a guest on the Late Show with David Letterman , using profanity that required censorship on television , and handing Letterman a pair of her panties and asking him to smell it .",a guest on the Late Show with David Letterman,1
137,What pay grades are included in the USAF for Senior NCOs ?,the USAF,"Above the pay grade of E - 4 ( i . e . , pay grades E - 5 through E - 9 ) all ranks fall into the category of NCO and are further subdivided into "" NCOs "" ( pay grades E - 5 and E - 6 ) and "" Senior NCOs "" ( pay grades E - 7 through E - 9 ) ; the term "" Junior NCO "" is sometimes used to refer to staff sergeants and technical sergeants ( pay grades E - 5 and E - 6 ) .","the term "" Junior NCO """,0
138,What percentage of Greece ' s economy is based on service ?,What percentage,"The Greek Merchant Navy is the largest in the world , with Greek - owned vessels accounting for 15 % of global deadweight tonnage as of 2013 .",The Greek Merchant Navy,1
139,When was Claridge ' s asphalt the most often used ?,Claridge ' s asphalt,"In 1838 , there was a flurry of entrepreneurial activity involving asphalt / bitumen , which had uses beyond paving .","a flurry of entrepreneurial activity involving asphalt / bitumen , which had uses beyond paving",1
140,Where was the lowest amount of U . S . dollars lost ?,the lowest amount of U . S . dollars lost,"The 2007 report showed that the Asia - Pacific region was associated with the highest amount of loss , in terms of U . S . dollars , with $ 14 , 090 , 000 , followed by the European Union , with a loss of $ 12 , 383 , 000 ; the lowest amount of U . S . dollars was lost in the Middle East / Africa region , where $ 2 , 446 , 000 was documented .",The 2007 report,0
141,Which two important psychologists did Popper view as advancing non - scientific theories ?,Popper view,He thus came to the conclusion that psychoanalytic theories had more in common with primitive myths than with genuine science .,the conclusion that psychoanalytic theories had more in common with primitive myths than with genuine science,1
142,What was the main problem with applying early electric motors to industry ?,the main problem with applying early electric motors to industry,"Due to the high cost of primary battery power , the motors were commercially unsuccessful and Davenport went bankrupt .",the high cost of primary battery power,0
143,What two cities in Turkey acquired institutes of technology in the 1950 s ?,institutes of technology,"In 1950 s , 2 technical universities were opened in Ankara and Trabzon .",2 technical universities,0
144,"Other than Gaj ' s Latin alphabet , what other written language can Serbo - Croatian be written in ?",Serbo - Croatian,"Like other South Slavic languages , Serbo - Croatian has a simple phonology , with the common five - vowel system and twenty - five consonants .",other South Slavic languages,1
145,What is the name of a Japanese wrestling company ?,the name of a Japanese wrestling company,"Other prominent professional wrestling companies worldwide include the US - based Total Nonstop Action Wrestling ( TNA ) and Ring of Honor ( ROH ) , Consejo Mundial de Lucha Libre ( CMLL ) and Asistencia Asesoría y Administración ( AAA ) in Mexico , and the Japanese New Japan Pro Wrestling ( NJPW ) , All Japan Pro Wrestling ( AJPW ) , and Pro Wrestling",Other prominent professional wrestling companies,0
146,In what year did Time magazine choose Seattle Central Community College as community college of the year ?,Time magazine,"In 2001 , Time magazine selected Seattle Central Community College as community college of the year , stating the school "" pushes diverse students to work together in small teams "" .",Time magazine,0
147,Anti - aircraft defenses became better after what ?,aircraft defenses,"It was to be some months before an effective night fighter force would be ready , and anti - aircraft defences only became adequate after the Blitz was over , so ruses were created to lure German bombers away from their targets .",some months,0
148,What company did Kanye West begin ?,Kanye West,"His more publicized comments include his declaration that President George W . Bush "" doesn ' t care about black people "" during a live 2005 television broadcast for Hurricane Katrina relief , and his interruption of singer Taylor Swift at the 2009 MTV Video Music Awards .",His more publicized comments,1
149,What is considered a key part of interior design ?,a key part of interior design,Lighting can also be an intrinsic component of landscape projects .,an intrinsic component of landscape projects,1
150,Name one of the poetic authors who was also nominated for the Nobel Peace Award from the Greeks ?,one of the poetic authors who was also nominated for the Nobel Peace Award from the Greeks,Alexandrian Constantine P . Cavafy and Nobel laureates Giorgos Seferis and Odysseas Elytis are among the most important poets of the 20 th century .,Alexandrian Constantine P . Cavafy and Nobel laureates Giorgos Seferis and Odysseas Elytis,0
151,What percent of the bus systems use alternate fuels ?,What percent,"The city first proposed its Sustainable City Plan in 1992 and in 1994 , was one of the first cities in the nation to formally adopt a comprehensive sustainability plan , setting waste reduction and water conservation policies for both public and private sector through its Office of Sustainability and the Environment .",The city,1
152,What are two things Chopin ' s performances were known for ?,two things,His keyboard style is highly individual and often technically demanding ; his own performances were noted for their nuance and sensitivity .,His keyboard style,0
153,"How many times is the word "" Quran "" used in the Quran ?","the word "" Quran ""","The word "" Quran "" occurs some 70 times in the text of the Quran , although different names and words are also said to be references to the Quran .","The word "" Quran """,0
154,On what service could the ESPN Deportes broadcast be streamed ?,the ESPN Deportes broadcast,The ESPN Deportes Spanish broadcast was made available through WatchESPN .,The ESPN Deportes Spanish broadcast,0
155,In which event did the rainforests collapsed in the carboniferous ?,the rainforests,"The worst was the Permian - Triassic extinction event , 251 million years ago .",The worst,0
156,How many nations do the twenty - five foreign banks represent ?,the twenty - five foreign banks,Forty foreign governments maintain trade and commercial offices here and 23 active foreign chambers of commerce and trade associations .,Forty foreign governments,1
157,What type of musicians besides classical have experimented with electronic instruments ?,musicians besides classical,"Electric instruments such as the electric guitar , the electric bass and the ondes Martenot appear occasionally in the classical music of the 20 th and 21 st centuries .","Electric instruments such as the electric guitar , the electric bass and the ondes Martenot",1
158,In what century was the church established at the location ?,the church,"Construction of the present church began in 1245 , on the orders of King Henry III .",Construction of the present church,1
159,What are three of the other health conditions that occur more frequently with asthma ?,three of the other health conditions that occur more frequently with asthma,"Those with asthma , especially if it is poorly controlled , are at high risk for radiocontrast reactions .",Those with asthma,1
160,How many times did Israelites have political independence in ancient history ?,political independence,"Since the destruction of the Second Temple in 70 CE , most Jews have lived in diaspora .",most Jews,1
161,"What does Canada being referred to as the 51 st state in a positive way mean in the US , generally ?",the 51 st state,"In the United States , the term "" the 51 st state "" when applied to Canada can serve to highlight the similarities and close relationship between the United States and Canada .","the term "" the 51 st state "" when applied to Canada",0
162,What type of penalty was made for unlawful performances that are willful and for profit ?,unlawful performances that are willful and for profit,"The first criminal provision in U . S . copyright law was added in 1897 , which established a misdemeanor penalty for "" unlawful performances and representations of copyrighted dramatic and musical compositions "" if the violation had been "" willful and for profit .",The first criminal provision in U . S . copyright law,0
163,"If the Prime Minister of the United Kingdom becomes sick in New York City , what hospital does he go to ?",the Prime Minister of the United Kingdom,Bellevue is the designated hospital for treatment of the President of the United States and other world leaders if they become sick or injured while in New York City .,the designated hospital for treatment of the President of the United States and other world leaders,1
164,what sound emerged in Detroit with the recordings of juan atkins and derrick may ?,the recordings of juan atkins and derrick may,"In Detroit a proto - techno music sound began to emerge with the recordings of Juan Atkins , Derrick May and Kevin Saunderson .",techno music sound,0
165,What year marked the onset of the Crusades ?,the onset of the Crusades,"Over this period of several hundred years , some have suggested , Jewish economic activity was focused on trade , business management , and financial services , due to several presumed factors : Christian European prohibitions restricting certain activities by Jews , preventing certain financial activities ( such as "" usurious "" loans ) between Christians , high rates of literacy , near universal male education , and ability of merchants to rely upon and trust family members living in different regions and countries .",Jewish economic activity,1
166,Where is the biggest Buddha statue in Europe ?,the biggest Buddha statue in Europe,"The Pagode de Vincennes Buddhist temple , near Lake Daumesnil in the Bois de Vincennes , is the former Cameroon pavilion from the 1931 Paris Colonial Exposition .","The Pagode de Vincennes Buddhist temple , near Lake Daumesnil in the Bois de Vincennes ,",0
167,In what year was the British protectorate over British Somaliland ended ?,the British protectorate over British Somaliland,"Following World War II , Britain retained control of both British Somaliland and Italian Somaliland as protectorates .",World War II,1
168,What is the capacity of water that the dams on Cyprus can hold ?,the capacity of water that the dams on Cyprus can hold,Efforts have also been made to raise public awareness of the situation and to encourage domestic water users to take more responsibility for the conservation of this increasingly scarce commodity .,public awareness of the situation,1
169,What cut of pork do those in Western North Carolina prefer for BBQ ?,those in Western North Carolina,"Western North Carolina pork barbecue uses a tomato - based sauce , and only the pork shoulder ( dark meat ) is used .",Western North Carolina pork barbecue,0
170,Who was the son of Philip of Macedon ?,the son of Philip of Macedon,Greece was first unified under Philip of Macedon in the fourth century BC .,Philip of Macedon,1
171,How many gods do the Hindu ' s have ?,the Hindu ' s,There is no clear consensus on the nature or even the existence of God .,no clear consensus on the nature or even the existence of God,1
172,One technology that is available for hunters in the U . S . is ?,One technology,"Many different technologies have been created to assist hunters , even including iPhone applications .",Many different technologies,0
173,Who led the congressional hearings ?,the congressional hearings,"In the U . S . , a push for revisions of the FD & C Act emerged from Congressional hearings led by Senator Estes Kefauver of Tennessee in 1959 .",a push for revisions of the FD & C Act,0
174,Akkadian ' s language can be traced to the Semitic branch of what languages ?,Akkadian ' s language,There have been many failed attempts to connect Sumerian to other language groups .,many failed attempts to connect Sumerian to other language groups,1
175,In which year was Campus Martius open ?,Campus Martius,"In 2001 , the first portion of the International Riverfront was completed as a part of the city ' s 300 th anniversary celebration , with miles of parks and associated landscaping completed in succeeding years .",the first portion of the International Riverfront,1
176,Which diplomat helped gather information on the country of Anxi ?,Which diplomat,"These connections marked the beginning of the Silk Road trade network that extended to the Roman Empire , bringing Han items like silk to Rome and Roman goods such as glasswares to China .",These connections,1
177,How many major riots between blacks and whites occurred in Charleston in 1876 ?,blacks and whites,"With leadership by members of the antebellum free black community , historian Melinda Meeks Hennessy described the community as "" unique "" in being able to defend themselves without provoking "" massive white retaliation "" , as occurred in numerous other areas during Reconstruction .",historian Melinda Meeks Hennessy,1
178,"What are the heads of government in Wales , Scotland and Northern Ireland called ?","the heads of government in Wales , Scotland and Northern Ireland","In the UK , where devolved government is in place , the leaders of the Scottish , Northern Irish and Welsh Governments are styled First Minister .","the leaders of the Scottish , Northern Irish and Welsh Governments",0
179,What are the most popular sports in Eritrea ?,the most popular sports in Eritrea,"In recent years , Eritrean athletes have also seen increasing success in the international arena .",Eritrean athletes,1
180,When did Kerry and his wife divorce ?,his wife,"They were divorced on July 25 , 1988 , and the marriage was formally annulled in 1997 .",the marriage,0
181,What Brigade was the 24 th Michigan Infantry Regiment a part of ?,the 24 th Michigan Infantry Regiment,"When the First Volunteer Infantry Regiment arrived to fortify Washington , DC , President Abraham Lincoln is quoted as saying "" Thank God for Michigan ! """,President Abraham Lincoln,1
182,Media such as a radio and television have started to make their presences felt since what years ?,Media such as a radio and television,"This is in addition to many classic ethnographic contexts , where media such as radio , the press , new media and television have started to make their presences felt since the early 1990 s .","addition to many classic ethnographic contexts , where media such as radio , the press , new media and television have started to make their presences felt since the early 1990 s",0
183,Where did travelers early in the Middle Ages often find lodgings ?,travelers early in the Middle Ages,The Hostellers of London were granted guild status in 1446 and in 1514 the guild became the Worshipful Company of Innholders .,The Hostellers of London,1
184,Whose court did Pletho arrive in and begin a new period of translation in Renaissance Italy ?,a new period of translation,This and Erasmus ' Latin edition of the New Testament led to a new attitude to translation .,This and Erasmus ' Latin edition of the New Testament,1
185,Whose letter does the introduction to On the Origin of Species refer ?,the introduction to On the Origin of Species,"In the second edition , Darwin added an epigraph from Joseph Butler affirming that God could work through scientific laws as much as through miracles , in a nod to the religious concerns of his oldest friends .",the second edition,1
186,"As a tree grows bigger , if the sapwood layer doesn ' t increase in volume , what will it become ?",the sapwood layer,"Sapwood is thicker in the upper portion of the trunk of a tree than near the base , because the age and the diameter of the upper sections are less .",the upper portion,1
187,Who confirmed the dpon - chen ?,the dpon - chen,"If the Sakya lama ever came into conflict with the dpon - chen , the dpon - chen had the authority to send Chinese troops into the region .",the authority to send Chinese troops into the region,1
188,Melbourne is home to a research and development hub for which auto manufacturer ?,a research and development hub for which auto manufacturer,"The city also boasts a research and development hub for Ford Australia , as well as a global design studio and technical centre for General Motors and Toyota respectively .",The city,0
189,The Russians escaped under the cover of what in 1855 ?,The Russians,The Russians escaped under the cover of snow in early 1855 after Allied reinforcements arrived in the region .,The Russians,0
190,Who became responsible in part for the editing of The New Humanist ?,the editing of The New Humanist,"Potter ' s book and the Manifesto became the cornerstones of modern humanism , the latter declaring a new religion by saying , "" any religion that can hope to be a synthesising and dynamic force for today must be shaped for the needs of this age .",Potter ' s book and the Manifesto,1
191,Which river touches the major shopping district near 181 st Street ?,the major shopping district near 181 st Street,"West of Fort Washington Avenue , 181 st Street is largely residential , bordering Hudson Heights and having a few shops to serve the local residents .",West of Fort Washington Avenue,1
192,What is indicated by the factor √ 2 ?,the factor √ 2,The factor √ 2 indicates that there is half a stop of headroom to deal with specular reflections that would appear brighter than a 100 % reflecting white surface .,The factor √ 2,0
193,In what month and year was smoking banned in public places in Scotland ?,public places in Scotland,"In March 2006 , a law was introduced to forbid smoking in all enclosed public places in Scotland .",all enclosed public places in Scotland,0
194,How are duplication events studied ?,duplication events,Another possible whole genome duplication event at 160 million years ago perhaps created the ancestral line that led to all modern flowering plants .,Another possible whole genome duplication event at 160 million years ago,1
195,Have reviews praised the PS3 ' s hardware of software more frequently ?,the PS3 ' s hardware of software,"In addition , both Home Theater Magazine and Ultimate AV have given the system ' s Blu - ray playback very favorable reviews , stating that the quality of playback exceeds that of many current standalone Blu - ray Disc players .",both Home Theater Magazine and Ultimate AV,1
196,Where is Estonia ranked in the 2015 Index of Economic Freedom ?,the 2015 Index of Economic Freedom,"The country is ranked 8 th in the 2015 Index of Economic Freedom , and the 4 th freest economy in Europe .",The country,0
197,Who is an example of a major anti - piracy organization ?,an example of a major anti - piracy organization,"Major anti - piracy organizations , like the BSA , conduct software licensing audits regularly to ensure full compliance .","Major anti - piracy organizations , like the BSA ,",0
198,The US - buils ENIAC stands for what ?,The US,The US - built ENIAC ( Electronic Numerical Integrator and Computer ) was the first electronic programmable computer built in the US .,The US - built ENIAC ( Electronic Numerical Integrator and Computer ),0
199,Who wrote most of the Methodist hymns ?,most of the Methodist hymns,"Soteriologically , most Methodists are Arminian , emphasizing that Christ accomplished salvation for every human being , and that humans must exercise an act of the will to receive it ( as opposed to the traditional Calvinist doctrine of monergism ) .",most Methodists,1
200,What is the name of the technique used in scanners to minimize the effects of dust and scratches ?,the name of the technique used in scanners to minimize the effects of dust and scratches,"The infrared channel , in combination with the other channels , is used to detect the location of scratches and dust .",The infrared channel,1
201,"Which city was captured by the Ottoman Turks , resulting in the fleeing of scholars to Western Europe ?",the Ottoman Turks,"Following a renewed interest in ancient Greek and Roman texts that took root in the High Middle Ages , the Italian Renaissance began .",the Italian Renaissance,1
202,In what year was Plymouth Porcelain founded ?,Plymouth Porcelain,As an associate and host of engineer John Smeaton he was indirectly involved with the development of the Eddystone Lighthouse .,an associate and host of engineer John Smeaton,1
203,Who won the last election at Reichstag ?,the last election,"The movement started with the first election for the Reichstag ; those elected were called "" les députés protestataires "" , and until the fall of Bismarck in 1890 , they were the only deputies elected by the Alsatians to the German parliament demanding the return of those territories to France .",the fall of Bismarck in 1890,1
204,What did the court determine was the fate for Maclean after shooting the Queen ?,the court,"On 2 March 1882 , Roderick Maclean , a disgruntled poet apparently offended by Victoria ' s refusal to accept one of his poems , shot at the Queen as her carriage left Windsor railway station .","Roderick Maclean , a disgruntled poet apparently offended by Victoria ' s refusal to accept one of his poems ,",1
205,What city is Dell ' s Tennessee facility in ?,Dell ' s Tennessee facility,"Facilities located abroad include Penang , Malaysia ; Xiamen , China ; Bracknell , UK ; Manila , Philippines Chennai , India ; Hyderabad , India ; Noida , India ; Hortolandia and Porto Alegre , Brazil ; Bratislava , Slovakia ; Łódź , Poland ; Panama City , Panama ; Dublin and Limerick , Ireland ; and Casablanca , Morocco .",Facilities located abroad,1
206,What was the result of the weakening of both Prussia and Austria ?,the result of the weakening of both Prussia and Austria,"In 1763 a peace settlement was reached at the Treaty of Hubertusburg , ending the war in central Europe .",a peace settlement,0
207,What is the frequency of the light to which the human eye is most sensitive ?,the frequency of the light to which the human eye is most sensitive,"Equivalently , the smallness of the Planck constant reflects the fact that everyday objects and systems are made of a large number of particles .",the smallness of the Planck constant,1
208,How big were the tesserae in the Komnenian period miniature mosaic icons ?,the tesserae,"A striking technical innovation of the Komnenian period was the production of very precious , miniature mosaic icons .",A striking technical innovation of the Komnenian period,1
209,What year introduced the free substitution rule ?,the free substitution rule,There were also several rule changes in this period .,several rule changes,1
210,Where was the centre of Argentoratum situated ?,the centre of Argentoratum,"This was where the largest burial places were situated , as well as the densest concentration of civilian dwelling places and commerces next to the camp .",the densest concentration of civilian dwelling places and commerces next to the camp,1
211,What was the purpose for creating an Eton Mission ?,the purpose for creating an Eton Mission,"As with other public schools , a scheme was devised towards the end of the 19 th century to familiarize privileged schoolboys with social conditions in deprived areas .",other public schools,0
212,On what date did NATO kill Gaddafi ' s son ?,Gaddafi ' s son,"On 30 April a NATO airstrike killed Gaddafi ' s sixth son and three of his grandsons in Tripoli , though Gaddafi and his wife were unharmed .",a NATO airstrike,0
213,"Where do Jem , Scout , and Dill observe the trial of Tom Robinson ?","Jem , Scout , and Dill",Atticus does not want Jem and Scout to be present at Tom Robinson ' s trial .,Jem and Scout,1
214,What did Chinese laborers do after they left that line of work ?,Chinese laborers,"In 1882 , the Chinese Exclusion Act was passed , and Chinese workers who chose to stay in the U . S . were unable to have their wives join them .",the Chinese Exclusion Act,1
215,What piece of information is almost always listed on a pub sign ?,What piece,"Today ' s pub signs almost always bear the name of the pub , both in words and in pictorial representation .",Today ' s pub signs,0
216,What does it mean to read the word LORD in all capitals in the Bible ?,the word LORD,"In many translations of the Bible , when the word LORD is in all capitals , it signifies that the word represents the tetragrammaton .",many translations of the Bible,0
217,What warrior class rose during the Heian era ?,the Heian era,"The period is also noted for the rise of the samurai class , which would eventually take power and start the feudal period of Japan .",The period,0
218,Why is pasture land limited ?,pasture land,Grazing and pasture land are limited because of the steep and rocky topography of the Alps .,Grazing and pasture land,0
219,What kind of stamp is required to hunt migratory waterfowl ?,migratory waterfowl,Hunting migratory waterfowl requires a duck stamp from the Fish and Wildlife Service in addition to the appropriate state hunting license .,a duck stamp,0
220,Which other song from the soundtrack did better in the charts ?,Which other song,"Beyoncé released "" Work It Out "" as the lead single from its soundtrack album which entered the top ten in the UK , Norway , and Belgium .","the lead single from its soundtrack album which entered the top ten in the UK , Norway , and Belgium",1
221,How were the indigenous Palermo population treated under Muslim rule ?,the indigenous Palermo population,"The Muslims took control of the Island in 904 , after decades of fierce fighting , and the Emirate of Sicily was established .",The Muslims,1
222,What was the effect of the housing crash on the region ?,the effect of the housing crash on the region,Southern California ' s economy is diverse and one of the largest in the United States .,Southern California ' s economy,1
223,What did the United States turn it ' s industry to in the two years folloing the Battle of Midway ?,the United States,"The United States used the ensuing period to turn its vast industrial potential into increased numbers of ships , planes , and trained aircrew .",The United States,0
224,Where did the drug traffickers come from ?,the drug traffickers,"Beginning around 2005 , drug traffickers based in Latin America began to use Guinea - Bissau , along with several neighboring West African nations , as a transshipment point to Europe for cocaine .",drug traffickers based in Latin America,0
225,When was Medina eliminated from the competition ?,the competition,"The judges used their one save on Abrams on the Top 11 , and as a result this was the first season that 11 finalists went on tour instead of 10 .",The judges,1
226,What did Lee Walker recruit members to Dell for ?,Lee Walker,"In 1986 , Michael Dell brought in Lee Walker , a 51 - year - old venture capitalist , as president and chief operating officer , to serve as Michael ' s mentor and implement Michael ' s ideas for growing the company .",Michael Dell,1
227,Where is he cup presentation made ?,he cup presentation,"Traditionally , at Wembley finals , the presentation is made at the Royal Box , with players , led by the captain , mounting a staircase to a gangway in front of the box and returning by a second staircase on the other side of the box .",the presentation,0
228,What is the name of the business that produces a significant portion of Telemundo ' s original programming ?,the name of the business that produces a significant portion of Telemundo ' s original programming,"The Telemundo Television Studios produces much of the original programming for Telemundo , such as their telenovelas and talk shows .",The Telemundo Television Studios,0
229,In what decade did colleges of technology gain the University designation ?,colleges of technology,"In 1956 , some colleges of technology received the designation College of Advanced Technology .",some colleges of technology,1
230,What did both houses of Congress pass measures reaffirming their support for ?,both houses of Congress,"In 2002 , a three judge panel on the Ninth Circuit Court of Appeals held that classroom recitation of the Pledge of Allegiance in a California public school was unconstitutional , even when students were not compelled to recite it , due to the inclusion of the phrase "" under God . """,a three judge panel on the Ninth Circuit Court of Appeals,0
231,When do we rely on agricultural diversity to replant the land with something new ?,agricultural diversity,"We may forgo wheat production in that area and plant a different species altogether , relying on interspecific diversity .",wheat production in that area,1
232,How many days of the year in 1991 was the air pollution a serious health risk ?,the air pollution,"Due to these initiatives and others , the air quality in Mexico City has begun to improve , with the air becoming cleaner since 1991 , when the air quality was declared to be a public health risk for 355 days of the year . [ citation needed ]",the air quality in Mexico City,0
233,What do groups of anthropologists object to the use of anthropology for benefit of ?,groups of anthropologists,Professional anthropological bodies often object to the use of anthropology for the benefit of the state .,Professional anthropological bodies,0
234,How can pain effect a person ' s quality of life and general functioning ?,a person ' s quality of life and general functioning,Pain is the most common reason for physician consultation in most developed countries .,the most common reason for physician consultation in most developed countries,1
235,"After all cars go to the lobby , what is the next step ?",all cars,"One by one , each car in the group will return to the lobby floor , open its doors and shut down .",each car in the group,1
236,"According to Ibn Sina , at what age should children choose a direction for their education ?",Ibn Sina,"He writes that children after the age of 14 should be allowed to choose and specialise in subjects they have an interest in , whether it was reading , manual skills , literature , preaching , medicine , geometry , trade and commerce , craftsmanship , or any other subject or profession they would be interested in pursuing for a future career .",children after the age of 14,0
237,What is the OSHA uranium exposure limit for an 8 - hour workday ?,the OSHA uranium exposure limit for an 8 - hour workday,The Occupational Safety and Health Administration ( OSHA ) has set the permissible exposure limit for uranium exposure in the workplace as 0 . 25 mg / m3 over an 8 - hour workday .,The Occupational Safety and Health Administration ( OSHA ),0
238,How long do members of the supreme court serve ?,members of the supreme court,"Members are nominated to the court by the president and are confirmed by the Senate , serving until the age of 70 .",the court,0
239,When was the lowest unemployment rate in Namibia ?,the lowest unemployment rate in Namibia,"According to the Namibia Labour Force Survey Report 2012 , conducted by the Namibia Statistics Agency , the country ' s unemployment rate is 27 . 4 % .",the country ' s unemployment rate,1
240,Who first translated Philosophus Autodidactus into latin ?,Philosophus Autodidactus,"A Latin translation of Ibn Tufail ' s work , Philosophus Autodidactus , first appeared in 1671 , prepared by Edward Pococke the Younger , followed by an English translation by Simon Ockley in 1708 , as well as German and Dutch translations .","A Latin translation of Ibn Tufail ' s work , Philosophus Autodidactus ,",0
241,What Deputy was responsible for the death of Frank Stiwell ?,the death of Frank Stiwell,: 250 Deputy U . S . Marshal Wyatt Earp gathered a few trusted friends and accompanied Virgil Earp and his family as they traveled to Benson for a train ride to California .,250 Deputy U . S . Marshal Wyatt Earp,0
242,What do some Belgian cities hold during Lent ?,some Belgian cities,"One of the best - known is Stavelot , where the Carnival de la Laetare takes place on Laetare Sunday , the fourth Sunday of Lent .",One of the best - known,1
243,What ethnice groups did the Qing thin made up China ?,the Qing thin,"The Qing emperors proclaimed that both Han and non - Han peoples were part of "" China .",The Qing emperors,0
244,What is attested as a self - identifier in Iranian languages ?,a self - identifier in Iranian languages,"In Iranian languages , the gentilic is attested as a self - identifier included in ancient inscriptions and the literature of Avesta , [ a ] and remains also in other Iranian ethnic names such as Alans ( Ossetic : Ир – Ir ) and Iron ( Ossetic :",the gentilic,0
245,What was created for the sake of comparing English dialects ?,the sake of comparing English dialects,The Dialect Test was designed by Joseph Wright to compare different English dialects with each other .,The Dialect Test,0
246,What did Emperor Haile Selassie seek to annex in the 1950 ' s ?,Emperor Haile Selassie,"In the 1950 s , the Ethiopian feudal administration under Emperor Haile Selassie sought to annex Eritrea and Italian Somaliland .",the Ethiopian feudal administration under Emperor Haile Selassie,0
247,What year did the executions stop ?,the executions,"During October , the ROK police executed people who were suspected to be sympathetic to North Korea , and similar massacres were carried out until early 1951 .",similar massacres,0
248,The Peace Pagoda built in New Delhi by the Nipponzan Myohoji contained what type of artifacts ?,The Peace Pagoda built in New Delhi by the Nipponzan Myohoji,It was inaugurated by the current Dalai Lama .,the current Dalai Lama,1
249,What can each forwarding operation location provide ?,each forwarding operation location,"The RCAF and Joint Task Force ( North ) ( JTFN ) also maintain at various points throughout Canada ' s northern region a chain of forward operating locations , each capable of supporting fighter operations .",The RCAF and Joint Task Force ( North ) ( JTFN ),0
250,When would other targets be considered available ?,other targets,Other targets would be considered if the primary ones could not be attacked because of weather conditions .,Other targets,0
251,"In the wake of the Jacksonville fire , what did the Florida Governor do ?",the wake of the Jacksonville fire,"Known as the "" Great Fire of 1901 "" , it was one of the worst disasters in Florida history and the largest urban fire in the southeastern United States .",one of the worst disasters in Florida history and the largest urban fire in the southeastern United States,1
252,On what continent did the Ottoman Navy contribute most ?,the Ottoman Navy,The Ottoman Navy vastly contributed to the expansion of the Empire ' s territories on the European continent .,The Ottoman Navy,0
253,What region did the Ottoman Navy conquer in the early 16 th century ?,the Ottoman Navy,The Ottoman Navy vastly contributed to the expansion of the Empire ' s territories on the European continent .,The Ottoman Navy,1
254,On what date did two Muslim extremists attack Charlie Hebdo ?,two Muslim extremists,"Ten months later , 13 November 2015 , came a series of coordinated terrorist attacks in Paris and Saint - Denis claimed by the ' Islamic state ' organisation ISIL ( ' Daesh ' , ISIS ) ; 130 people were killed by gunfire and bombs , and more than 350 were injured .",13 November 2015,1
255,"What term do Italians use for DST that literally translates as "" legal time "" ?",""" legal time ""","In Britain , Willett ' s 1907 proposal used the term daylight saving , but by 1911 the term summer time replaced daylight saving time in draft legislation .",Willett ' s 1907 proposal,1
256,"What era lasted between 12 , 000 and 10 , 200 BC ?","12 , 000 and 10 , 200 BC","The beginning of the Neolithic culture is considered to be in the Levant ( Jericho , modern - day West Bank ) about 10 , 200 – 8 , 800 BC .",The beginning of the Neolithic culture,1
257,The Boston Globe and the Boston herals are two of Bostons what ?,The Boston Globe and the Boston herals,"The city is also served by other publications such as Boston magazine , The Improper Bostonian , DigBoston , and the Boston edition of Metro .",The city,1
258,Where did the Metro Department store originally begin ?,the Metro Department store,"2007 saw the re - opening of Jakarta ' s Seibu , poised to be the largest and second most upscale department store in Indonesia after Harvey Nichols , which the latter closed in 2010 and yet plans to return .","the re - opening of Jakarta ' s Seibu , poised to be the largest and second most upscale department store in Indonesia after Harvey Nichols , which the latter closed in 2010 and yet plans to return",1
259,What is the acronym for an organization that serves as an accreditation body for engineering schools ?,the acronym for an organization that serves as an accreditation body for engineering schools,"The KU School of Engineering is an ABET accredited , public engineering school located on the main campus .",The KU School of Engineering,0
260,What film depicts the Chicago Cubs defeating a baseball team from Miami in the 2015 World Series ?,the Chicago Cubs,"The 1989 film Back to the Future Part II depicts the Chicago Cubs defeating a baseball team from Miami in the 2015 World Series , ending the longest championship drought in all four of the major North American professional sports leagues .",The 1989 film Back to the Future Part II,0
261,What is the Code Civil frequently referred to as now ?,the Code Civil,"Napoleon ' s set of civil laws , the Code Civil — now often known as the Napoleonic Code — was prepared by committees of legal experts under the supervision of Jean Jacques Régis de Cambacérès , the Second Consul .","Napoleon ' s set of civil laws , the Code Civil — now often known as the Napoleonic Code —",0
262,Who held the Fourth Council of the Lateran ?,the Fourth Council of the Lateran,"The decree of the Council of Trent is worded more mildly : "" Let clerics abstain from illicit hunting and hawking "" ( Sess .",The decree of the Council of Trent,1
