,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
144,"Other than Gaj ' s Latin alphabet , what other written language can Serbo - Croatian be written in ?","Other than Gaj ' s Latin alphabet , what other written language can 세르보어-크로아티아어 be written in ?",Serbo - Croatian,세르보어-크로아티아어,"Like other South Slavic languages , Serbo - Croatian has a simple phonology , with the common five - vowel system and twenty - five consonants .","Like 다른 남슬라브어 , Serbo - Croatian has a simple phonology , with the common five - vowel system and twenty - five consonants .",other South Slavic languages,다른 남슬라브어,1
145,What is the name of a Japanese wrestling company ?,What is 일본 레슬링 회사 이름 ?,the name of a Japanese wrestling company,일본 레슬링 회사 이름,"Other prominent professional wrestling companies worldwide include the US - based Total Nonstop Action Wrestling ( TNA ) and Ring of Honor ( ROH ) , Consejo Mundial de Lucha Libre ( CMLL ) and Asistencia Asesoría y Administración ( AAA ) in Mexico , and the Japanese New Japan Pro Wrestling ( NJPW ) , All Japan Pro Wrestling ( AJPW ) , and Pro Wrestling","기타 유명 프로레슬링 회사 worldwide include the US - based Total Nonstop Action Wrestling ( TNA ) and Ring of Honor ( ROH ) , Consejo Mundial de Lucha Libre ( CMLL ) and Asistencia Asesoría y Administración ( AAA ) in Mexico , and the Japanese New Japan Pro Wrestling ( NJPW ) , All Japan Pro Wrestling ( AJPW ) , and Pro Wrestling",Other prominent professional wrestling companies,기타 유명 프로레슬링 회사,0
146,In what year did Time magazine choose Seattle Central Community College as community college of the year ?,In what year did 타임지 choose Seattle Central Community College as community college of the year ?,Time magazine,타임지,"In 2001 , Time magazine selected Seattle Central Community College as community college of the year , stating the school "" pushes diverse students to work together in small teams "" .","In 2001 , 타임지 selected Seattle Central Community College as community college of the year , stating the school "" pushes diverse students to work together in small teams "" .",Time magazine,타임지,0
147,Anti - aircraft defenses became better after what ?,Anti - 항공기 방어 became better after what ?,aircraft defenses,항공기 방어,"It was to be some months before an effective night fighter force would be ready , and anti - aircraft defences only became adequate after the Blitz was over , so ruses were created to lure German bombers away from their targets .","It was to be 몇 달 before an effective night fighter force would be ready , and anti - aircraft defences only became adequate after the Blitz was over , so ruses were created to lure German bombers away from their targets .",some months,몇 달,0
148,What company did Kanye West begin ?,What company did 카니 예 웨스트 begin ?,Kanye West,카니 예 웨스트,"His more publicized comments include his declaration that President George W . Bush "" doesn ' t care about black people "" during a live 2005 television broadcast for Hurricane Katrina relief , and his interruption of singer Taylor Swift at the 2009 MTV Video Music Awards .","그의 더 널리 알려진 댓글 include his declaration that President George W . Bush "" doesn ' t care about black people "" during a live 2005 television broadcast for Hurricane Katrina relief , and his interruption of singer Taylor Swift at the 2009 MTV Video Music Awards .",His more publicized comments,그의 더 널리 알려진 댓글,1
149,What is considered a key part of interior design ?,What is considered 인테리어 디자인의 중요한 부분 ?,a key part of interior design,인테리어 디자인의 중요한 부분,Lighting can also be an intrinsic component of landscape projects .,Lighting can also be 조경 프로젝트의 본질적인 구성 요소 .,an intrinsic component of landscape projects,조경 프로젝트의 본질적인 구성 요소,1
150,Name one of the poetic authors who was also nominated for the Nobel Peace Award from the Greeks ?,Name 그리스로부터 노벨 평화상 후보로도 지명된 시 작가 중 한 명 ?,one of the poetic authors who was also nominated for the Nobel Peace Award from the Greeks,그리스로부터 노벨 평화상 후보로도 지명된 시 작가 중 한 명,Alexandrian Constantine P . Cavafy and Nobel laureates Giorgos Seferis and Odysseas Elytis are among the most important poets of the 20 th century .,알렉산드리아 콘스탄틴 P Cavafy와 노벨상 수상자 Giorgos Seferis와 Odysseas Elytis are among the most important poets of the 20 th century .,Alexandrian Constantine P . Cavafy and Nobel laureates Giorgos Seferis and Odysseas Elytis,알렉산드리아 콘스탄틴 P Cavafy와 노벨상 수상자 Giorgos Seferis와 Odysseas Elytis,0
151,What percent of the bus systems use alternate fuels ?,몇 퍼센트 of the bus systems use alternate fuels ?,What percent,몇 퍼센트,"The city first proposed its Sustainable City Plan in 1992 and in 1994 , was one of the first cities in the nation to formally adopt a comprehensive sustainability plan , setting waste reduction and water conservation policies for both public and private sector through its Office of Sustainability and the Environment .","도시 first proposed its Sustainable City Plan in 1992 and in 1994 , was one of the first cities in the nation to formally adopt a comprehensive sustainability plan , setting waste reduction and water conservation policies for both public and private sector through its Office of Sustainability and the Environment .",The city,도시,1
152,What are two things Chopin ' s performances were known for ?,What are 두가지 Chopin ' s performances were known for ?,two things,두가지,His keyboard style is highly individual and often technically demanding ; his own performances were noted for their nuance and sensitivity .,그의 키보드 스타일 is highly individual and often technically demanding ; his own performances were noted for their nuance and sensitivity .,His keyboard style,그의 키보드 스타일,0
153,"How many times is the word "" Quran "" used in the Quran ?","How many times is ""쿠란""이라는 단어 used in the Quran ?","the word "" Quran ""","""쿠란""이라는 단어","The word "" Quran "" occurs some 70 times in the text of the Quran , although different names and words are also said to be references to the Quran .","""꾸란""이라는 단어 occurs some 70 times in the text of the Quran , although different names and words are also said to be references to the Quran .","The word "" Quran ""","""꾸란""이라는 단어",0
154,On what service could the ESPN Deportes broadcast be streamed ?,On what service could ESPN 스포츠 방송 be streamed ?,the ESPN Deportes broadcast,ESPN 스포츠 방송,The ESPN Deportes Spanish broadcast was made available through WatchESPN .,ESPN Deportes 스페인어 방송 was made available through WatchESPN .,The ESPN Deportes Spanish broadcast,ESPN Deportes 스페인어 방송,0
155,In which event did the rainforests collapsed in the carboniferous ?,In which event did 열대우림 collapsed in the carboniferous ?,the rainforests,열대우림,"The worst was the Permian - Triassic extinction event , 251 million years ago .","가장 나쁜 was the Permian - Triassic extinction event , 251 million years ago .",The worst,가장 나쁜,0
156,How many nations do the twenty - five foreign banks represent ?,How many nations do 스물다섯개의 외국은행 represent ?,the twenty - five foreign banks,스물다섯개의 외국은행,Forty foreign governments maintain trade and commercial offices here and 23 active foreign chambers of commerce and trade associations .,40개의 외국 정부 maintain trade and commercial offices here and 23 active foreign chambers of commerce and trade associations .,Forty foreign governments,40개의 외국 정부,1
157,What type of musicians besides classical have experimented with electronic instruments ?,What type of 클래식 이외의 음악가 have experimented with electronic instruments ?,musicians besides classical,클래식 이외의 음악가,"Electric instruments such as the electric guitar , the electric bass and the ondes Martenot appear occasionally in the classical music of the 20 th and 21 st centuries .","일렉트릭 기타, 일렉트릭 베이스, 옹드 마르트노 등의 전기 악기 appear occasionally in the classical music of the 20 th and 21 st centuries .","Electric instruments such as the electric guitar , the electric bass and the ondes Martenot","일렉트릭 기타, 일렉트릭 베이스, 옹드 마르트노 등의 전기 악기",1
158,In what century was the church established at the location ?,In what century was 교회 established at the location ?,the church,교회,"Construction of the present church began in 1245 , on the orders of King Henry III .","현재의 교회 건축 began in 1245 , on the orders of King Henry III .",Construction of the present church,현재의 교회 건축,1
159,What are three of the other health conditions that occur more frequently with asthma ?,What are 천식과 함께 더 자주 발생하는 세 가지 다른 건강 상태 ?,three of the other health conditions that occur more frequently with asthma,천식과 함께 더 자주 발생하는 세 가지 다른 건강 상태,"Those with asthma , especially if it is poorly controlled , are at high risk for radiocontrast reactions .","천식이 있는 분 , especially if it is poorly controlled , are at high risk for radiocontrast reactions .",Those with asthma,천식이 있는 분,1
160,How many times did Israelites have political independence in ancient history ?,How many times did Israelites have 정치적 독립 in ancient history ?,political independence,정치적 독립,"Since the destruction of the Second Temple in 70 CE , most Jews have lived in diaspora .","Since the destruction of the Second Temple in 70 CE , 대부분의 유대인 have lived in diaspora .",most Jews,대부분의 유대인,1
161,"What does Canada being referred to as the 51 st state in a positive way mean in the US , generally ?","What does Canada being referred to as 51번째 주 in a positive way mean in the US , generally ?",the 51 st state,51번째 주,"In the United States , the term "" the 51 st state "" when applied to Canada can serve to highlight the similarities and close relationship between the United States and Canada .","In the United States , 캐나다에 적용되는 경우 ""51번째 주""라는 용어 can serve to highlight the similarities and close relationship between the United States and Canada .","the term "" the 51 st state "" when applied to Canada","캐나다에 적용되는 경우 ""51번째 주""라는 용어",0
162,What type of penalty was made for unlawful performances that are willful and for profit ?,What type of penalty was made for 고의적이고 영리를 위한 불법적인 행위 ?,unlawful performances that are willful and for profit,고의적이고 영리를 위한 불법적인 행위,"The first criminal provision in U . S . copyright law was added in 1897 , which established a misdemeanor penalty for "" unlawful performances and representations of copyrighted dramatic and musical compositions "" if the violation had been "" willful and for profit .","미국 최초의 형사 조항 에스 저작권법 was added in 1897 , which established a misdemeanor penalty for "" unlawful performances and representations of copyrighted dramatic and musical compositions "" if the violation had been "" willful and for profit .",The first criminal provision in U . S . copyright law,미국 최초의 형사 조항 에스 저작권법,0
163,"If the Prime Minister of the United Kingdom becomes sick in New York City , what hospital does he go to ?","If 영국 총리 becomes sick in New York City , what hospital does he go to ?",the Prime Minister of the United Kingdom,영국 총리,Bellevue is the designated hospital for treatment of the President of the United States and other world leaders if they become sick or injured while in New York City .,Bellevue is 미국 대통령과 세계 지도자들의 치료를 위해 지정된 병원 if they become sick or injured while in New York City .,the designated hospital for treatment of the President of the United States and other world leaders,미국 대통령과 세계 지도자들의 치료를 위해 지정된 병원,1
164,what sound emerged in Detroit with the recordings of juan atkins and derrick may ?,what sound emerged in Detroit with Juan Atkins와 Derrick May의 녹음 ?,the recordings of juan atkins and derrick may,Juan Atkins와 Derrick May의 녹음,"In Detroit a proto - techno music sound began to emerge with the recordings of Juan Atkins , Derrick May and Kevin Saunderson .","In Detroit a proto - 테크노 음악 사운드 began to emerge with the recordings of Juan Atkins , Derrick May and Kevin Saunderson .",techno music sound,테크노 음악 사운드,0
165,What year marked the onset of the Crusades ?,What year marked 십자군 전쟁의 시작 ?,the onset of the Crusades,십자군 전쟁의 시작,"Over this period of several hundred years , some have suggested , Jewish economic activity was focused on trade , business management , and financial services , due to several presumed factors : Christian European prohibitions restricting certain activities by Jews , preventing certain financial activities ( such as "" usurious "" loans ) between Christians , high rates of literacy , near universal male education , and ability of merchants to rely upon and trust family members living in different regions and countries .","Over this period of several hundred years , some have suggested , 유대인의 경제 활동 was focused on trade , business management , and financial services , due to several presumed factors : Christian European prohibitions restricting certain activities by Jews , preventing certain financial activities ( such as "" usurious "" loans ) between Christians , high rates of literacy , near universal male education , and ability of merchants to rely upon and trust family members living in different regions and countries .",Jewish economic activity,유대인의 경제 활동,1
166,Where is the biggest Buddha statue in Europe ?,Where is 유럽에서 가장 큰 불상 ?,the biggest Buddha statue in Europe,유럽에서 가장 큰 불상,"The Pagode de Vincennes Buddhist temple , near Lake Daumesnil in the Bois de Vincennes , is the former Cameroon pavilion from the 1931 Paris Colonial Exposition .",뱅센 숲(Bois de Vincennes)의 도메닐 호수(Lake Daumesnil) 근처에 있는 뱅센 파고드(Pagode de Vincennes) 불교 사원입니다 is the former Cameroon pavilion from the 1931 Paris Colonial Exposition .,"The Pagode de Vincennes Buddhist temple , near Lake Daumesnil in the Bois de Vincennes ,",뱅센 숲(Bois de Vincennes)의 도메닐 호수(Lake Daumesnil) 근처에 있는 뱅센 파고드(Pagode de Vincennes) 불교 사원입니다,0
167,In what year was the British protectorate over British Somaliland ended ?,In what year was 영국령 소말릴란드에 대한 영국의 보호령 ended ?,the British protectorate over British Somaliland,영국령 소말릴란드에 대한 영국의 보호령,"Following World War II , Britain retained control of both British Somaliland and Italian Somaliland as protectorates .","Following 제2차 세계 대전 , Britain retained control of both British Somaliland and Italian Somaliland as protectorates .",World War II,제2차 세계 대전,1
168,What is the capacity of water that the dams on Cyprus can hold ?,What is 키프로스의 댐이 담을 수 있는 물의 용량 ?,the capacity of water that the dams on Cyprus can hold,키프로스의 댐이 담을 수 있는 물의 용량,Efforts have also been made to raise public awareness of the situation and to encourage domestic water users to take more responsibility for the conservation of this increasingly scarce commodity .,Efforts have also been made to raise 상황에 대한 대중의 인식 and to encourage domestic water users to take more responsibility for the conservation of this increasingly scarce commodity .,public awareness of the situation,상황에 대한 대중의 인식,1
169,What cut of pork do those in Western North Carolina prefer for BBQ ?,What cut of pork do 서부 노스캐롤라이나에 있는 사람들 prefer for BBQ ?,those in Western North Carolina,서부 노스캐롤라이나에 있는 사람들,"Western North Carolina pork barbecue uses a tomato - based sauce , and only the pork shoulder ( dark meat ) is used .","서부 노스캐롤라이나 돼지고기 바비큐 uses a tomato - based sauce , and only the pork shoulder ( dark meat ) is used .",Western North Carolina pork barbecue,서부 노스캐롤라이나 돼지고기 바비큐,0
170,Who was the son of Philip of Macedon ?,Who was 마케도니아의 빌립의 아들 ?,the son of Philip of Macedon,마케도니아의 빌립의 아들,Greece was first unified under Philip of Macedon in the fourth century BC .,Greece was first unified under 마케도니아의 필립 in the fourth century BC .,Philip of Macedon,마케도니아의 필립,1
171,How many gods do the Hindu ' s have ?,How many gods do 힌두교의 have ?,the Hindu ' s,힌두교의,There is no clear consensus on the nature or even the existence of God .,There is 신의 본질이나 심지어 존재에 대한 명확한 합의가 없습니다 .,no clear consensus on the nature or even the existence of God,신의 본질이나 심지어 존재에 대한 명확한 합의가 없습니다,1
172,One technology that is available for hunters in the U . S . is ?,하나의 기술 that is available for hunters in the U . S . is ?,One technology,하나의 기술,"Many different technologies have been created to assist hunters , even including iPhone applications .","다양한 기술 have been created to assist hunters , even including iPhone applications .",Many different technologies,다양한 기술,0
173,Who led the congressional hearings ?,Who led 의회 청문회 ?,the congressional hearings,의회 청문회,"In the U . S . , a push for revisions of the FD & C Act emerged from Congressional hearings led by Senator Estes Kefauver of Tennessee in 1959 .","In the U . S . , FD&C법 개정 추진 emerged from Congressional hearings led by Senator Estes Kefauver of Tennessee in 1959 .",a push for revisions of the FD & C Act,FD&C법 개정 추진,0
174,Akkadian ' s language can be traced to the Semitic branch of what languages ?,아카드어의 언어 can be traced to the Semitic branch of what languages ?,Akkadian ' s language,아카드어의 언어,There have been many failed attempts to connect Sumerian to other language groups .,There have been 수메르어를 다른 언어 그룹에 연결하려는 시도가 많이 실패했습니다 .,many failed attempts to connect Sumerian to other language groups,수메르어를 다른 언어 그룹에 연결하려는 시도가 많이 실패했습니다,1
175,In which year was Campus Martius open ?,In which year was 캠퍼스 마티우스 open ?,Campus Martius,캠퍼스 마티우스,"In 2001 , the first portion of the International Riverfront was completed as a part of the city ' s 300 th anniversary celebration , with miles of parks and associated landscaping completed in succeeding years .","In 2001 , International Riverfront의 첫 번째 부분 was completed as a part of the city ' s 300 th anniversary celebration , with miles of parks and associated landscaping completed in succeeding years .",the first portion of the International Riverfront,International Riverfront의 첫 번째 부분,1
176,Which diplomat helped gather information on the country of Anxi ?,어느 외교관 helped gather information on the country of Anxi ?,Which diplomat,어느 외교관,"These connections marked the beginning of the Silk Road trade network that extended to the Roman Empire , bringing Han items like silk to Rome and Roman goods such as glasswares to China .","이러한 연결 marked the beginning of the Silk Road trade network that extended to the Roman Empire , bringing Han items like silk to Rome and Roman goods such as glasswares to China .",These connections,이러한 연결,1
177,How many major riots between blacks and whites occurred in Charleston in 1876 ?,How many major riots between 흑인과 백인 occurred in Charleston in 1876 ?,blacks and whites,흑인과 백인,"With leadership by members of the antebellum free black community , historian Melinda Meeks Hennessy described the community as "" unique "" in being able to defend themselves without provoking "" massive white retaliation "" , as occurred in numerous other areas during Reconstruction .","With leadership by members of the antebellum free black community , 역사가 멜린다 믹스 헤네시 described the community as "" unique "" in being able to defend themselves without provoking "" massive white retaliation "" , as occurred in numerous other areas during Reconstruction .",historian Melinda Meeks Hennessy,역사가 멜린다 믹스 헤네시,1
178,"What are the heads of government in Wales , Scotland and Northern Ireland called ?","What are 웨일스, 스코틀랜드, 북아일랜드 정부 수반 called ?","the heads of government in Wales , Scotland and Northern Ireland","웨일스, 스코틀랜드, 북아일랜드 정부 수반","In the UK , where devolved government is in place , the leaders of the Scottish , Northern Irish and Welsh Governments are styled First Minister .","In the UK , where devolved government is in place , 스코틀랜드, 북아일랜드, 웨일스 정부의 지도자들 are styled First Minister .","the leaders of the Scottish , Northern Irish and Welsh Governments","스코틀랜드, 북아일랜드, 웨일스 정부의 지도자들",0
179,What are the most popular sports in Eritrea ?,What are 에리트레아에서 가장 인기 있는 스포츠 ?,the most popular sports in Eritrea,에리트레아에서 가장 인기 있는 스포츠,"In recent years , Eritrean athletes have also seen increasing success in the international arena .","In recent years , 에리트레아 선수 have also seen increasing success in the international arena .",Eritrean athletes,에리트레아 선수,1
180,When did Kerry and his wife divorce ?,When did Kerry and 그의 부인 divorce ?,his wife,그의 부인,"They were divorced on July 25 , 1988 , and the marriage was formally annulled in 1997 .","They were divorced on July 25 , 1988 , and 결혼 was formally annulled in 1997 .",the marriage,결혼,0
181,What Brigade was the 24 th Michigan Infantry Regiment a part of ?,What Brigade was 미시간 제24보병연대 a part of ?,the 24 th Michigan Infantry Regiment,미시간 제24보병연대,"When the First Volunteer Infantry Regiment arrived to fortify Washington , DC , President Abraham Lincoln is quoted as saying "" Thank God for Michigan ! ""","When the First Volunteer Infantry Regiment arrived to fortify Washington , DC , 에이브러햄 링컨 대통령 is quoted as saying "" Thank God for Michigan ! """,President Abraham Lincoln,에이브러햄 링컨 대통령,1
182,Media such as a radio and television have started to make their presences felt since what years ?,"라디오, 텔레비전 등의 미디어 have started to make their presences felt since what years ?",Media such as a radio and television,"라디오, 텔레비전 등의 미디어","This is in addition to many classic ethnographic contexts , where media such as radio , the press , new media and television have started to make their presences felt since the early 1990 s .","This is in 라디오, 언론, 뉴미디어, 텔레비전과 같은 미디어가 1990년대 초부터 존재감을 느끼기 시작한 많은 고전적인 민족지학적 맥락에 더해 .","addition to many classic ethnographic contexts , where media such as radio , the press , new media and television have started to make their presences felt since the early 1990 s","라디오, 언론, 뉴미디어, 텔레비전과 같은 미디어가 1990년대 초부터 존재감을 느끼기 시작한 많은 고전적인 민족지학적 맥락에 더해",0
183,Where did travelers early in the Middle Ages often find lodgings ?,Where did 중세 초기의 여행자 often find lodgings ?,travelers early in the Middle Ages,중세 초기의 여행자,The Hostellers of London were granted guild status in 1446 and in 1514 the guild became the Worshipful Company of Innholders .,런던의 호스텔러스 were granted guild status in 1446 and in 1514 the guild became the Worshipful Company of Innholders .,The Hostellers of London,런던의 호스텔러스,1
184,Whose court did Pletho arrive in and begin a new period of translation in Renaissance Italy ?,Whose court did Pletho arrive in and begin 번역의 새로운 시대 in Renaissance Italy ?,a new period of translation,번역의 새로운 시대,This and Erasmus ' Latin edition of the New Testament led to a new attitude to translation .,이것과 에라스무스의 신약성서 라틴어판 led to a new attitude to translation .,This and Erasmus ' Latin edition of the New Testament,이것과 에라스무스의 신약성서 라틴어판,1
185,Whose letter does the introduction to On the Origin of Species refer ?,Whose letter does 종의 기원 소개 refer ?,the introduction to On the Origin of Species,종의 기원 소개,"In the second edition , Darwin added an epigraph from Joseph Butler affirming that God could work through scientific laws as much as through miracles , in a nod to the religious concerns of his oldest friends .","In 두 번째 판 , Darwin added an epigraph from Joseph Butler affirming that God could work through scientific laws as much as through miracles , in a nod to the religious concerns of his oldest friends .",the second edition,두 번째 판,1
186,"As a tree grows bigger , if the sapwood layer doesn ' t increase in volume , what will it become ?","As a tree grows bigger , if 변재층 doesn ' t increase in volume , what will it become ?",the sapwood layer,변재층,"Sapwood is thicker in the upper portion of the trunk of a tree than near the base , because the age and the diameter of the upper sections are less .","Sapwood is thicker in 윗부분 of the trunk of a tree than near the base , because the age and the diameter of the upper sections are less .",the upper portion,윗부분,1
187,Who confirmed the dpon - chen ?,Who confirmed 디폰 - 첸 ?,the dpon - chen,디폰 - 첸,"If the Sakya lama ever came into conflict with the dpon - chen , the dpon - chen had the authority to send Chinese troops into the region .","If the Sakya lama ever came into conflict with the dpon - chen , the dpon - chen had 중국군을 해당 지역에 파견할 수 있는 권한 .",the authority to send Chinese troops into the region,중국군을 해당 지역에 파견할 수 있는 권한,1
188,Melbourne is home to a research and development hub for which auto manufacturer ?,Melbourne is home to 자동차 제조업체를 위한 연구 개발 허브 ?,a research and development hub for which auto manufacturer,자동차 제조업체를 위한 연구 개발 허브,"The city also boasts a research and development hub for Ford Australia , as well as a global design studio and technical centre for General Motors and Toyota respectively .","도시 also boasts a research and development hub for Ford Australia , as well as a global design studio and technical centre for General Motors and Toyota respectively .",The city,도시,0
189,The Russians escaped under the cover of what in 1855 ?,러시아인 escaped under the cover of what in 1855 ?,The Russians,러시아인,The Russians escaped under the cover of snow in early 1855 after Allied reinforcements arrived in the region .,러시아인 escaped under the cover of snow in early 1855 after Allied reinforcements arrived in the region .,The Russians,러시아인,0
190,Who became responsible in part for the editing of The New Humanist ?,Who became responsible in part for 뉴 휴머니스트의 편집 ?,the editing of The New Humanist,뉴 휴머니스트의 편집,"Potter ' s book and the Manifesto became the cornerstones of modern humanism , the latter declaring a new religion by saying , "" any religion that can hope to be a synthesising and dynamic force for today must be shaped for the needs of this age .","포터의 책과 선언문 became the cornerstones of modern humanism , the latter declaring a new religion by saying , "" any religion that can hope to be a synthesising and dynamic force for today must be shaped for the needs of this age .",Potter ' s book and the Manifesto,포터의 책과 선언문,1
191,Which river touches the major shopping district near 181 st Street ?,Which river touches 181번가 근처의 주요 쇼핑 지구 ?,the major shopping district near 181 st Street,181번가 근처의 주요 쇼핑 지구,"West of Fort Washington Avenue , 181 st Street is largely residential , bordering Hudson Heights and having a few shops to serve the local residents .","포트 워싱턴 애비뉴 서쪽 , 181 st Street is largely residential , bordering Hudson Heights and having a few shops to serve the local residents .",West of Fort Washington Avenue,포트 워싱턴 애비뉴 서쪽,1
192,What is indicated by the factor √ 2 ?,What is indicated by 요인 √ 2 ?,the factor √ 2,요인 √ 2,The factor √ 2 indicates that there is half a stop of headroom to deal with specular reflections that would appear brighter than a 100 % reflecting white surface .,요인 √ 2 indicates that there is half a stop of headroom to deal with specular reflections that would appear brighter than a 100 % reflecting white surface .,The factor √ 2,요인 √ 2,0
193,In what month and year was smoking banned in public places in Scotland ?,In what month and year was smoking banned in 스코틀랜드의 공공장소 ?,public places in Scotland,스코틀랜드의 공공장소,"In March 2006 , a law was introduced to forbid smoking in all enclosed public places in Scotland .","In March 2006 , a law was introduced to forbid smoking in 스코틀랜드의 모든 밀폐된 공공장소 .",all enclosed public places in Scotland,스코틀랜드의 모든 밀폐된 공공장소,0
194,How are duplication events studied ?,How are 중복 이벤트 studied ?,duplication events,중복 이벤트,Another possible whole genome duplication event at 160 million years ago perhaps created the ancestral line that led to all modern flowering plants .,1억 6천만년 전의 또 다른 전체 게놈 복제 사건 perhaps created the ancestral line that led to all modern flowering plants .,Another possible whole genome duplication event at 160 million years ago,1억 6천만년 전의 또 다른 전체 게놈 복제 사건,1
195,Have reviews praised the PS3 ' s hardware of software more frequently ?,Have reviews praised PS3의 하드웨어 소프트웨어 more frequently ?,the PS3 ' s hardware of software,PS3의 하드웨어 소프트웨어,"In addition , both Home Theater Magazine and Ultimate AV have given the system ' s Blu - ray playback very favorable reviews , stating that the quality of playback exceeds that of many current standalone Blu - ray Disc players .","In addition , 홈 시어터 매거진과 Ultimate AV 모두 have given the system ' s Blu - ray playback very favorable reviews , stating that the quality of playback exceeds that of many current standalone Blu - ray Disc players .",both Home Theater Magazine and Ultimate AV,홈 시어터 매거진과 Ultimate AV 모두,1
196,Where is Estonia ranked in the 2015 Index of Economic Freedom ?,Where is Estonia ranked in 2015년 경제자유지수 ?,the 2015 Index of Economic Freedom,2015년 경제자유지수,"The country is ranked 8 th in the 2015 Index of Economic Freedom , and the 4 th freest economy in Europe .","이 나라 is ranked 8 th in the 2015 Index of Economic Freedom , and the 4 th freest economy in Europe .",The country,이 나라,0
197,Who is an example of a major anti - piracy organization ?,Who is 주요 불법 복제 방지 조직의 예 ?,an example of a major anti - piracy organization,주요 불법 복제 방지 조직의 예,"Major anti - piracy organizations , like the BSA , conduct software licensing audits regularly to ensure full compliance .",BSA와 같은 주요 불법 복제 방지 조직은 conduct software licensing audits regularly to ensure full compliance .,"Major anti - piracy organizations , like the BSA ,",BSA와 같은 주요 불법 복제 방지 조직은,0
198,The US - buils ENIAC stands for what ?,미국 - buils ENIAC stands for what ?,The US,미국,The US - built ENIAC ( Electronic Numerical Integrator and Computer ) was the first electronic programmable computer built in the US .,미국에서 제작한 ENIAC(전자 수치 적분기 및 컴퓨터) was the first electronic programmable computer built in the US .,The US - built ENIAC ( Electronic Numerical Integrator and Computer ),미국에서 제작한 ENIAC(전자 수치 적분기 및 컴퓨터),0
199,Who wrote most of the Methodist hymns ?,Who wrote 대부분의 감리교 찬송 ?,most of the Methodist hymns,대부분의 감리교 찬송,"Soteriologically , most Methodists are Arminian , emphasizing that Christ accomplished salvation for every human being , and that humans must exercise an act of the will to receive it ( as opposed to the traditional Calvinist doctrine of monergism ) .","Soteriologically , 대부분의 감리교인 are Arminian , emphasizing that Christ accomplished salvation for every human being , and that humans must exercise an act of the will to receive it ( as opposed to the traditional Calvinist doctrine of monergism ) .",most Methodists,대부분의 감리교인,1
200,What is the name of the technique used in scanners to minimize the effects of dust and scratches ?,What is 먼지와 긁힘의 영향을 최소화하기 위해 스캐너에 사용되는 기술의 이름 ?,the name of the technique used in scanners to minimize the effects of dust and scratches,먼지와 긁힘의 영향을 최소화하기 위해 스캐너에 사용되는 기술의 이름,"The infrared channel , in combination with the other channels , is used to detect the location of scratches and dust .","적외선 채널 , in combination with the other channels , is used to detect the location of scratches and dust .",The infrared channel,적외선 채널,1
201,"Which city was captured by the Ottoman Turks , resulting in the fleeing of scholars to Western Europe ?","Which city was captured by 오스만 투르크 , resulting in the fleeing of scholars to Western Europe ?",the Ottoman Turks,오스만 투르크,"Following a renewed interest in ancient Greek and Roman texts that took root in the High Middle Ages , the Italian Renaissance began .","Following a renewed interest in ancient Greek and Roman texts that took root in the High Middle Ages , 이탈리아 르네상스 began .",the Italian Renaissance,이탈리아 르네상스,1
202,In what year was Plymouth Porcelain founded ?,In what year was 플리머스 도자기 founded ?,Plymouth Porcelain,플리머스 도자기,As an associate and host of engineer John Smeaton he was indirectly involved with the development of the Eddystone Lighthouse .,As 엔지니어 John Smeaton의 동료이자 호스트 he was indirectly involved with the development of the Eddystone Lighthouse .,an associate and host of engineer John Smeaton,엔지니어 John Smeaton의 동료이자 호스트,1
203,Who won the last election at Reichstag ?,Who won 마지막 선거 at Reichstag ?,the last election,마지막 선거,"The movement started with the first election for the Reichstag ; those elected were called "" les députés protestataires "" , and until the fall of Bismarck in 1890 , they were the only deputies elected by the Alsatians to the German parliament demanding the return of those territories to France .","The movement started with the first election for the Reichstag ; those elected were called "" les députés protestataires "" , and until 1890년 비스마르크의 몰락 , they were the only deputies elected by the Alsatians to the German parliament demanding the return of those territories to France .",the fall of Bismarck in 1890,1890년 비스마르크의 몰락,1
204,What did the court determine was the fate for Maclean after shooting the Queen ?,What did 법정 determine was the fate for Maclean after shooting the Queen ?,the court,법정,"On 2 March 1882 , Roderick Maclean , a disgruntled poet apparently offended by Victoria ' s refusal to accept one of his poems , shot at the Queen as her carriage left Windsor railway station .","On 2 March 1882 , 빅토리아가 자신의 시 중 하나를 받아들이기를 거부하자 분명히 기분이 상한 불만을 품은 시인 로드릭 맥클린(Roderick Maclean)은 shot at the Queen as her carriage left Windsor railway station .","Roderick Maclean , a disgruntled poet apparently offended by Victoria ' s refusal to accept one of his poems ,",빅토리아가 자신의 시 중 하나를 받아들이기를 거부하자 분명히 기분이 상한 불만을 품은 시인 로드릭 맥클린(Roderick Maclean)은,1
