,sentence,cross,source_np0,target_np0,label
170,"her pure fantasy character , melanie carmichael , with a massive infusion of old - fashioned hollywood magic","그녀의 순수한 판타지 캐릭터 멜라니 카마이클, with a massive infusion of old - fashioned hollywood magic","her pure fantasy character , melanie carmichael ,","그녀의 순수한 판타지 캐릭터 멜라니 카마이클,",1
171,the teen - exploitation playbook,십대 - exploitation playbook,the teen,십대,0
172,"' d probably turn it off , convinced that you had already seen that movie","' d probably turn it off , convinced that you had already seen 그 영화",that movie,그 영화,0
173,just seem like a bad idea from frame one,just seem like 프레임 1의 나쁜 생각,a bad idea from frame one,프레임 1의 나쁜 생각,0
174,in clichés and mawkish dialogue,in 클리셰와 어색한 대화,clichés and mawkish dialogue,클리셰와 어색한 대화,0
175,a journey that is as difficult for the audience to take as it is for the protagonist - - yet it ' s potentially just as rewarding,a journey that is as difficult for 관객 to take as it is for the protagonist - - yet it ' s potentially just as rewarding,the audience,관객,1
176,as a reverie about memory and regret,as 기억과 후회에 대한 환상,a reverie about memory and regret,기억과 후회에 대한 환상,1
177,a striking new significance for anyone,놀라운 새로운 의미 for anyone,a striking new significance,놀라운 새로운 의미,1
178,a real audience - pleaser,진정한 청중 - pleaser,a real audience,진정한 청중,1
179,the movie ' s major and most devastating flaw,영화 major and most devastating flaw,the movie ' s,영화,0
180,"full of detail about the man and his country , and is well worth seeing .","full of detail about 그 남자와 그의 나라 , and is well worth seeing .",the man and his country,그 남자와 그의 나라,1
181,"the three leads produce adequate performances ,","세 개의 리드 produce adequate performances ,",the three leads,세 개의 리드,1
182,it may be because teens are looking for something to make them laugh .,it may be because teens are looking for 그들을 웃게 만드는 무언가 .,something to make them laugh,그들을 웃게 만드는 무언가,1
183,certainly does the trick of making us care about its protagonist and celebrate his victories,certainly does 속임수 of making us care about its protagonist and celebrate his victories,the trick,속임수,1
184,honestly address the flaws inherent in how medical aid is made available to american workers,honestly address 미국 근로자에게 의료 지원이 제공되는 방식에 내재된 결함,the flaws inherent in how medical aid is made available to american workers,미국 근로자에게 의료 지원이 제공되는 방식에 내재된 결함,1
185,"i just saw this movie . . . well , it ' s probably not accurate to call it a movie","i just saw 이 영화 . . . well , it ' s probably not accurate to call it a movie",this movie,이 영화,0
186,"that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success","that it can only encourage us to see 사미라 마흐말바프 as a very distinctive sensibility , working to develop her own film language with conspicuous success",samira makhmalbaf,사미라 마흐말바프,1
187,bad animation and,나쁜 애니메이션 and,bad animation,나쁜 애니메이션,0
188,one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here,one gets 역사적 진실과 사실주의를 무시하는 전형적인 헐리우드의 느낌이 여기에 작용하고 있습니다,the feeling that the typical hollywood disregard for historical truth and realism is at work here,역사적 진실과 사실주의를 무시하는 전형적인 헐리우드의 느낌이 여기에 작용하고 있습니다,0
189,"it ' s the type of film about growing up that we do n ' t see often enough these days : realistic , urgent","it ' s 요즘 우리가 자주 볼 수 없는 성장에 관한 영화의 유형: 현실적 , 긴급성","the type of film about growing up that we do n ' t see often enough these days : realistic , urgent","요즘 우리가 자주 볼 수 없는 성장에 관한 영화의 유형: 현실적 , 긴급성",1
190,"formulaic , its plot and pacing typical hollywood war - movie stuff","formulaic , 그것의 줄거리 and pacing typical hollywood war - movie stuff",its plot,그것의 줄거리,0
191,the lady and the duke surprisingly manages never to grow boring . . . which proves that rohmer still has a sense of his audience .,숙녀와 공작 surprisingly manages never to grow boring . . . which proves that rohmer still has a sense of his audience .,the lady and the duke,숙녀와 공작,1
192,like a human volcano or an overflowing septic tank,like 인간 화산 또는 넘쳐나는 정화조,a human volcano or an overflowing septic tank,인간 화산 또는 넘쳐나는 정화조,0
193,"lack contrast , are murky","대비 부족 , are murky",lack contrast,대비 부족,0
194,"are all in the performances , from foreman ' s barking - mad taylor to thewlis ' s smoothly sinister freddie and bettany / mcdowell ' s hard - eyed gangster","are all in the performances , from 감독의 barking - mad taylor to thewlis ' s smoothly sinister freddie and bettany / mcdowell ' s hard - eyed gangster",foreman ' s,감독의,1
195,transforms one of ( shakespeare ' s ) deepest tragedies into a smart new comedy,transforms (셰익스피어의) 가장 깊은 비극 중 하나 into a smart new comedy,one of ( shakespeare ' s ) deepest tragedies,(셰익스피어의) 가장 깊은 비극 중 하나,1
196,"no charm , no laughs","매력 없음 , no laughs",no charm,매력 없음,0
197,though the story . . . is hackneyed,though 이야기 . . . is hackneyed,the story,이야기,0
198,you ' ve missed the first half - dozen episodes and probably,you ' ve missed 전반 - 다스 에피소드 and probably,the first half - dozen episodes,전반 - 다스 에피소드,0
199,"he does n ' t unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car","he does n ' t unveil it until the end , after 마지 못해 증인을 휘젓고 렌터카의 얼룩진 앞 유리를 통해 카메라를 가리키는 끝없는 장면",endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car,마지 못해 증인을 휘젓고 렌터카의 얼룩진 앞 유리를 통해 카메라를 가리키는 끝없는 장면,1
200,otto - sallies has a real filmmaker ' s eye .,오토 - 샐리 has a real filmmaker ' s eye .,otto - sallies,오토 - 샐리,1
201,", crush goes to absurd lengths to duck the very issues it raises .",", crush goes to 터무니없는 길이 to duck the very issues it raises .",absurd lengths,터무니없는 길이,0
202,"loved the people onscreen , even though i could not stand them .","loved 사람들 onscreen , even though i could not stand them .",the people,사람들,1
203,makes the journey feel like a party,makes 여행 feel like a party,the journey,여행,1
204,make you feel guilty about ignoring what the filmmakers clearly believe,make you feel guilty about ignoring what 영화 제작자 clearly believe,the filmmakers,영화 제작자,0
205,needs more filmmakers with passionate enthusiasms like martin scorsese,needs 더 많은 영화 제작자 with passionate enthusiasms like martin scorsese,more filmmakers,더 많은 영화 제작자,1
206,there is no substitute for on - screen chemistry,there is 대체품 없음 for on - screen chemistry,no substitute,대체품 없음,1
207,"director paul cox ' s unorthodox , abstract approach","감독 폴 콕스 unorthodox , abstract approach",director paul cox ' s,감독 폴 콕스,1
208,"this charming , thought - provoking new york fest of life and love",이 매력적인 생각 - provoking new york fest of life and love,"this charming , thought",이 매력적인 생각,1
209,a polished and vastly entertaining caper film that puts the sting back into the con,세련되고 매우 재미있는 케이퍼 영화 that puts the sting back into the con,a polished and vastly entertaining caper film,세련되고 매우 재미있는 케이퍼 영화,1
210,the one - liners are snappy,하나 - 라이너 are snappy,the one - liners,하나 - 라이너,1
211,been this disappointed by a movie in a long time,been this disappointed by a movie in 오랜 시간,a long time,오랜 시간,0
212,"you ' ll be wistful for the testosterone - charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal - mart budget .","you ' ll be wistful for 테스토스테론 - charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal - mart budget .",the testosterone,테스토스테론,0
213,steven soderbergh ' s space opera emerges as a numbingly dull experience .,스티븐 소더버그의 스페이스 오페라 emerges as a numbingly dull experience .,steven soderbergh ' s space opera,스티븐 소더버그의 스페이스 오페라,0
214,abandon their scripts and go where the moment takes them,abandon 그들의 스크립트 and go where the moment takes them,their scripts,그들의 스크립트,0
215,ozpetek avoids most of the pitfalls you ' d expect in such a potentially sudsy set - up,ozpetek avoids 잠재적으로 비눗물 설정에서 예상되는 대부분의 함정,most of the pitfalls you ' d expect in such a potentially sudsy set - up,잠재적으로 비눗물 설정에서 예상되는 대부분의 함정,1
216,pulling the plug on the conspirators and averting an american - russian armageddon,pulling 플러그 on the conspirators and averting an american - russian armageddon,the plug,플러그,1
217,hole - ridden plotting,hole - 타고난 음모,ridden plotting,타고난 음모,0
218,"bill plympton , the animation master","빌 플림튼 , the animation master",bill plympton,빌 플림튼,1
219,"there ' s not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff","there ' s not 충분한 물질 here to sustain interest for the full 90 minutes , especially with the weak payoff",enough substance,충분한 물질,0
220,get a sense of good intentions derailed by a failure to seek and strike just the right tone .,get 올바른 어조를 찾고 타격하지 못하여 탈선한 좋은 의도의 감각 .,a sense of good intentions derailed by a failure to seek and strike just the right tone,올바른 어조를 찾고 타격하지 못하여 탈선한 좋은 의도의 감각,0
221,the sweetest thing is expressly for idiots who do n ' t care what kind of sewage they shovel into their mental gullets to simulate sustenance .,가장 달콤한 것 is expressly for idiots who do n ' t care what kind of sewage they shovel into their mental gullets to simulate sustenance .,the sweetest thing,가장 달콤한 것,0
222,eerily convincing as this bland blank of a man with unimaginable demons,eerily convincing as 상상할 수 없는 악마를 가진 남자의 이 밋밋한 공백,this bland blank of a man with unimaginable demons,상상할 수 없는 악마를 가진 남자의 이 밋밋한 공백,0
223,"stoner midnight flick , sci - fi deconstruction","스토너 자정 영화 , sci - fi deconstruction",stoner midnight flick,스토너 자정 영화,0
224,puts enough salt into the wounds of the tortured and self - conscious material to make it sting,puts 충분한 소금 into the wounds of the tortured and self - conscious material to make it sting,enough salt,충분한 소금,0
225,"by pretentious , untalented artistes who enjoy moaning about their cruel fate",by 가식적이고 재능 없는 예술가들 who enjoy moaning about their cruel fate,"pretentious , untalented artistes",가식적이고 재능 없는 예술가들,0
226,an impressive roster of stars and direction from kathryn bigelow,인상적인 명단 of stars and direction from kathryn bigelow,an impressive roster,인상적인 명단,1
227,"it ' s shot on digital video , whose tiny camera enables shafer to navigate spaces both large . . . and small . . . with considerable aplomb","it ' s shot on 디지털 비디오 , whose tiny camera enables shafer to navigate spaces both large . . . and small . . . with considerable aplomb",digital video,디지털 비디오,1
228,is entertainment opportunism at its most glaring .,is 가장 눈에 띄는 엔터테인먼트 기회주의 .,entertainment opportunism at its most glaring,가장 눈에 띄는 엔터테인먼트 기회주의,0
229,"as looking , sounding and simply feeling like no other film in recent history","as looking , sounding and simply feeling like 최근 역사에 다른 영화는 없습니다",no other film in recent history,최근 역사에 다른 영화는 없습니다,1
230,sweet - and - sour insider movie that film buffs will eat up like so much gelati,sweet - and - 사워 내부자 영화 that film buffs will eat up like so much gelati,sour insider movie,사워 내부자 영화,1
231,the best script that besson has written in years .,최고의 스크립트 that besson has written in years .,the best script,최고의 스크립트,1
232,becomes a bit of a mishmash,becomes 약간의 엉망진창,a bit of a mishmash,약간의 엉망진창,0
233,is about as deep as that sentiment,is about as deep as 그 감정,that sentiment,그 감정,0
234,is one of the rarest kinds of films : a family - oriented non - disney film that is actually funny without hitting below the belt,"is 가장 희귀한 종류의 영화 중 하나: 가족 중심의 비 디즈니 영화로, 실제로는 재미도 있지만 허술하지도 않습니다",one of the rarest kinds of films : a family - oriented non - disney film that is actually funny without hitting below the belt,"가장 희귀한 종류의 영화 중 하나: 가족 중심의 비 디즈니 영화로, 실제로는 재미도 있지만 허술하지도 않습니다",1
235,an artsploitation movie with too much exploitation and too little art .,예술을 이용한 영화 with too much exploitation and too little art .,an artsploitation movie,예술을 이용한 영화,0
236,an erotic thriller that,에로틱 스릴러 that,an erotic thriller,에로틱 스릴러,1
237,"miyazaki ' s nonstop images are so stunning ,","미야자키 논스톱 이미지 are so stunning ,",miyazaki ' s nonstop images,미야자키 논스톱 이미지,1
238,keep from laughing at the ridiculous dialog or the oh - so convenient plot twists,keep from laughing at 우스꽝스러운 대화 or the oh - so convenient plot twists,the ridiculous dialog,우스꽝스러운 대화,0
239,` just letting the mountain tell you what to do,` just letting 산 tell you what to do,the mountain,산,1
240,becomes more and more frustrating as the film goes on,becomes more and more frustrating as 영화 goes on,the film,영화,0
241,' m not sure which will take longer to heal : the welt on johnny knoxville ' s stomach from a riot - control projectile or my own tortured psyche .,' m not sure which will take longer to heal : 폭동으로 인한 조니 녹스빌의 뱃속의 웰트 - 제어 발사체 또는 내 자신의 고문 정신 .,the welt on johnny knoxville ' s stomach from a riot - control projectile or my own tortured psyche,폭동으로 인한 조니 녹스빌의 뱃속의 웰트 - 제어 발사체 또는 내 자신의 고문 정신,0
242,a matter of plumbing arrangements and mind games,a matter of 배관 준비 및 심리 게임,plumbing arrangements and mind games,배관 준비 및 심리 게임,0
243,a fascinating literary mystery story with multiple strands about the controversy of who really wrote shakespeare ' s plays .,매혹적인 문학 미스터리 이야기 with multiple strands about the controversy of who really wrote shakespeare ' s plays .,a fascinating literary mystery story,매혹적인 문학 미스터리 이야기,1
244,", repetitively stretched out to feature length , awash in self - consciously flashy camera effects , droning house music and flat , flat dialogue .",", repetitively stretched out to feature length , awash in self - 의식적으로 화려한 카메라 효과, 단조로운 하우스 음악 및 단조롭고 단조로운 대화 .","consciously flashy camera effects , droning house music and flat , flat dialogue","의식적으로 화려한 카메라 효과, 단조로운 하우스 음악 및 단조롭고 단조로운 대화",0
245,with so many distracting special effects and visual party tricks,with 주의를 산만하게 하는 특수 효과와 비주얼 파티 트릭이 너무 많습니다,so many distracting special effects and visual party tricks,주의를 산만하게 하는 특수 효과와 비주얼 파티 트릭이 너무 많습니다,0
246,sugary sentiment and withholds delivery,달콤한 감정 and withholds delivery,sugary sentiment,달콤한 감정,0
247,", guts and crazy beasts stalking men with guns though . . . you will likely enjoy this monster .",", guts and 미친 짐승 stalking men with guns though . . . you will likely enjoy this monster .",crazy beasts,미친 짐승,1
248,holds the screen like a true star .,holds 화면 like a true star .,the screen,화면,1
249,it squanders chan ' s uniqueness ; it could even be said to squander jennifer love hewitt !,it squanders 짱의 독창성 ; it could even be said to squander jennifer love hewitt !,chan ' s uniqueness,짱의 독창성,0
250,"a gratingly unfunny groaner littered with zero - dimensional , unlikable characters and hackneyed , threadbare comic setups .","유쾌하지 않은 신음 소리 littered with zero - dimensional , unlikable characters and hackneyed , threadbare comic setups .",a gratingly unfunny groaner,유쾌하지 않은 신음 소리,0
251,ends up as tedious as the chatter of parrots raised on oprah,ends up as tedious as 오프라호주에서 키운 앵무새의 잡담,the chatter of parrots raised on oprah,오프라호주에서 키운 앵무새의 잡담,0
252,"a sweet , tender sermon about a 12 - year - old welsh boy more curious about god",달콤하고 부드러운 설교 about a 12 - year - old welsh boy more curious about god,"a sweet , tender sermon",달콤하고 부드러운 설교,1
253,"elegant , witty and beneath a prim exterior","elegant , witty and beneath 첫 외관부터",a prim exterior,첫 외관부터,1
254,bug - eye theater and dead - eye,bug - 눈 극장과 죽은 - eye,eye theater and dead,눈 극장과 죽은,0
255,off the path of good sense,off 선의의 길,the path of good sense,선의의 길,0
256,to scoring high for originality of plot,to scoring high for 줄거리의 독창성,originality of plot,줄거리의 독창성,1
257,about the only thing to give the movie points for is bravado - - to take an entirely stale concept and push it through the audience ' s meat grinder one more time .,영화 포인트를 줄 수 있는 유일한 것에 대해 is bravado - - to take an entirely stale concept and push it through the audience ' s meat grinder one more time .,about the only thing to give the movie points for,영화 포인트를 줄 수 있는 유일한 것에 대해,0
258,plays like a student film by two guys who desperately want to be quentin tarantino when they grow up .,plays like 커서 쿠엔틴 타란티노가 되고 싶은 두 남자의 학생 영화 .,a student film by two guys who desperately want to be quentin tarantino when they grow up,커서 쿠엔틴 타란티노가 되고 싶은 두 남자의 학생 영화,0
259,' ll still have a good time . ' ',' ll still have 좋은 시간 . ' ',a good time,좋은 시간,1
260,a rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd .,희귀하고 가볍게 재미있는 모습 behind the curtain that separates comics from the people laughing in the crowd .,a rare and lightly entertaining look,희귀하고 가볍게 재미있는 모습,1
261,a huge disappointment coming,엄청난 실망 coming,a huge disappointment,엄청난 실망,0
262,offers a desperately ingratiating performance .,offers 필사적으로 환호하는 성능 .,a desperately ingratiating performance,필사적으로 환호하는 성능,1
263,is a pretty decent little documentary,is 꽤 괜찮은 작은 다큐멘터리,a pretty decent little documentary,꽤 괜찮은 작은 다큐멘터리,1
264,soulless techno - tripe,영혼없는 테크노 - tripe,soulless techno,영혼없는 테크노,0
265,the cultural moat surrounding its ludicrous and contrived plot,문화적 해자 surrounding its ludicrous and contrived plot,the cultural moat,문화적 해자,0
266,after the clever credits roll,after 영리한 크레딧 롤,the clever credits roll,영리한 크레딧 롤,1
267,sound like it was co - written by mattel executives and lobbyists for the tinsel industry,sound like it was co - written by 반짝이 산업의 Mattel 경영진 및 로비스트,mattel executives and lobbyists for the tinsel industry,반짝이 산업의 Mattel 경영진 및 로비스트,0
268,the drama discloses almost nothing .,드라마 discloses almost nothing .,the drama,드라마,0
269,you - are - there immediacy,you - are - 즉시,there immediacy,즉시,1
270,in a fresh way,in 신선한 방법,a fresh way,신선한 방법,1
271,is high on squaddie banter,is high on 분대의 농담,squaddie banter,분대의 농담,0
272,but they fascinate in their recklessness .,but they fascinate in 그들의 무모함 .,their recklessness,그들의 무모함,1
273,exposes the limitations of his skill and the basic flaws in his vision,exposes 그의 기술의 한계와 그의 비전의 기본적인 결함,the limitations of his skill and the basic flaws in his vision,그의 기술의 한계와 그의 비전의 기본적인 결함,0
274,apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note,apart by forming 긍정적인(비극적인 경우) 메모로 끝나는 관계의 사슬,a chain of relationships that come full circle to end on a positive ( if tragic ) note,긍정적인(비극적인 경우) 메모로 끝나는 관계의 사슬,1
275,robinson ' s web of suspense,로빈슨의 거미줄 of suspense,robinson ' s web,로빈슨의 거미줄,1
276,be a breakthrough in filmmaking,be 영화 제작의 돌파구,a breakthrough in filmmaking,영화 제작의 돌파구,1
277,", his little changes ring hollow",", 그의 작은 변화 ring hollow",his little changes,그의 작은 변화,0
278,a one - of - a - kind tour de force,a one - of - a - 힘의 위업,kind tour de force,힘의 위업,1
279,"it ' s not nearly as fresh or enjoyable as its predecessor , but","it ' s not nearly as fresh or enjoyable as 그것의 전임자 , but",its predecessor,그것의 전임자,0
280,neatly and effectively captures the debilitating grief,neatly and effectively captures 쇠약해지는 슬픔,the debilitating grief,쇠약해지는 슬픔,1
281,' s fun for kids of any age,' 재미 for kids of any age,s fun,재미,1
282,"nicolas cage is n ' t the first actor to lead a group of talented friends astray , and","니콜라스 케이지 is n ' t the first actor to lead a group of talented friends astray , and",nicolas cage,니콜라스 케이지,0
283,is that there ' s a casual intelligence that permeates the script,is that there ' s 대본에 스며드는 우연한 지능,a casual intelligence that permeates the script,대본에 스며드는 우연한 지능,1
284,uses the huge - screen format to make an old - fashioned nature film that educates viewers with words and pictures while entertaining them .,uses 말과 그림으로 시청자를 교육하고 즐겁게 해주는 구식 자연 영화를 만들기 위한 거대한 화면 형식 .,the huge - screen format to make an old - fashioned nature film that educates viewers with words and pictures while entertaining them,말과 그림으로 시청자를 교육하고 즐겁게 해주는 구식 자연 영화를 만들기 위한 거대한 화면 형식,1
285,bringing you right inside the massive waves that lifts blue crush into one of the summer ' s most pleasurable movies,bringing you right inside 블루 크러시를 여름의 가장 즐거운 영화 중 하나로 끌어올리는 거대한 파도,the massive waves that lifts blue crush into one of the summer ' s most pleasurable movies,블루 크러시를 여름의 가장 즐거운 영화 중 하나로 끌어올리는 거대한 파도,1
286,"winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high - concept films candy - coat with pat storylines , precious circumstances and beautiful stars","winds up being both revelatory and narcissistic , achieving 대부분의 하이 컨셉 영화가 캔디 코트를 입히는 관계에 대한 정직한 통찰력, 소중한 상황 및 아름다운 별","some honest insight into relationships that most high - concept films candy - coat with pat storylines , precious circumstances and beautiful stars","대부분의 하이 컨셉 영화가 캔디 코트를 입히는 관계에 대한 정직한 통찰력, 소중한 상황 및 아름다운 별",1
287,"sneaks up on the viewer , providing an experience that is richer than anticipated","sneaks up on 뷰어 , providing an experience that is richer than anticipated",the viewer,뷰어,1
288,"is a goofball movie , in the way that malkovich was","is 멍청한 영화 , in the way that malkovich was",a goofball movie,멍청한 영화,1
289,the film is doing something of a public service - - shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .,영화 is doing something of a public service - - shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .,the film,영화,1
290,a group of more self - absorbed women than the mother and daughters featured in this film,a group of 더 많은 자기 흡수 여성 than the mother and daughters featured in this film,more self - absorbed women,더 많은 자기 흡수 여성,0
291,is by far the worst movie of the year,is by far 올해 최악의 영화,the worst movie of the year,올해 최악의 영화,0
292,"even as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators","even as it pays earnest homage to turntablists and beat jugglers , 구식 and current innovators",old schoolers,구식,1
293,you ' re likely to see all year .,you ' re likely to see 일년 내내 .,all year,일년 내내,1
294,a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing,a bit like getting all excited about a chocolate eclair and then biting into it and finding 충전 누락,the filling missing,충전 누락,0
295,"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .","이 여왕을 완전히 현대적인 처녀로 만드는 문제 is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",the trouble with making this queen a thoroughly modern maiden,이 여왕을 완전히 현대적인 처녀로 만드는 문제,0
296,"feels contrived , as if the filmmakers were worried the story would n ' t work without all those gimmicks","feels contrived , as if 영화 제작자 were worried the story would n ' t work without all those gimmicks",the filmmakers,영화 제작자,0
297,"into a poem of art , music and metaphor","into 예술, 음악 및 은유의 시","a poem of art , music and metaphor","예술, 음악 및 은유의 시",1
298,the proud warrior that still lingers in the souls of these characters,자랑스러운 전사 that still lingers in the souls of these characters,the proud warrior,자랑스러운 전사,1
299,"it ' s a treat - - a delightful , witty , improbable romantic comedy with a zippy jazzy score . . . grant and bullock make it look as though they are having so much fun .",it ' s 대접 - 활기차고 재치 있고 기발한 재즈 점수가있는 유쾌하고 재치 있고 불가능한 로맨틱 코미디    그랜트와 불록은 마치 그들이 너무 재미있어하는 것처럼 보이게 합니다 .,"a treat - - a delightful , witty , improbable romantic comedy with a zippy jazzy score . . . grant and bullock make it look as though they are having so much fun",대접 - 활기차고 재치 있고 기발한 재즈 점수가있는 유쾌하고 재치 있고 불가능한 로맨틱 코미디    그랜트와 불록은 마치 그들이 너무 재미있어하는 것처럼 보이게 합니다,1
300,the film ' s needlessly opaque intro,영화 needlessly opaque intro,the film ' s,영화,0
301,"i can imagine this movie as a b & w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless","i can imagine 이 영화 as a b & w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless",this movie,이 영화,0
302,"is a lumbering , wheezy drag",is 느릿느릿하고 쌕쌕거리는 끌림,"a lumbering , wheezy drag",느릿느릿하고 쌕쌕거리는 끌림,0
303,with adventure and a worthwhile environmental message,with 모험과 가치 있는 환경 메시지,adventure and a worthwhile environmental message,모험과 가치 있는 환경 메시지,1
304,be relegated to a dark video store corner,be relegated to 어두운 비디오 가게 코너,a dark video store corner,어두운 비디오 가게 코너,0
305,"its and pieces of the hot chick are so hilarious , and schneider ' s performance is so fine","그와 뜨거운 병아리의 조각 are so hilarious , and schneider ' s performance is so fine",its and pieces of the hot chick,그와 뜨거운 병아리의 조각,1
306,but film buffs should get to know,but 영화광 should get to know,film buffs,영화광,1
307,who deserve more from a vampire pic than a few shrieky special effects,who deserve more from a vampire pic than 몇 가지 비명을 지르는 특수 효과,a few shrieky special effects,몇 가지 비명을 지르는 특수 효과,0
308,it is an unstinting look at a collaboration between damaged people that may or may not qual,it is 자격이 있을 수도 있고 없을 수도 있는 손상된 사람들 간의 협력에 대한 아낌없는 시선,an unstinting look at a collaboration between damaged people that may or may not qual,자격이 있을 수도 있고 없을 수도 있는 손상된 사람들 간의 협력에 대한 아낌없는 시선,1
309,' ll feel as the credits roll,' ll feel as 크레딧 roll,the credits,크레딧,1
310,sit and stare and turn away from one another instead of talking and,sit and stare and turn away from 서로 instead of talking and,one another,서로,0
311,"benevolent deception , which , while it may not rival the filmmaker ' s period pieces , is still very much worth seeing","자비로운 속임수 , which , while it may not rival the filmmaker ' s period pieces , is still very much worth seeing",benevolent deception,자비로운 속임수,1
312,"what a dumb , fun , curiously adolescent movie this","what 바보 같은 , 재미있는 , 호기심 청소년 영화 이","a dumb , fun , curiously adolescent movie this","바보 같은 , 재미있는 , 호기심 청소년 영화 이",1
313,"viewers do n ' t have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern - day comedies","viewers do n ' t have to worry about being subjected to 방귀, 소변, 배설물, 정액 또는 현대 코미디를 압도하는 기타 더러운 물질","farts , urine , feces , semen , or any of the other foul substances that have overrun modern - day comedies","방귀, 소변, 배설물, 정액 또는 현대 코미디를 압도하는 기타 더러운 물질",1
314,"the fun of the movie is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad .","영화의 재미 is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad .",the fun of the movie,영화의 재미,1
315,emphasizes every line and sag,emphasizes 모든 라인과 처짐,every line and sag,모든 라인과 처짐,0
316,bring you into the characters,bring you into 캐릭터,the characters,캐릭터,1
317,"sexual jealousy , resentment and the fine","성적 질투 , resentment and the fine",sexual jealousy,성적 질투,1
318,"something , one that attempts and often achieves a level of connection and concern","something , 연결 및 관심 수준을 시도하고 종종 달성하는 것",one that attempts and often achieves a level of connection and concern,연결 및 관심 수준을 시도하고 종종 달성하는 것,1
319,", the worst of tragedies can be fertile sources of humor",", 최악의 비극 can be fertile sources of humor",the worst of tragedies,최악의 비극,1
320,weaving themes among three strands which allow us to view events as if through a prism,weaving themes among 프리즘을 통해 사건을 볼 수 있게 해주는 세 가닥,three strands which allow us to view events as if through a prism,프리즘을 통해 사건을 볼 수 있게 해주는 세 가닥,1
321,"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip - non - synching , but otherwise the production is suitably elegant .","audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip - non - synching , but otherwise 생산 is suitably elegant .",the production,생산,1
322,"if festival in cannes nails hard - boiled hollywood argot with a bracingly nasty accuracy , much about the film , including some of its casting , is frustratingly unconvincing .","if 칸의 축제 nails hard - boiled hollywood argot with a bracingly nasty accuracy , much about the film , including some of its casting , is frustratingly unconvincing .",festival in cannes,칸의 축제,0
323,"by no means a great movie , but it is a refreshingly forthright one .","by 좋은 영화를 의미하지 않는다 , but it is a refreshingly forthright one .",no means a great movie,좋은 영화를 의미하지 않는다,1
324,"bartleby is a fine , understated piece of filmmaking .",bartleby is 훌륭하고 절제된 영화 제작 .,"a fine , understated piece of filmmaking",훌륭하고 절제된 영화 제작,1
325,in mr . spielberg ' s 1993 classic,in 씨  스필버그 1993 classic,mr . spielberg ' s,씨  스필버그,1
326,all the scenic appeal of a cesspool,모든 경치 매력 of a cesspool,all the scenic appeal,모든 경치 매력,0
327,of his spiritual survival,of 그의 영적 생존,his spiritual survival,그의 영적 생존,1
328,has a customarily jovial air but a deficit of flim - flam inventiveness .,has 관습적으로 유쾌한 분위기지만 허약함 - 맹렬한 독창성 .,a customarily jovial air but a deficit of flim - flam inventiveness,관습적으로 유쾌한 분위기지만 허약함 - 맹렬한 독창성,0
329,succeeds as a powerful look at a failure of our justice system .,succeeds as 우리 사법 제도의 실패에 대한 강력한 시각 .,a powerful look at a failure of our justice system,우리 사법 제도의 실패에 대한 강력한 시각,1
330,"seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device","seems embarrassed by 자신의 발명품 and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device",his own invention,자신의 발명품,0
331,' s an adventure story and history lesson all in one .,' s 모험 이야기 and history lesson all in one .,an adventure story,모험 이야기,1
332,i have always appreciated a smartly written motion picture,i have always appreciated 똑똑하게 쓰여진 영화,a smartly written motion picture,똑똑하게 쓰여진 영화,1
333,the extent to which it succeeds is impressive .,성공하는 정도 is impressive .,the extent to which it succeeds,성공하는 정도,1
334,the worst elements of all of them,최악의 요소 of all of them,the worst elements,최악의 요소,0
