,sentence,source_np0,label
357,"it ' s a beautiful film , full of elaborate and twisted characters","a beautiful film , full of elaborate and twisted characters",1
358,"in its own floundering way , it gets to you .",its own floundering way,1
359,"if you are curious to see the darker side of what ' s going on with young tv actors ( dawson leery did what ? ! ? ) , or see some interesting storytelling devices , you might want to check it out , but there ' s nothing very attractive about this movie",nothing very attractive about this movie,0
360,jackass is a vulgar and cheap - looking version of candid camera staged for the marquis de sade set,a vulgar and cheap - looking version of candid camera staged for the marquis de sade set,0
361,show us a good time,a good time,1
362,fights the good fight in vietnam in director randall wallace ' s flag - waving war flick with a core of decency .,the good fight in vietnam,1
363,enhances the personal touch of manual animation .,the personal touch of manual animation,1
364,overwhelmed by its lack of purpose,its lack of purpose,0
365,"as the latest bid in the tv - to - movie franchise game , i spy makes its big - screen entry with little of the nervy originality of its groundbreaking small - screen progenitor .",the latest bid in the tv - to - movie franchise game,0
366,"even if it is generally amusing from time to time , i spy has all the same problems the majority of action comedies have .",i spy,0
367,great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium - seat megaplex,great fun,1
368,", the update is dreary and sluggish .",the update,0
369,"the compassion , good - natured humor and the level of insight that made ( eyre ' s ) first film something of a sleeper success","the compassion , good - natured humor",1
370,"to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving",surprising highs,1
371,"is the performance of gedeck , who makes martha enormously endearing","the performance of gedeck , who makes martha enormously endearing",1
372,it lacks the novel charm that made spy kids a surprising winner with both adults and younger audiences,the novel charm that made spy kids a surprising winner with both adults and younger audiences,0
373,the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama,the film,1
374,suck the audience in,the audience,1
375,"a lovely film . . . elegant , witty and beneath a prim exterior unabashedly romantic . . . hugely enjoyable in its own right though not really faithful to its source ' s complexity",a prim exterior,1
376,"is such high - wattage brainpower coupled with pitch - perfect acting and an exquisite , unfakable sense of cinema","such high - wattage brainpower coupled with pitch - perfect acting and an exquisite , unfakable sense of cinema",1
377,to call the other side of heaven ` ` appalling ' ' would be to underestimate just how dangerous entertainments like it can be .,the other side of heaven ` ` appalling ' ',0
378,to the floor with a sickening thud,the floor,0
379,carry on their parents ' anguish,their parents ' anguish,0
380,a captivating coming - of - age story that may also be the first narrative film to be truly informed by the wireless,- age story,1
381,go the distance,the distance,1
382,breaking new ground,new ground,1
383,an uneasy mix of sensual delights and simmering violence,an uneasy mix,1
384,"the actors are simply too good , and the story too intriguing",the actors,1
385,like a docu - drama but builds its multi - character story with a flourish,its multi - character story,1
386,the ease with which it integrates thoughtfulness and pasta - fagioli comedy,the ease,1
387,", fine music never heard",fine music,1
388,smaller numbered kidlets will enjoy .,smaller numbered kidlets,1
389,"a chilly , brooding but quietly resonant psychological study of domestic tension and unhappiness","a chilly , brooding but quietly resonant psychological study",1
390,standard guns versus martial arts cliche with little new added .,standard guns versus martial arts cliche,0
391,will have an intermittently good time .,an intermittently good time,1
392,the awe in which it holds itself,the awe,1
393,"' s a pedestrian , flat drama that screams out ` amateur ' in almost every frame","a pedestrian , flat drama that screams out ` amateur ' in almost every frame",0
394,"nothing compared to the movie ' s contrived , lame screenplay and listless direction","the movie ' s contrived , lame screenplay and listless direction",0
395,offering next to little insight into its intriguing subject,next to little insight,0
396,' s not a comedic moment in this romantic comedy,a comedic moment,0
397,"armed with a game supporting cast ,",a game supporting cast,1
398,kapur ' s contradictory feelings about his material result in a movie that works against itself .,kapur ' s contradictory feelings about his material,0
399,blue crush is as predictable as the tides .,blue crush,0
400,"the most plain , unimaginative romantic comedies i","the most plain , unimaginative romantic comedies",0
401,"satisfies , as comfort food often can",comfort food often can,1
402,none - too - funny commentary on the cultural distinctions between americans and brits,funny commentary on the cultural distinctions between americans and brits,0
403,"eludes madonna and , playing a charmless witch",a charmless witch,1
404,"one of these days hollywood will come up with an original idea for a teen movie ,",one of these days,0
405,", is a note of defiance over social dictates .",a note of defiance over social dictates,1
406,the attention process tends to do a little fleeing of its own .,the attention process,0
407,as awful as some of the recent hollywood trip tripe,some of the recent hollywood trip tripe,0
408,in a bid to hold our attention,a bid to hold our attention,0
409,loneliness and desperate grandiosity,desperate grandiosity,0
410,"it would be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction",the film,0
411,tailor - made for those who when they were in high school would choose the cliff - notes over reading a full - length classic,tailor - made for those who when they were in high school,0
412,"one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject - - a teenage boy in love with his stepmother","the most appealing movies ever made about an otherwise appalling , and downright creepy , subject - - a teenage boy in love with his stepmother",1
413,"originality ai n ' t on the menu , but there ' s never a dull moment in the giant spider invasion comic chiller",a dull moment in the giant spider invasion comic chiller,1
414,that can calm us of our daily ills and bring out joys in our lives that we never knew,our daily ills,1
415,becomes a testament to faith,a testament to faith,1
416,can obscure this movie ' s lack of ideas .,this movie ' s lack of ideas,0
417,an even less capable trio of criminals,an even less capable trio,0
418,"the movie is hardly a masterpiece , but it does mark ms . bullock ' s best work in some time",the movie,1
419,seems like something american and european gay movies were doing 20 years ago .,something american and european gay movies were doing 20 years ago,0
420,of that special fishy community,that special fishy community,1
421,most of jaglom ' s self - conscious and gratingly irritating films,jaglom ' s self,0
422,like a bad soap opera,a bad soap opera,0
423,"more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find morrison ' s iconoclastic uses of technology to be liberating .","the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find morrison ' s iconoclastic uses of technology to be liberating",1
424,"as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances .",my world war ii memories,1
425,the variety of tones in spielberg ' s work,the variety,1
426,"plodding , poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo .",the picture,0
427,"the picture is constructed around a core of flimsy - - or , worse yet , nonexistent - - ideas",the picture,0
428,cause massive cardiac arrest,massive cardiac arrest,0
429,bespeaks an expiration date passed a long time ago,an expiration date passed a long time ago,0
430,"newcastle , the first half of gangster no . 1 drips with style",the first half of gangster no . 1 drips with style,1
431,lagging near the finish line,the finish line,0
432,"alternating between facetious comic parody and pulp melodrama , this smart - aleck movie . . . tosses around some intriguing questions about the difference between human and android life",this smart,1
433,shaped the story to show us why it ' s compelling,the story,1
434,are powerful and moving without stooping to base melodrama,base melodrama,1
435,ends or just ca n ' t tear himself away from the characters,the characters,1
436,"( danny huston gives ) an astounding performance that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent ' s smirk .",danny huston,1
437,"there may have been a good film in ` ` trouble every day , ' ' but it is not what is on the screen .",a good film,0
438,"i ' m not sure which half of dragonfly is worse : the part where nothing ' s happening , or the part where something ' s happening , but it ' s stupid .","the part where nothing ' s happening , or the part where something ' s happening , but it ' s stupid",0
439,"this movie may not have the highest production values you ' ve ever seen , but it ' s the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep",this movie,1
440,that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and / or restroom and not feel as if he or she has missed anything,the viewer,0
441,is sickly entertainment at best and mind - destroying cinematic pollution at worst,sickly entertainment,0
442,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87 - minute take .",the most hopelessly monotonous film of the year,0
443,exactly how genteel and unsurprising the execution turns out to be,the execution,0
444,"like many western action films , this thriller is too loud and thoroughly overbearing , but its heartfelt concern about north korea ' s recent past and south korea ' s future adds a much needed moral weight",this thriller,0
445,can take credit for most of the movie ' s success .,most of the movie ' s success,1
446,"in addition to the overcooked , ham - fisted direction , which has all the actors reaching for the back row","addition to the overcooked , ham - fisted direction , which has all the actors reaching for the back row",0
447,cho ' s latest comic set is n ' t as sharp or as fresh as i ' m the one that i want . . .,cho ' s latest comic set,0
448,", it suffers from the awkwardness that results from adhering to the messiness of true stories .",the awkwardness that results from adhering to the messiness of true stories,0
449,to accommodate to fit in and gain the unconditional love she seeks,the unconditional love she seeks,1
450,it ' s dark but has wonderfully funny moments,wonderfully funny moments,1
451,"though in some ways similar to catherine breillat ' s fat girl , rain is the far superior film .",the far superior film,1
452,"short - story quaint , touchingly mending a child ' s pain for his dead mother via communication with an old woman straight out of eudora welty",story quaint,1
453,of the most purely enjoyable and satisfying evenings at the movies i ' ve had in a while,the most purely enjoyable and satisfying evenings,1
454,an engrossing story about a horrifying historical event and,an engrossing story,1
455,makes two hours feel like four,two hours,0
456,say for plenty of movies,plenty of movies,1
457,"the aaa of action , xxx is a blast of adrenalin , rated eee for excitement .",the aaa of action,1
458,seagal is painfully foolish in trying to hold onto what ' s left of his passe ' chopsocky glory .,his passe ' chopsocky glory,0
459,"4 ever has the same sledgehammer appeal as pokemon videos , but",the same sledgehammer appeal as pokemon videos,1
460,halle berry does her best to keep up with him,halle berry,1
461,does an impressive job of relating the complicated history of the war and,an impressive job,1
462,is the best ` old neighborhood ' project since christopher walken kinda romanced cyndi lauper in the opportunists,the best ` old neighborhood ' project since christopher walken kinda romanced cyndi lauper in the opportunists,1
463,has all the sibling rivalry and general family chaos to which anyone can relate,all the sibling rivalry and general family chaos to which anyone can relate,1
464,is fontaine ' s willingness to wander into the dark areas of parent - child relationships without flinching .,fontaine ' s willingness to wander into the dark areas of parent - child relationships without flinching,1
465,necessary viewing for sci - fi fans,necessary viewing,1
466,"much of the lady and the duke is about quiet , decisive moments between members of the cultural elite as they determine how to proceed as the world implodes .",much of the lady and the duke,1
467,"may have made a great saturday night live sketch , but a great movie it is not",a great saturday night live sketch,0
468,is an in - your - face family drama and black comedy that is filled with raw emotions conveying despair and love,an in - your - face family drama and black comedy that is filled with raw emotions conveying despair and love,1
469,translate well to the screen,the screen,1
470,our culture is headed down the toilet with the ferocity of a frozen burrito after an all - night tequila bender - - and i know this because i ' ve seen ` jackass : the movie . ',our culture,0
471,low - tech magic realism,tech magic realism,0
472,become almost as operatic to us as they are to her characters,her characters,0
473,a well - intentioned effort that ' s still too burdened by the actor,intentioned effort,1
474,a wind - tunnel and a simply astounding cor - blimey - luv - a - duck cockney accent,a - duck cockney accent,1
475,` ` extreme ops ' ' exceeds expectations .,` ` extreme ops ' ',1
476,it ' s not just the vampires that are damned in queen of the damned,the vampires,0
477,"on tediously about their lives , loves and the art","their lives , loves and the art",0
478,the cast is spot on and the mood is laid back,the cast,1
479,as far as mainstream matinee - style entertainment goes,mainstream matinee - style entertainment,0
480,"perhaps it ' s cliche to call the film ` refreshing , '",the film,1
481,finds warmth in the coldest environment and,the coldest environment,1
482,"to seek our tears , our sympathies",our sympathies,1
483,it could have been a hoot in a bad - movie way if the laborious pacing and endless exposition had been tightened,a bad - movie way,0
484,win a wide summer audience through word - of - mouth reviews,a wide summer audience,1
485,"in showing us well - thought stunts or a car chase that we have n ' t seen 10 , 000 times","thought stunts or a car chase that we have n ' t seen 10 , 000 times",1
486,is just a corny examination of a young actress trying to find her way,just a corny examination of a young actress trying to find her way,0
487,"michael moore ' s bowling for columbine rekindles the muckraking , soul - searching spirit of the ` are we a sick society ? '",michael moore ' s bowling for columbine,1
488,it ' s a rock - solid little genre picture,solid little genre picture,1
489,"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film ' s creepy , clean - cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge .","a huge gap between the film ' s creepy , clean - cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge",0
490,", schaeffer ' s film never settles into the light - footed enchantment the material needs , and the characters ' quirks and foibles never jell into charm .",schaeffer ' s film,0
491,kills every sense of believability,every sense of believability,0
492,that he ' s spiffing up leftovers that are n ' t so substantial or fresh,he ' s,0
493,ultimately satisfies with its moving story,its moving story,1
494,"( carvey ' s ) characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark",( carvey ' s ) characters,0
495,"as a director , eastwood is off his game - - there ' s no real sense of suspense , and none of the plot ` surprises ' are really surprising",none of the plot ` surprises ',0
496,"the movie ' s conception of a future - world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized","the movie ' s conception of a future - world holographic librarian ( orlando jones ) who knows everything and answers all questions ,",1
497,inject some real vitality and even art,some real vitality and even art,1
498,appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0
499,makes its point too well,its point,1
