,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
113,"Crippa died a week ago at Santa Barbara Cottage Hospital , seven days after he ate a heaping plate of the deadly Amanita ocreata mushrooms , said his wife , Joan Crippa . Known as "" death angel "" for its snow - white appearance , the fungus has deadly toxins that worked their way through Crippa ' s system , sickening him and eventually causing his liver to fail . Family members had often warned Crippa against indulging in his passion for hunting wild mushrooms , an activity he learned from his Italian immigrant parents , his wife said .","Crippa died a week ago at Santa Barbara Cottage Hospital , seven days after he ate a heaping plate of the deadly Amanita ocreata mushrooms , said 그의 부인 , Joan Crippa . Known as "" death angel "" for its snow - white appearance , the fungus has deadly toxins that worked their way through Crippa ' s system , sickening him and eventually causing his liver to fail . Family members had often warned Crippa against indulging in his passion for hunting wild mushrooms , an activity he learned from his Italian immigrant parents , his wife said .",his wife,그의 부인,"Crippa ' s wife , Joan , was an Italian immigrant .","Crippa의 아내 Joan, was an Italian immigrant .","Crippa ' s wife , Joan ,","Crippa의 아내 Joan,",1
114,The results of numerous epidemiological studies and recent clinical trials provide consistent evidence that diets rich in fruits and vegetables can reduce the risk of chronic disease .,수많은 역학 연구 및 최근 임상 시험 결과 provide consistent evidence that diets rich in fruits and vegetables can reduce the risk of chronic disease .,The results of numerous epidemiological studies and recent clinical trials,수많은 역학 연구 및 최근 임상 시험 결과,Fruits and vegetables prevent osteoporosis .,과일과 채소 prevent osteoporosis .,Fruits and vegetables,과일과 채소,1
115,"Three of its five permanent members , France , Russia and China , are pushing the U . N . Security Council to lift the embargo on Iraq .","5개 상임이사국 중 프랑스, 러시아, 중국 3개 are pushing the U . N . Security Council to lift the embargo on Iraq .","Three of its five permanent members , France , Russia and China ,","5개 상임이사국 중 프랑스, 러시아, 중국 3개",China is a member of the U . N . Security Council .,China is U의 일원 N  보안위원회 .,a member of the U . N . Security Council,U의 일원 N  보안위원회,0
116,"The magazine said the number of billionaires worldwide increased by 102 people in 2006 to 793 , a record number , largely due to bullish global stock markets . Their total net worth jumped 18 percent to $ 2 . 6 trillion .","잡지 said the number of billionaires worldwide increased by 102 people in 2006 to 793 , a record number , largely due to bullish global stock markets . Their total net worth jumped 18 percent to $ 2 . 6 trillion .",The magazine,잡지,The number of billionaires increases .,억만장자의 수 increases .,The number of billionaires,억만장자의 수,0
117,"Microsoft Corp . and Intel Corp . , on Monday , threw their weight behind the next - generation , HD DVD format being promoted by Toshiba Corp . , in a blow to Sony Corp . ' s Blu - ray format .","마이크로소프트 주식회사 및 Intel Corp , on Monday , threw their weight behind the next - generation , HD DVD format being promoted by Toshiba Corp . , in a blow to Sony Corp . ' s Blu - ray format .",Microsoft Corp . and Intel Corp .,마이크로소프트 주식회사 및 Intel Corp,Microsoft Corp . invented the next generation HD DVD format .,마이크로소프트 주식회사 invented the next generation HD DVD format .,Microsoft Corp .,마이크로소프트 주식회사,1
118,Companies are working to reduce the interval between drug discovery and marketing .,Companies are working to reduce 약물 발견과 마케팅 사이의 간격 .,the interval between drug discovery and marketing,약물 발견과 마케팅 사이의 간격,Companies are working to shorten the new drug development period to an average of eight to nine years in the US .,Companies are working to shorten 신약 개발 기간 to an average of eight to nine years in the US .,the new drug development period,신약 개발 기간,1
119,"A message in a bottle thrown into the sea by a four - year - old girl in England has been found 9 , 000 miles away in Western Australia . Alesha Johnson threw the bottle into the water at Morecambe Bay , Lancashire last July , enclosing her Heysham address , and a picture of herself . The note read : "" If you get this message , please write back . "" This week , she received a letter from a 10 - year - old from Perth , who said he had found the bottle in a local Boatyard . Doreen Johnson , the manager of the nursery Alesha attends in Heysham , said : "" We were all very excited when the letter from Australia arrived addressed to Alesha .","영국의 4세 소녀가 바다에 던진 병 속의 메시지 has been found 9 , 000 miles away in Western Australia . Alesha Johnson threw the bottle into the water at Morecambe Bay , Lancashire last July , enclosing her Heysham address , and a picture of herself . The note read : "" If you get this message , please write back . "" This week , she received a letter from a 10 - year - old from Perth , who said he had found the bottle in a local Boatyard . Doreen Johnson , the manager of the nursery Alesha attends in Heysham , said : "" We were all very excited when the letter from Australia arrived addressed to Alesha .",A message in a bottle thrown into the sea by a four - year - old girl in England,영국의 4세 소녀가 바다에 던진 병 속의 메시지,Heysham is where Doreen Johnson works .,Heysham is where 도린 존슨 works .,Doreen Johnson,도린 존슨,0
120,"Ronaldo Luiz Nazario da Silva is quite simply one of the greatest strikers in the history of world football , capable of leaving an entire team for dead with his darting runs and dribbling ability , voted FIFA World Player of the Year on three occasions and already a double FIFA World Cup winner .","호날두 루이스 나자리오 다실바 is quite simply one of the greatest strikers in the history of world football , capable of leaving an entire team for dead with his darting runs and dribbling ability , voted FIFA World Player of the Year on three occasions and already a double FIFA World Cup winner .",Ronaldo Luiz Nazario da Silva,호날두 루이스 나자리오 다실바,FIFA selects world football player of the year 1994 .,FIFA selects 1994년 세계 올해의 선수 .,world football player of the year 1994,1994년 세계 올해의 선수,1
121,"Billy Werber , third baseman in Major League Baseball , has died at the age of 100 . Werber died of natural causes on Thursday , January 22 , 2009 at an assisted living center in Charlotte , North Carolina . He was moved there after his health deteriorated a month ago . His son said that when admitted , Werber refused to eat solid foods and would only drink liquids . "" He just refused to eat and that was his plan , "" Bill Werber Jr . told the Associated Press . He added that his father was "" sharp up until four weeks ago "" .","Billy Werber , third baseman in Major League Baseball , has died at the age of 100 . Werber died of natural causes on Thursday , January 22 , 2009 at an assisted living center in Charlotte , North Carolina . He was moved there after his health deteriorated a month ago . His son said that when admitted , Werber refused to eat solid foods and would only drink liquids . "" He just refused to eat and that was his plan , "" 빌 웨버 주니어 AP통신에 말했다 그 added that his father was "" sharp up until four weeks ago "" .",Bill Werber Jr . told the Associated Press . He,빌 웨버 주니어 AP통신에 말했다 그,Werber died in North Carolina at the age of 100 .,Werber died in 노스 캐롤라이나 at the age of 100 .,North Carolina,노스 캐롤라이나,0
122,The Golden Flyers set a school record this year with 16 victories .,골든플라이어 set a school record this year with 16 victories .,The Golden Flyers,골든플라이어,The Golden Flyers set a school record with 16 victories .,골든플라이어 set a school record with 16 victories .,The Golden Flyers,골든플라이어,0
123,"Some people may think that there is no other way to grow plants other than in soil ; there is however , another way .","어떤 사람들은 may think that there is no other way to grow plants other than in soil ; there is however , another way .",Some people,어떤 사람들은,Plants are grown in substances other than soil .,Plants are grown in 흙 이외의 물질 .,substances other than soil,흙 이외의 물질,0
124,"Worldwide , child labor is most prevalent in the agricultural sector , where children are widely used as day laborers . Working long hours , children working in agriculture are often exposed to harmful pesticides , dangerous machinery , backbreaking loads , and many other hazardous conditions .","Worldwide , 아동 노동 is most prevalent in the agricultural sector , where children are widely used as day laborers . Working long hours , children working in agriculture are often exposed to harmful pesticides , dangerous machinery , backbreaking loads , and many other hazardous conditions .",child labor,아동 노동,Child labor is widely used in Asia .,아동 노동 is widely used in Asia .,Child labor,아동 노동,1
125,"Nancy Vine , who sells tickets at the Big Sky drive - in , seven nights a week , is a daughter of Donald and Dorothy LeGros - part of the extended family that operates the drive - in .",Big Sky 드라이브인에서 연중무휴로 티켓을 판매하는 Nancy Vine은 is a daughter of Donald and Dorothy LeGros - part of the extended family that operates the drive - in .,"Nancy Vine , who sells tickets at the Big Sky drive - in , seven nights a week ,",Big Sky 드라이브인에서 연중무휴로 티켓을 판매하는 Nancy Vine은,Nancy Vine is in business with Donald and Dorothy LeGros .,낸시 바인 is in business with Donald and Dorothy LeGros .,Nancy Vine,낸시 바인,0
126,"The medical student accused of murdering an erotic masseuse he met on Craigslist is drowning in more than $ 100 , 000 in student loan debt and is so broke he can ' t afford to pay an attorney , according to court papers . Philip Markoff , a 23 - year - old suspended Boston University medical school student , owes $ 130 , 000 in student loans and does not get money from his parents , leaving him to lean on a taxpayer - funded attorney for his defense , according to a court document in Boston Municipal Court that labels him indigent . Markoff graduated from the State University of New York - Albany and was a second - year medical student at BU .","Craigslist에서 만난 에로틱한 안마사를 살해한 혐의로 기소된 의대생 is drowning in more than $ 100 , 000 in student loan debt and is so broke he can ' t afford to pay an attorney , according to court papers . Philip Markoff , a 23 - year - old suspended Boston University medical school student , owes $ 130 , 000 in student loans and does not get money from his parents , leaving him to lean on a taxpayer - funded attorney for his defense , according to a court document in Boston Municipal Court that labels him indigent . Markoff graduated from the State University of New York - Albany and was a second - year medical student at BU .",The medical student accused of murdering an erotic masseuse he met on Craigslist,Craigslist에서 만난 에로틱한 안마사를 살해한 혐의로 기소된 의대생,The medical student Philip Markoff was engaged .,의대생 필립 마코프 was engaged .,The medical student Philip Markoff,의대생 필립 마코프,1
127,"A light blue 1975 Ford Escort GL once owned by Pope John Paul II sold for $ 690 , 000 Saturday to a Houston multimillionaire who said he plans to put it in a museum he wants to build in his hometown .","한때 교황 요한 바오로 2세가 소유했던 하늘색 1975 포드 에스코트 GL sold for $ 690 , 000 Saturday to a Houston multimillionaire who said he plans to put it in a museum he wants to build in his hometown .",A light blue 1975 Ford Escort GL once owned by Pope John Paul II,한때 교황 요한 바오로 2세가 소유했던 하늘색 1975 포드 에스코트 GL,A Houston multimillionaire buys the Pope ' s Ford Escort .,휴스턴의 억만장자 buys the Pope ' s Ford Escort .,A Houston multimillionaire,휴스턴의 억만장자,0
128,"The industrial espionage case involving GM and VW began with the hiring of Jos Ignacio Lopez , an employee of GM subsidiary Adam Opel , by VW as production director .","GM과 VW가 연루된 산업 스파이 사건 began with the hiring of Jos Ignacio Lopez , an employee of GM subsidiary Adam Opel , by VW as production director .",The industrial espionage case involving GM and VW,GM과 VW가 연루된 산업 스파이 사건,There was an industrial espionage case involving GM and VW .,There was GM과 VW가 연루된 산업 스파이 사건 .,an industrial espionage case involving GM and VW,GM과 VW가 연루된 산업 스파이 사건,0
129,"To further assist Mexico , the White House on April 15 named a former U . S . Justice Department official to lead efforts to crack down on drug - related violence along the U . S . side of its southwest border with Mexico . Homeland Security Secretary Janet Napolitano announced the appointment of Alan Bersin , a former federal prosecutor , during a visit to El Paso , Texas . Bersin held the same post - dubbed "" border czar "" - during the Clinton administration . And three Mexican drug gangs — the Sinaloa cartel , Los Zetas and La Familia Michoacana - have been placed on a list of significant foreign narcotics traffickers targeted for special sanctions , the White House said April 15 . This action allows the United States to freeze all cartel assets in U . S . jurisdiction and bars Americans from dealing with organizations that may be linked or associated with these groups and their operatives .","To further assist Mexico , 백악관 on April 15 named a former U . S . Justice Department official to lead efforts to crack down on drug - related violence along the U . S . side of its southwest border with Mexico . Homeland Security Secretary Janet Napolitano announced the appointment of Alan Bersin , a former federal prosecutor , during a visit to El Paso , Texas . Bersin held the same post - dubbed "" border czar "" - during the Clinton administration . And three Mexican drug gangs — the Sinaloa cartel , Los Zetas and La Familia Michoacana - have been placed on a list of significant foreign narcotics traffickers targeted for special sanctions , the White House said April 15 . This action allows the United States to freeze all cartel assets in U . S . jurisdiction and bars Americans from dealing with organizations that may be linked or associated with these groups and their operatives .",the White House,백악관,La Familia Michoacana are drug traffickers .,미초아칸 가족 are drug traffickers .,La Familia Michoacana,미초아칸 가족,0
130,The report catalogues 10 missed opportunities within the CIA and FBI to uncover pieces of the September 11 plot .,보고서 catalogues 10 missed opportunities within the CIA and FBI to uncover pieces of the September 11 plot .,The report,보고서,The report analyzes 10 missed opportunities within the CIA and FBI to uncover pieces of the September 11 plot .,보고서 analyzes 10 missed opportunities within the CIA and FBI to uncover pieces of the September 11 plot .,The report,보고서,0
131,"A United States Air Force F - 22 A Raptor fighter jet crashed in the Mojave Desert in the southwestern United States on Wednesday , according to officials . The airplane , which seats one person , crashed at approximately 10 : 30 am local time about 35 miles northeast of Edwards Air Force Base in California . The cause of the accident has not yet been ascertained , and the fate of the pilot is unknown . The jet was on a test mission when it crashed .","미 공군 F-22 A 랩터 전투기 crashed in the Mojave Desert in the southwestern United States on Wednesday , according to officials . The airplane , which seats one person , crashed at approximately 10 : 30 am local time about 35 miles northeast of Edwards Air Force Base in California . The cause of the accident has not yet been ascertained , and the fate of the pilot is unknown . The jet was on a test mission when it crashed .",A United States Air Force F - 22 A Raptor fighter jet,미 공군 F-22 A 랩터 전투기,Mojave Desert is located in California .,모하비 사막 is located in California .,Mojave Desert,모하비 사막,0
132,"Thursday ' s assassination of Ms . Bhutto has plunged the Pakistani nation into a situation that many perceive as a crisis , with violent protests across the country . Officials say the violence has also caused tens of millions of dollars in damages . Most of the deaths have occurred in southern Sindh province , which is Ms . Bhutto ' s political stronghold . The worsening security situation prompted President Musharraf on Saturday to order his security chiefs to deal firmly with violent protesters .","목요일 Ms 부토 has plunged the Pakistani nation into a situation that many perceive as a crisis , with violent protests across the country . Officials say the violence has also caused tens of millions of dollars in damages . Most of the deaths have occurred in southern Sindh province , which is Ms . Bhutto ' s political stronghold . The worsening security situation prompted President Musharraf on Saturday to order his security chiefs to deal firmly with violent protesters .",Thursday ' s assassination of Ms . Bhutto,목요일 Ms 부토,Musharraf has ordered rioters to take firm action against security forces .,Musharraf has ordered rioters to take 확고한 행동 against security forces .,firm action,확고한 행동,1
133,Oil prices fall back as Yukos oil threat lifted,유가 fall back as Yukos oil threat lifted,Oil prices,유가,Oil prices rise .,유가 rise .,Oil prices,유가,1
134,The wait time for a green card has risen from 21 months to 33 months in those same regions .,영주권 대기 시간 has risen from 21 months to 33 months in those same regions .,The wait time for a green card,영주권 대기 시간,It takes longer to get green card .,It takes longer to get 그린 카드 .,green card,그린 카드,0
135,"After two years , the aspirin subjects experienced a reduced risk of fatal and nonfatal stroke .","After two years , 아스피린 과목 experienced a reduced risk of fatal and nonfatal stroke .",the aspirin subjects,아스피린 과목,People experienced adverse effects while taking aspirin .,People experienced 부작용 while taking aspirin .,adverse effects,부작용,1
136,"U . S . Secretary of State Condoleeza Rice has expressed her anger after a meeting with Sudanese President Omar Hassan al - Bashir , during which her aides and staff were mistreated by Sudanese security agents .","U 에스 콘돌리자 라이스 국무장관 has expressed her anger after a meeting with Sudanese President Omar Hassan al - Bashir , during which her aides and staff were mistreated by Sudanese security agents .",U . S . Secretary of State Condoleeza Rice,U 에스 콘돌리자 라이스 국무장관,Condoleezza Rice is the U . S . Secretary of State .,콘돌리자 라이스 is the U . S . Secretary of State .,Condoleezza Rice,콘돌리자 라이스,0
137,"He said those three detainees are Khalid Sheikh Mohammed - one of the architects of the September 11 th attacks on New York and Washington , Abu Zubaydah - who is believed to have been a top al - Qaida strategist , and Abd al - Rahim al - Nashiri - who is believed to have played a key role in the bombing of the USS Cole . All three are being held at the U . S . detention facility at Guantanamo Bay . Hayden said waterboarding was used against the three detainees nearly five years ago because of circumstances at the time , including the belief that additional attacks against the United States were imminent . Hayden defended the CIA ' s use of extreme interrogation techniques as lawful , and urged lawmakers not to impose restrictions on such methods . Congress is considering legislation that would restrict the CIA to using only the interrogation techniques authorized by the U . S . Army ' s field manual , which does not include waterboarding .","He said 그 세 명의 수감자들 are Khalid Sheikh Mohammed - one of the architects of the September 11 th attacks on New York and Washington , Abu Zubaydah - who is believed to have been a top al - Qaida strategist , and Abd al - Rahim al - Nashiri - who is believed to have played a key role in the bombing of the USS Cole . All three are being held at the U . S . detention facility at Guantanamo Bay . Hayden said waterboarding was used against the three detainees nearly five years ago because of circumstances at the time , including the belief that additional attacks against the United States were imminent . Hayden defended the CIA ' s use of extreme interrogation techniques as lawful , and urged lawmakers not to impose restrictions on such methods . Congress is considering legislation that would restrict the CIA to using only the interrogation techniques authorized by the U . S . Army ' s field manual , which does not include waterboarding .",those three detainees,그 세 명의 수감자들,Abu Zubaydah belongs to al - Qaida .,아부 주바이다 belongs to al - Qaida .,Abu Zubaydah,아부 주바이다,0
138,"A powerful bomb , hidden in a truck , exploded outside the headquarters of Colombia ' s secret police , Wednesday , causing severe damage , Bogota mayor Andres Pastrana said .","A powerful bomb , hidden in a truck , exploded outside the headquarters of Colombia ' s secret police , Wednesday , causing severe damage , 안드레스 파스트라나 보고타 시장 said .",Bogota mayor Andres Pastrana,안드레스 파스트라나 보고타 시장,An attempt on Andres Pastrana ' s life was carried out using a powerful bomb .,Andres Pastrana의 삶에 대한 시도 was carried out using a powerful bomb .,An attempt on Andres Pastrana ' s life,Andres Pastrana의 삶에 대한 시도,1
139,"For such patients , regular aspirin use significantly decreased the risk for fatal and nonfatal strokes or heart attacks .","For such patients , 정기적인 아스피린 사용 significantly decreased the risk for fatal and nonfatal strokes or heart attacks .",regular aspirin use,정기적인 아스피린 사용,People experienced adverse effects while taking aspirin .,People experienced 부작용 while taking aspirin .,adverse effects,부작용,1
140,"Two Greenpeace protestors entered the CBI conference at the Business Design Centre in Islington , London and delayed a speech being made by the Prime Minister Tony Blair , in which he was expected to announce the consideration of further nuclear power stations to offset the increasing gas prices being experienced by industry in the UK . The protestors , wearing yellow safety jackets over business suits , climbed up into the ceiling rafters and held banners saying "" NUCLEAR : WRONG ANSWER "" , and dropped ' radioactive confetti ' onto the delegates down below . Greenpeace threatened to make noise and throw missiles at the Prime Minister should he make his speech .","두 명의 그린피스 시위대 entered the CBI conference at the Business Design Centre in Islington , London and delayed a speech being made by the Prime Minister Tony Blair , in which he was expected to announce the consideration of further nuclear power stations to offset the increasing gas prices being experienced by industry in the UK . The protestors , wearing yellow safety jackets over business suits , climbed up into the ceiling rafters and held banners saying "" NUCLEAR : WRONG ANSWER "" , and dropped ' radioactive confetti ' onto the delegates down below . Greenpeace threatened to make noise and throw missiles at the Prime Minister should he make his speech .",Two Greenpeace protestors,두 명의 그린피스 시위대,Greenpeace made a statement about yellow safety jackets .,Greenpeace made 노란색 안전 재킷에 대한 진술 .,a statement about yellow safety jackets,노란색 안전 재킷에 대한 진술,1
141,"P . Prayong , who like Kevala belongs to the Theravada sect of Buddhism , chose India over other Buddhist majority nations as it is the birthplace of Gautama Buddha .",피 Kevala를 좋아하는 Prayong은 불교의 Theravada 종파에 속해 있습니다 chose India over other Buddhist majority nations as it is the birthplace of Gautama Buddha .,"P . Prayong , who like Kevala belongs to the Theravada sect of Buddhism ,",피 Kevala를 좋아하는 Prayong은 불교의 Theravada 종파에 속해 있습니다,P . Prayong is a member of Theravada .,피 쁘라용 is a member of Theravada .,P . Prayong,피 쁘라용,0
142,"Juan Antonio Samaranch , president of the International Olympic Committee , left Lillehammer for Sarajevo to pay tribute to the besieged host city of the 1984 Winter Games",후안 안토니오 사마란치 국제올림픽위원회 위원장 left Lillehammer for Sarajevo to pay tribute to the besieged host city of the 1984 Winter Games,"Juan Antonio Samaranch , president of the International Olympic Committee ,",후안 안토니오 사마란치 국제올림픽위원회 위원장,The International Olympic Commitee ' s head office is in Lillehammer .,국제올림픽위원회 본부 is in Lillehammer .,The International Olympic Commitee ' s head office,국제올림픽위원회 본부,1
143,"According to COPREFA , another soldier was wounded in a guerrilla ambush against the elite Bracamonte Battalion on a highway in central El Salvador .","According to COPREFA , 다른 군인 was wounded in a guerrilla ambush against the elite Bracamonte Battalion on a highway in central El Salvador .",another soldier,다른 군인,The Bracamonte Battalion was attacked by guerrillas .,브라카몬테 대대 was attacked by guerrillas .,The Bracamonte Battalion,브라카몬테 대대,0
144,"Stefano Falconi , director of finance at the Massachusetts Institute of Technology ( MIT ) , has joined Carnegie Mellon as its vice president for administration and chief financial officer . Falconi succeeds Jeff Bolton , who left the university last July to become chief financial officer at the Mayo Foundation in Rochester , Minn .","MIT(Massachusetts Institute of Technology)의 재무 이사인 스테파노 팔코니(Stefano Falconi)는 has joined Carnegie Mellon as its vice president for administration and chief financial officer . Falconi succeeds Jeff Bolton , who left the university last July to become chief financial officer at the Mayo Foundation in Rochester , Minn .","Stefano Falconi , director of finance at the Massachusetts Institute of Technology ( MIT ) ,",MIT(Massachusetts Institute of Technology)의 재무 이사인 스테파노 팔코니(Stefano Falconi)는,The Massachusetts Institute of Technology ( MIT ) appoints Stefano Falconi as chief financial officer .,매사추세츠 공과대학(MIT) appoints Stefano Falconi as chief financial officer .,The Massachusetts Institute of Technology ( MIT ),매사추세츠 공과대학(MIT),1
145,"President Alvaro Uribe was sworn into his second term of office in the Colombian capital of Bogota , Monday , pledging to improve the economy and make peace with FARC ( Revolutionary Armed Forces of Colombia ) rebels . Security was tight in order to prevent a repetition of the attack on his first inauguration in 2002 when FARC rebels fired mortars at the presidential palace killing 20 . Police reported deactivating a car bomb outside of the capital on Monday .","알바로 우리베 회장 was sworn into his second term of office in the Colombian capital of Bogota , Monday , pledging to improve the economy and make peace with FARC ( Revolutionary Armed Forces of Colombia ) rebels . Security was tight in order to prevent a repetition of the attack on his first inauguration in 2002 when FARC rebels fired mortars at the presidential palace killing 20 . Police reported deactivating a car bomb outside of the capital on Monday .",President Alvaro Uribe,알바로 우리베 회장,Alvaro Uribe is the current President of Colombia .,알바로 우리베 is the current President of Colombia .,Alvaro Uribe,알바로 우리베,0
146,"Zahi Hawass , Egypt ' s pre - eminent archaeologist , revealed the first ancient artifacts which may lead to the discovery of Cleopatra and Marc Antony ' s resting place . The expedition has found amulets , 22 bronze coins cast with Cleopatra ' s image and her name , a royal statue , an alabaster mask resembling Marc Antony , and a statue bust of Cleopatra . "" If you look at the face of Mark Antony , many believed he had this cleft on his chin and that ' s why I thought this could be Mark Antony , "" said Hawass . "" In my opinion , if this tomb is found , it will be one of the most important discoveries of the 21 st century because of the love between Cleopatra and Mark Antony , and because of the sad story of their death . This is the perfect place for them to be hidden , "" said Hawass .","이집트의 저명한 고고학자 자히 하와스(Zahi Hawass)는 revealed the first ancient artifacts which may lead to the discovery of Cleopatra and Marc Antony ' s resting place . The expedition has found amulets , 22 bronze coins cast with Cleopatra ' s image and her name , a royal statue , an alabaster mask resembling Marc Antony , and a statue bust of Cleopatra . "" If you look at the face of Mark Antony , many believed he had this cleft on his chin and that ' s why I thought this could be Mark Antony , "" said Hawass . "" In my opinion , if this tomb is found , it will be one of the most important discoveries of the 21 st century because of the love between Cleopatra and Mark Antony , and because of the sad story of their death . This is the perfect place for them to be hidden , "" said Hawass .","Zahi Hawass , Egypt ' s pre - eminent archaeologist ,",이집트의 저명한 고고학자 자히 하와스(Zahi Hawass)는,Cleopatra and Marc Antony lived in Egypt .,클레오파트라와 마크 안토니우스 lived in Egypt .,Cleopatra and Marc Antony,클레오파트라와 마크 안토니우스,1
147,Japan ' s Toshiba Corp . announced Tuesday that it has developed the first laptop computer with its new HD DVD drive : a next - generation disc format it is promoting over a rival standard pushed by Sony Corp .,일본의 Toshiba Corp announced Tuesday that it has developed the first laptop computer with its new HD DVD drive : a next - generation disc format it is promoting over a rival standard pushed by Sony Corp .,Japan ' s Toshiba Corp .,일본의 Toshiba Corp,Toshiba Corp . ' s headquarters is in Japan .,도시바 주식회사 의 본사 is in Japan .,Toshiba Corp . ' s headquarters,도시바 주식회사 의 본사,0
148,"On any given day , Ms Lupse is on camera for between one and five hours , presenting a number of different call - in shows on several different networks : not only National TV but also Prima TV and Antena 1 , all broadcast from the same studio . Despite the repetition , she doesn ' t get bored . "" For me it ' s always exciting . I enjoy it very much ! If I ' m tired at the end of the show it means I ' ve done a good show . But I ' m never tired during the show . "" When I play a clip of one of her energetic show presentations - not the one she ' s become best known for - she elaborates on her exuberance . "" I ' m always excited when I ' m about to give big prizes ! There is no show without winners ! "" .","On any given day , 미스 룹스 is on camera for between one and five hours , presenting a number of different call - in shows on several different networks : not only National TV but also Prima TV and Antena 1 , all broadcast from the same studio . Despite the repetition , she doesn ' t get bored . "" For me it ' s always exciting . I enjoy it very much ! If I ' m tired at the end of the show it means I ' ve done a good show . But I ' m never tired during the show . "" When I play a clip of one of her energetic show presentations - not the one she ' s become best known for - she elaborates on her exuberance . "" I ' m always excited when I ' m about to give big prizes ! There is no show without winners ! "" .",Ms Lupse,미스 룹스,Ms Lupse works for Prima TV .,미스 룹스 works for Prima TV .,Ms Lupse,미스 룹스,0
149,The introduction of the euro has dismantled barriers to cross - border trading and enhanced risk sharing and opportunities for diversification .,유로의 도입 has dismantled barriers to cross - border trading and enhanced risk sharing and opportunities for diversification .,The introduction of the euro,유로의 도입,The introduction of the euro has been opposed .,유로의 도입 has been opposed .,The introduction of the euro,유로의 도입,1
150,"The lion ' s share of this traffic comes from Angola , where diamonds from the area controlled by UNITA ( National Union for the Total Independence of Angola ) rebels are subject to an embargo .","이 트래픽의 사자의 몫 comes from Angola , where diamonds from the area controlled by UNITA ( National Union for the Total Independence of Angola ) rebels are subject to an embargo .",The lion ' s share of this traffic,이 트래픽의 사자의 몫,Angola was subject to an embargo on the export of diamonds .,Angola was subject to 다이아몬드 수출 금지 .,an embargo on the export of diamonds,다이아몬드 수출 금지,0
151,"First Canadian and then Dutch peacekeepers were deployed in Srebrenica . Seven hundred and fifty lightly armed UN peace - keepers were responsible for disarming Srebrenica ' s Muslim defenders and "" deterring "" Bosnian Serb attacks against the safe area . Two years later , a Serb flag flew where the UN ' s once did and 7 , 079 Muslim men were missing .","최초의 캐나다인과 네덜란드인 평화유지군 were deployed in Srebrenica . Seven hundred and fifty lightly armed UN peace - keepers were responsible for disarming Srebrenica ' s Muslim defenders and "" deterring "" Bosnian Serb attacks against the safe area . Two years later , a Serb flag flew where the UN ' s once did and 7 , 079 Muslim men were missing .",First Canadian and then Dutch peacekeepers,최초의 캐나다인과 네덜란드인 평화유지군,Dutch photos of Srebrenica have disappeared .,Srebrenica의 네덜란드 사진 have disappeared .,Dutch photos of Srebrenica,Srebrenica의 네덜란드 사진,1
152,Bomb - sniffing dogs were brought to Rodriguez ' s Mulberry St . apartment .,폭탄 - 탐지견 were brought to Rodriguez ' s Mulberry St . apartment .,Bomb - sniffing dogs,폭탄 - 탐지견,Bomb - sniffing dogs were estimated at Rodriguez ' s Mulberry St . apartment .,폭탄 - 탐지견 were estimated at Rodriguez ' s Mulberry St . apartment .,Bomb - sniffing dogs,폭탄 - 탐지견,1
153,"A mercenary group , faithful to the warmongering policy of former Somozist colonel Enrique Bermudez , attacked an IFA truck belonging to the interior ministry at 0900 on 26 March in El Jicote , wounded and killed an interior ministry worker and wounded five others .","용병단 , faithful to the warmongering policy of former Somozist colonel Enrique Bermudez , attacked an IFA truck belonging to the interior ministry at 0900 on 26 March in El Jicote , wounded and killed an interior ministry worker and wounded five others .",A mercenary group,용병단,A mercenary group was injured in El Jicote .,용병단 was injured in El Jicote .,A mercenary group,용병단,1
154,"Today , Dmitry Medvedev was named the candidate for President of Russia by the ruling party United Russia , which holds majority in the newly - elected , State Duma , the lower parliament of Russia . Medvedev , who is the current deputy prime minister of the Russian government and the chairman in the board of directors of Gazprom , was also backed by three other parties and by the current president Vladimir Putin . This means the highly anticipated decision about the supposed successor has been announced .","Today , 드미트리 메드베데프 was named the candidate for President of Russia by the ruling party United Russia , which holds majority in the newly - elected , State Duma , the lower parliament of Russia . Medvedev , who is the current deputy prime minister of the Russian government and the chairman in the board of directors of Gazprom , was also backed by three other parties and by the current president Vladimir Putin . This means the highly anticipated decision about the supposed successor has been announced .",Dmitry Medvedev,드미트리 메드베데프,Vladimir Putin does not support Medvedev .,블라디미르 푸틴 does not support Medvedev .,Vladimir Putin,블라디미르 푸틴,1
155,Three Democrats joined the committee ' s 10 majority Republicans in a 13 - 5 vote to advance the conservative judge ' s nomination to the full Senate . Five Democrats opposed Roberts .,세 명의 민주당원 joined the committee ' s 10 majority Republicans in a 13 - 5 vote to advance the conservative judge ' s nomination to the full Senate . Five Democrats opposed Roberts .,Three Democrats,세 명의 민주당원,"The Senate Judiciary Committee , on Thursday , approved Judge John Roberts ' nomination as the next Supreme Court Chief Justice , virtually assuring his confirmation by the Senate next week .","상원 법사위원회 , on Thursday , approved Judge John Roberts ' nomination as the next Supreme Court Chief Justice , virtually assuring his confirmation by the Senate next week .",The Senate Judiciary Committee,상원 법사위원회,1
